# From /Users/Daniela/Documents/CCG/extended_gus/TFs_RegDB/scripts/all_TRN_enzymes.pl on Sat Nov 24 05:21:30 2018
# f1 > Enzyme Ecocyc ID
# f2 > Enzyme gene name
# f3 > Reaction Ecocyc ID
EG10029	ada	RXN-17824//RXN-17823//2.1.1.63-RXN//
EG10030	add	ADENODEAMIN-RXN//ADDALT-RXN//
EG10033	agp	RXN0-1001//GLUCOSE-1-PHOSPHAT-RXN//
EG10034	alaS	ALANINE--TRNA-LIGASE-RXN//
EG10037	alkB	RXN-18739//RXN0-7280//RXN-18738//RXN0-986//RXN0-7275//RXN-18737//
EG10039	amn	AMP-NUCLEOSID-RXN//
EG10040	ampC	BETA-LACTAMASE-RXN//
EG10041	ampD	RXN0-5225//
EG10048	apaH	3.6.1.41-RXN//
EG10063	argA	N-ACETYLTRANSFER-RXN//
EG10064	argB	ACETYLGLUTKIN-RXN//
EG10065	argC	N-ACETYLGLUTPREDUCT-RXN//
EG10067	argF	ORNCARBAMTRANSFER-RXN//
EG10069	argI	ORNCARBAMTRANSFER-RXN//
EG10078	aroF	DAHPSYN-RXN//
EG10080	aroH	DAHPSYN-RXN//
EG10091	asnA	ASNSYNA-RXN//
EG10092	asnB	ASNSYNB-RXN//GLUTAMIN-RXN//ASNSYNA-RXN//
EG10107	avtA	RXN0-5200//VALINE-PYRUVATE-AMINOTRANSFER-RXN//
EG10117	bioA	DAPASYN-RXN//
EG10118	bioB	RXN-17473//2.8.1.6-RXN//
EG10119	bioC	RXN-11475//
EG10120	bioD	DETHIOBIOTIN-SYN-RXN//
EG10121	bioF	7KAPSYN-RXN//RXN-11484//
EG10147	cheB	CHEBDEAMID-RXN//MCPMETEST-RXN//
EG10148	cheR	CHER-RXN//
EG10160	cpdB	RXN-14064//RXN-14090//RXN-14113//RXN-14124//3-NUCLEOTID-RXN//RXN-14112//RXN-14091//RXN-14115//CYCPHOSDIESTER-RXN//RXN-14126//
EG10170	cyaA	ADENYLATECYC-RXN//
EG10175	cynS	RXN-12893//R524-RXN//
EG10176	cynT	RXN0-5224//
EG10185	cysC	ADENYLYLSULFKIN-RXN//
EG10186	cysD	SULFATE-ADENYLYLTRANS-RXN//
EG10187	cysE	SERINE-O-ACETTRAN-RXN//
EG10192	cysK	RXN-15129//ACSERLY-RXN//LCYSDESULF-RXN//
EG10194	cysN	SULFATE-ADENYLYLTRANS-RXN//
EG10203	dacC	RXN-16649//
EG10206	dapB	RXN-14014//
EG10207	dapD	TETHYDPICSUCC-RXN//
EG10217	accD	RXN0-5055//
EG10224	dgkA	DIACYLGLYKIN-RXN//
EG10258	eno	2PGADEHYDRAT-RXN//
EG10277	fabH	ACP-S-ACETYLTRANSFER-RXN//2.3.1.180-RXN//
EG10337	fruK	1PFRUCTPHOSN-RXN//
EG10378	glgB	GLYCOGEN-BRANCH-RXN//
EG10381	glgX	RXN0-5146//
EG10382	glmS	L-GLN-FRUCT-6-P-AMINOTRANS-RXN//
EG10395	glpE	THIOSULFATE-SULFURTRANSFERASE-RXN//
EG10407	gltX	GLURS-RXN//
EG10412	gor	GLUTATHIONE-REDUCT-NADPH-RXN//
EG10417	grxA	RXN-19629//RXN-18586//
EG10431	hemH	PROTOHEMEFERROCHELAT-RXN//
EG10437	hflX	RXN0-5462//
EG10494	ilvB	ACETOLACTSYN-RXN//ACETOOHBUTSYN-RXN//
EG10495	ilvC	ACETOOHBUTREDUCTOISOM-RXN//2-DEHYDROPANTOATE-REDUCT-RXN//ACETOLACTREDUCTOISOM-RXN//
EG10502	ilvN	ACETOLACTSYN-RXN//ACETOOHBUTSYN-RXN//
EG10512	kbl	AKBLIG-RXN//
EG10523	rsmA	RXN-11633//
EG10550	lysC	ASPARTATEKIN-RXN//
EG10553	lysU	RXN0-5208//LYSINE--TRNA-LIGASE-RXN//RXN0-5209//
EG10565	malZ	RXN-14281//MALTODEXGLUCOSID-RXN//RXN-14283//RXN0-5183//RXN-14282//
EG10566	manA	MANNPISOM-RXN//
EG10581	metA	HOMSUCTRAN-RXN//
