#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b4367//b0675//
Ada-Methylated_pos	b1393//b4382//b1982//b2742//
AlaS-L-alanine_neg	b2916//
AllS-allantoin_pos	b4030//b1780//b3908//
AraC-L-arabinose_neg	b2063//b1041//b4450//b0388//b3363//b4203//b1881//b2726//
AraC-L-arabinose_pos	b0880//b1887//b3451//b3214//b1734//b3671//b0043//b3970//b2286//ilvG_1//
ArcA-Phosphorylated_neg	b3093//b2313//b2911//b3854//b3938//b1900//b2368//b2488//phnE_2//b0341//b1530//b1973//b3925//b2710//b1746//b3672//b4187//b3242//b3320//b0191//b3528//b1715//b3829//b4079//b1500//b0347//b0110//b4200//b0617//b3567//b3272//b4008//b2975//b1532//b0585//b3480//b0154//b0411//b0178//b3724//b0389//b3170//b3364//b0734//b0078//b1220//b3035//b0378//b3456//b4073//b1748//b1388//b3749//b4111//b1129//b0972//b1211//b0945//b0778//b2200//b1131//b2913//b4268//b3132//b2428//b2719//b2723//b4030//b3240//b1683//b3454//b3320//b0240//b1263//b3327//b0184//b4291//b2751//b0111//b0783//b2147//b4009//b1421//b1210//b2483//b2531//b1023//b1160//b1225//b0177//b3225//b3564//b1888//b0429//b0895//b0397//b3907//b0349//b3236//b0763//b0197//b2913//b3461//b0043//b0895//b3425//b1597//b1674//b1681//b2094//b2196//b1805//b2497//b0937//b1011//b3544//b4502//b4431//b1335//b2763//b1512//b2423//b4438//b0864//b3038//b2208//b1024//
ArcA-Phosphorylated_pos	b2074//b3670//b4290//b3566//b3540//b4095//b2674//b3113//b2470//b0312//b3273//b1818//b1672//b4019//b0765//b3410//b3907//b1669//b1041//b0826//b3393//b1211//b0756//b3669//b0935//b2751//b0112//b4242//b1500//b2728//b0727//b4098//efeU_2//b4439//b1881//b2342//b4431//b0978//b4468//b2491//b3275//b1301//b4035//b4242//b2708//b0778//b1336//b3725//b2370//b3164//b0621//b1429//b0619//b2150//b3603//b3530//b1475//b1430//
ArgP-L-arginine_neg	b0515//
ArgP-L-arginine_pos	b2308//b0352//b3781//b1900//b2923//b4071//b1322//b2282//b4098//b3314//b0585//b2990//b3410//b1819//b1247//
ArgR-L-arginine_neg	b3072//b2719//b2607//b3321//b3860//b3869//b0575//b3317//b2029//b4397//b2208//b2757//b0722//b0345//b1501//b3702//b3424//b4203//b0933//b4034//b2911//b2211//b4098//b3366//b3853//b1111//b1680//b0682//b2977//b1015//b3541//b3902//b2759//b0959//
ArgR-L-arginine_pos	b4098//b1530//b3509//b1252//b0367//
AtoC-phosphorylated_pos	b4567//b2365//b2741//b0929//
BaeR-Phosphorylated_pos	b1859//b3700//b3458//b2222//b2583//b2074//b2937//b2482//
BirA-bio-5-AMP_neg	b2721//b0682//b2232//b3368//b4287//
CRP-cAMP_neg	b3077//b4124//b0615//b0178//b0756//b1715//b0778//b3756//b3025//b4016//b2659//b0430//b0621//b3070//b0108//b1782//b2202//b4054//b3240//b0565//b0764//b2484//b4663//b4115//b3458//b4316//b2726//b4431//b3672//b2962//b2553//b0153//b1220//b0841//b0179//b2373//b0044//b3859//b0565//b0183//b3969//b3854//b4467//b3222//b3753//b3774//b1223//b1396//b3567//b0602//b3725//b4702//b0153//b1190//b3769//b2243//b1818//b3432//b2731//b1393//b2911//b2754//b1226//b0384//b2344//b1398//b2094//b1821//b4010//b0903//b2987//b4238//b2488//b1111//b0726//b2489//b3335//b2997//b3314//b3609//b1540//b3161//b0763//b0041//b2311//b1810//b0115//b3903//b2719//b3911//b1264//b0333//b0774//b0108//b1612//b0618//b1593//b0573//b4193//b0240//b3854//b2675//b0593//b2291//b1590//b1384//b3456//b2152//b1819//b3700//b3528//b1684//b2373//b4099//b2465//b3569//b0166//b0331//b2282//b0595//b0841//b4018//b0365//b0038//b1670//b2096//b4092//b0411//b4502//b2224//b2964//b2729//b2591//
