# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	glpQ//mtlD//
Ada-Methylated_pos	tyrA//chbG//gltB//torA//
AlaS-L-alanine_neg	hcp//
AllS-allantoin_pos	bioD//sucB//aceB//
AraC-L-arabinose_neg	uxaC//puuE//ilvI//nrfB//paaZ//
AraC-L-arabinose_pos	astA//glpE//paaA//purA//uxuB//
ArcA-Phosphorylated_neg	nirD//ahpF//gatD//rbsD//trpB//deoC//lacZ//frc//ynfE//mhpA//treC//fucI//alkA//nirB//hycF//folE//citC//cysG//ilvG_1//ilvA//ybjG//pgaB//dusB//rutC//ahpF//nagB//tdcD//lysC//trpC//purH//garL//miaA//dadA//rutB//rnpB//speA//lpxA//trpE//dapD//katE//ulaF//hmp//aroG//slt//metK//cysJ//guaA//fadJ//rutD//hycG//gabT//fadI//fucU//mutY//garL//puuB//dmsA//icd//speB//hemL//nrfD//pgaB//hypB//araA//malP//speA//ynfE//katG//
ArcA-Phosphorylated_pos	zwf//cynT//udp//metB//rhaD//allD//paaI//prpB//trpB//yjeF//puuE//frc//allD//purE//lhgO//serC//gltA//patZ//atoB//rutD//sucA//nirD//mltC//gadB//deoA//fau//chbG//mhpD//ubiC//galE//yqjH//yjeF//fabZ//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	gltB//ynfH//hyaB//glgX//argG//astD//xapA//ulaD//acnA//dnaE//pheT//
ArgR-L-arginine_neg	tdcG//fucK//phnG//fucK//gatD//sucB//srlD//galM//speB//preA//tyrA//nagB//metF//hyaB//paaC//ilvH//tdcE//glpB//
ArgR-L-arginine_pos	dadX//hyaA//nrfB//nanM//ispE//
AtoC-phosphorylated_pos	trpE//bacA//avtA//
BaeR-Phosphorylated_pos	guaA//bglB//
BirA-bio-5-AMP_neg	bioB//bcsB//bioA//araA//allE//
CRP-cAMP_neg	glpE//phnM//trpE//dmsA//citF//tsaE//ahpC//nrdA//fucK//ugpQ//cysJ//hycF//fumA//hyaA//carB//paaF//uidA//lysC//paaK//nirB//allD//puuE//acnB//psd//mhpE//aspA//gcvP//allE//pyrC//aceA//metB//purB//pck//serA//ilvI//sdhB//dmsA//ispE//cdd//rnpB//trpD//lysU//ynfE//lacA//serC//bacA//puuB//argD//deoC//entH//ansB//rutB//edd//aldA//nanE//hycB//patZ//metK//argA//cysI//dkgB//ynfE//galM//pgpC//glnA//lpxD//malZ//xdhA//uxaA//miaA//napG//pncB//uxuB//hycG//astE//astE//tyrA//cysN//
