#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b0614//b2232//
Ada-Methylated_pos	b3071//b3426//b2222//b3008//
AlaS-L-alanine_neg	b1859//
AllS-allantoin_pos	b1132//b1530//b0123//
AraC-L-arabinose_neg	b3315//b2708//b3939//b1712//b2535//b1679//b4193//b2573//
AraC-L-arabinose_pos	b2163//b2425//b3724//b2092//b0575//b2590//b3611//b2283//b0812//b0035//
ArcA-Phosphorylated_neg	b1987//b1389//b2805//b2905//b4209//b4174//b4000//b2754//b3533//b1260//b0602//b0340//b2976//b0078//b3037//b3722//b1706//b2078//b1817//b2802//b0115//b3225//b0123//b4105//b2559//b2916//b3510//b2465//b3242//b0432//b0167//b3214//b2729//b2286//b1301//b3278//b2703//b2367//b1885//b4450//b1706//b0675//b3902//b2926//b0337//b3113//b0383//b1010//b1393//b3423//b2707//b4075//b0390//b0864//b0112//b3008//b0841//b1476//b1920//b0344//b3171//b3093//b3868//b2297//b2414//b3615//b1511//b3113//b1817//b1476//b0335//b4323//b1492//b2911//b2600//b4007//b1782//b4233//b3076//b3274//b0758//b3133//b2666//b3114//b4438//b2470//b2804//b0873//b2711//b4376//b0342//b3617//b0400//b0904//b2207//b1040//b1272//b1036//b4105//b0197//b0860//b0078//b0592//b0336//b3213//b4320//b0756//b3903//b2584//b3071//b3938//b4175//b1818//b2666//b0564//b2965//b3828//b4367//b0189//b0033//b0602//b1746//b2713//b0724//b2369//b1883//b3564//
ArcA-Phosphorylated_pos	b3006//b1223//b1430//b0590//b3335//b1131//b0365//b3863//b3957//b1415//b4098//b3571//b0588//b3479//b0975//b3925//b2730//b1797//b1852//b2742//b2580//b1324//b2674//b3321//b3532//b2284//b4099//b3961//b3907//b4008//b2751//b1819//b4314//b2867//b0678//b4238//b4311//b4195//b0432//b2470//b0331//b1715//b0460//b0523//b1136//b2570//b0974//b3277//b4115//b2580//b2194//b1038//b2278//b4115//b0388//b1683//b2957//b0040//
ArgP-L-arginine_neg	b3568//
ArgP-L-arginine_pos	b1781//b2732//b0156//b3781//b1548//b2804//b2926//b0061//b4354//b1189//b2309//b4471//b4172//b3395//b3864//
ArgR-L-arginine_neg	b4177//b2713//b3311//b3236//b3728//b2980//b3025//b2366//b0336//b2588//b2997//b0114//b1900//b2148//b1182//b2424//b2751//b0759//b2239//b2660//b3544//b1006//b1006//b1712//b0080//b3413//b0586//b3328//b2308//b0895//b1881//b0313//b1493//b1588//
ArgR-L-arginine_pos	b2911//b2341//b2631//b2372//b0959//
AtoC-phosphorylated_pos	b3615//b2152//b2206//b0677//
BaeR-Phosphorylated_pos	b1010//b3925//b2756//b4267//b4014//b0343//b1208//b1226//
BirA-bio-5-AMP_neg	b3605//b3038//b3278//b1733//b4320//
CRP-cAMP_neg	b0908//b3414//b1719//b4097//b4159//b2221//b2630//b4321//b0191//b2751//b4355//b3166//b0676//b3223//b0861//b0937//b2369//b0201//b2757//b0038//b0602//b0343//b2923//b0586//b2754//b1009//b2713//b0889//b4167//b0348//b3037//b2492//b2308//b4201//b0907//b1684//b0895//b0462//b0351//b2489//b3278//b3702//b0201//b4406//b2728//b4201//b1189//b1780//b2570//b0570//b0154//b4324//b0574//b2755//b3769//b1265//b4097//b2231//b1591//b0366//b2905//b2666//b2029//b0862//b1389//b1041//b3227//b0118//b0044//b2631//b3113//b3452//b0756//b2276//b0273//b3852//b0197//b0595//b1883//b2497//b1398//b2571//b4310//b2923//b3330//b2725//b0207//b3223//b1591//b0570//b2601//b1010//b2716//b4068//b2904//b4002//b4106//b3911//b2704//b3168//b1262//b0341//b0039//b2485//b3854//b3481//b1109//b0347//b1608//b2976//b3908//b2422//b2708//b1744//b1482//b2096//b3456//b0522//b1683//b3574//b1323//b3938//b0341//b3870//b3927//b3166//b3603//b2703//b2075//b0566//b2499//b2697//b4006//
