#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b3941//b1535//
Ada-Methylated_pos	b3237//b3367//b2591//b1745//
AlaS-L-alanine_neg	b1511//
AllS-allantoin_pos	b0240//b0205//b2597//
AraC-L-arabinose_neg	b3091//b3906//b0936//b0400//b1852//b3569//b0616//b3404//
AraC-L-arabinose_pos	b3426//b0441//b4175//b3356//b2490//b4169//b3521//b1384//b0384//b3912//
ArcA-Phosphorylated_neg	b2606//b2715//b0860//b3968//b2994//b3940//b0585//b3081//b3315//b1223//b3481//b1498//b2076//b1020//b0678//b0765//b0314//b2224//b0463//b0399//b3161//b0618//b4669//b4213//b0118//b3766//b2715//b2703//b4195//b1902//b0350//b0572//b0756//b0995//b2597//b2993//b1189//b3132//b3317//b3333//b4095//b1474//b1299//b4159//b1982//b2571//b0755//b4197//b0621//b1132//b2421//b4438//b4398//b3133//b3961//b1900//b0348//b2094//b2311//b3165//b2198//b2306//b0111//b1022//b0077//b2608//b3707//b2509//b3958//b0995//b2867//b1501//b3320//b1298//b4699//b3906//b2150//b3133//b1617//b2470//b0602//b0112//b4119//b2993//b2528//b1859//b2470//b2508//b2485//b4705//b3118//b2231//b0908//b4266//b1208//b3331//b2717//b3275//b0596//b0605//b3609//b2488//b3700//b2760//b3212//b4451//b3543//b1920//b2240//b3605//b3333//b2476//b2490//b2725//b3533//b1430//b2151//b2429//b4030//b0904//b3049//b2926//b0038//b0221//b3113//b0040//b3610//
ArcA-Phosphorylated_pos	b1262//b2937//b0035//b1136//b3115//b1015//b2719//b4102//b4290//b2987//b3806//b1247//b0575//b0240//b3423//b0827//b2241//b0197//b1262//b4376//b0553//b2482//b2163//b3605//b1890//b1012//b0440//b2143//b1337//b1390//b0979//b0345//b2148//b1261//b4093//b2509//b2962//b2368//b2759//b4115//b0429//b1781//b3970//b2987//b3213//b0461//b0156//b3113//b3093//b3071//b1209//b3035//b1748//b0037//b2630//b0587//b0397//b0570//
ArgP-L-arginine_neg	b1528//
ArgP-L-arginine_pos	b4069//b1020//b3166//b0462//b0571//b0615//b1497//b0108//b1040//b0618//b3860//phnE_2//b3724//b4073//b4393//
ArgR-L-arginine_neg	b0462//b3770//b2671//b1654//b1901//b4093//b1299//b0814//b3319//b4015//b2093//b0345//b0330//b2614//b4000//b3236//b0864//b0204//b1546//b3222//b0593//b1735//b1322//b2661//b1780//b2092//b3356//b3926//b3278//b1858//b0928//b1715//b0588//b2406//
ArgR-L-arginine_pos	b4324//b0596//b2171//b0606//b0593//
AtoC-phosphorylated_pos	b2801//b2730//b0111//b4058//
BaeR-Phosphorylated_pos	b4058//b1748//b2063//b3333//b0720//b0078//b1672//b0776//
BirA-bio-5-AMP_neg	b4007//b1704//b4592//b3278//b1745//
CRP-cAMP_neg	b1887//b2721//b2416//b3905//b1323//b2487//b0676//b1988//b1334//b4392//b1207//b3669//b4291//b1021//b4004//b1321//b3851//b2492//b4200//b2725//b1608//b1043//b4016//b0723//b1301//b1190//b0873//b0333//b2364//b0183//b4098//b1475//b2759//b3904//b4239//b3830//b0152//b0341//b1608//b1498//b3723//b2756//b2221//b4313//b1394//b2710//b2312//b1397//b0339//b1680//b0934//b3326//b0684//b2204//b4111//b3770//b3393//b0726//b1535//b2630//b3722//b2589//b3542//b3213//b2719//b3115//b4007//b0880//b1009//b0934//b0344//b4289//b1497//b3959//b2614//b0597//b1796//b0515//b2916//b1706//b4054//b1190//b3934//b1857//b1748//b3615//b3460//b4068//b0430//b0873//b0166//b3432//b2153//b0202//b4193//b0571//b0619//b2963//b3476//b0998//b1384//b0168//b1395//b1272//b0957//b2723//b0591//b3123//b0203//b1672//b2068//b3571//b1415//b0108//b2243//b1615//b1322//b3081//b1609//b3452//b2428//b4401//b1322//b4599//b2991//b2600//b0929//b4511//b3365//b3907//b2490//b4009//b4467//
