#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b2077//b0606//
Ada-Methylated_pos	b1528//b0593//b0979//b0378//
AlaS-L-alanine_neg	b4030//
AllS-allantoin_pos	b2752//b2342//b3600//
AraC-L-arabinose_neg	b0974//b0723//b0403//b3528//b3707//b2725//b4123//b4079//
AraC-L-arabinose_pos	b3721//b0763//b2802//b2977//b3568//b2232//b4169//b0931//b4254//b3393//
ArcA-Phosphorylated_neg	b0109//b2284//b1247//b4314//b1388//b3325//b0785//b0684//b1264//b4115//b1391//b2241//b1421//b2171//b1706//b3330//b0933//b2211//b2344//b4201//b0573//b0036//b2150//b0605//b3846//b2630//b0812//b1224//b0106//b4013//b2146//b3071//b2903//b3671//b3324//b2589//b1043//b2728//b3117//b3480//b4074//b2498//b0621//b3855//b3616//b1016//b0349//b0221//b0557//b3072//b0592//b0721//b3081//b0166//b2277//b4000//b3938//b3331//b0154//b1532//b1261//b3870//b1616//b2580//b0616//b0114//b3958//b1023//b3410//b3429//b2366//b2717//b0334//b4059//b2707//b1746//b1547//b0041//b3076//b4129//b1263//b3223//b3530//b0996//b2764//b1591//b4070//b1226//b2697//b0463//b1987//b2309//b1224//b4098//b4241//b0399//b2499//b2723//b2093//b2905//b4024//b1681//b4069//b4326//b3567//b4213//b1921//b4172//b0860//b2077//b4471//b2215//b0763//b2198//b1548//b1109//b4075//b2282//b3331//b2222//b0996//b4151//b1393//b2760//b1298//b0765//b2758//
ArcA-Phosphorylated_pos	b3906//b1011//b4202//b3726//b1735//b4406//b1246//b1042//b1131//b4292//b1256//b4037//b0683//b0591//b1805//b4705//b4119//b1182//b2155//b3456//b4670//b2943//b4037//b1501//b0400//b3904//b0572//b2286//b1761//b0682//b4670//b0907//b0366//b2708//b2718//b0180//b3394//b1621//b1521//b4111//b0441//b3906//b3431//b2719//b1389//b3868//b3476//b4138//b2149//b1684//b4069//b0312//b0390//b1499//b0313//b1008//b0996//b1531//
ArgP-L-arginine_neg	b1970//
ArgP-L-arginine_pos	b1393//sroD//b4318//b1016//b2107//b3869//ilvG_2//b3214//b0974//b2488//b3906//b1225//b0330//b0720//b1388//
ArgR-L-arginine_neg	b1212//b0590//b0352//b0591//b2364//b4567//b0721//b2392//b2095//b1888//b2202//b3510//b2150//b3441//b3327//b0199//b2965//b2487//b1393//b2341//b0398//b3458//b0613//b3404//b2286//b0564//b2976//b3275//b0352//b0584//b1129//b3025//b4194//b3366//
ArgR-L-arginine_pos	b0894//b0953//b3702//b3571//b4074//
AtoC-phosphorylated_pos	b1247//b3478//b4073//b1220//
BaeR-Phosphorylated_pos	b1002//b4202//b0587//b0352//b0296//b2068//b4392//b0463//
BirA-bio-5-AMP_neg	b4073//b1040//b3668//b1810//b2725//
CRP-cAMP_neg	b3449//b1514//b3242//b4015//b1015//b4322//b0273//b0161//b1743//b2712//b3071//b1024//b2487//b0113//b0273//b0197//b3566//b2375//b0377//b1415//b4393//b2867//b2063//b1609//b0184//b0826//b3700//b4177//b0462//b2369//b4416//b0862//b2232//b0873//b4439//b1111//b2163//b3172//b0861//b4322//b2673//b3394//b1245//b4471//b2151//b0368//b2528//b1379//b2198//b1748//b0123//b0429//b3672//b1287//b3392//b1220//b2224//b4151//b1112//b0873//b2801//b4431//b0681//b4383//b1041//b1846//b2802//b2583//b3311//b0109//b0827//b2671//b3567//b3025//b2196//b0342//b0397//b2763//b1715//b0972//b2150//b2485//b4322//b0959//b0463//b1038//b2715//b3569//b1511//b4669//b3368//b2076//b4010//b0682//b3166//b2213//b3572//b1735//b4129//b4238//b3903//b3334//b3667//b0977//b2759//b0675//b3756//b2707//b0945//b1704//b1761//b3127//b1512//b4384//b2963//b4024//b2866//b4268//b3846//b2200//b2487//b4249//b3869//b1225//b0189//b3365//b2281//b0953//b4187//b2742//b2203//b0584//b0484//
