#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b2092//b3438//
Ada-Methylated_pos	b0588//b0936//b4426//b2342//
AlaS-L-alanine_neg	b0037//
AllS-allantoin_pos	b3912//b3672//b0557//
AraC-L-arabinose_neg	b2674//b4159//b3615//b2276//b3748//b0553//b0114//b2802//
AraC-L-arabinose_pos	b3072//b3569//b0191//b1744//b3907//b1548//b2759//b2074//b3615//b3409//
ArcA-Phosphorylated_neg	b4238//b3057//b0782//b0684//b4129//b0587//b4172//b3426//b2416//b1275//b0570//b0342//b1391//b2344//b0039//b2485//b3117//b4003//b1210//b0976//b0064//b1252//b3478//b3367//b3313//b4003//b3461//b2818//b2106//b2508//b0035//b2729//b1890//b2762//b3601//b0107//b2708//b3600//b0605//b3134//b3971//b2364//b4174//b2392//b3688//b2221//b3605//b3870//b0723//b1190//b0378//b3333//b0997//b4195//b0036//b4093//b3959//b1109//b2573//b0150//b1260//b1337//b3568//b0460//b1892//b0679//b2710//b4040//b0063//b1396//b4119//b0598//b3364//b3969//b1261//b4313//b4008//b3481//b2706//b3940//b3450//b3169//b3493//b1535//b2204//b4194//b3326//b2009//b3668//b2429//b4592//b1190//b1737//b2925//b1744//b0574//b3330//b2710//b0572//b2559//b1002//b3509//b2718//b4154//b2365//b0591//b2029//b2364//b0880//b2485//b0203//b1517//b1189//b3125//b1394//b1732//b1102//b0995//b1039//b1818//b0566//b3425//b0112//b2497//b1608//b0378//b2607//
ArcA-Phosphorylated_pos	b2805//b3414//b1396//b2393//b2430//b0441//b0721//b0896//b0970//b2483//b1744//b2095//b4036//b1111//b3724//b1421//b3601//b3236//b0602//b4213//b1515//b4241//b3571//b2368//b2152//b4119//b4318//b2580//b0040//b3242//b1513//b1210//b1323//b1891//b0440//b3366//b1384//b3213//b3904//b3616//b4293//b0367//b4267//b1392//b1548//b1324//b1761//b2407//b1761//b0614//b3904//b2341//b4151//b0180//b2600//b0594//b2724//b4006//
ArgP-L-arginine_neg	b2215//
ArgP-L-arginine_pos	b3903//b4062//b3868//b1780//b2465//b3727//b4000//b3530//b0959//b0177//b3035//b2707//b3457//b4451//b1718//
ArgR-L-arginine_neg	b2818//b3311//b2759//b3404//b3278//b0150//b4324//b0623//b2213//b1296//b2204//b4326//b0335//b0996//b4097//b3478//b0311//b2867//b0396//b0584//b3477//b3511//b0597//b0179//b2722//b1669//b2671//b2242//b3329//b4024//b0591//b0153//b0812//b3615//
ArgR-L-arginine_pos	b3870//b1321//b0240//b2009//b2841//
AtoC-phosphorylated_pos	b2938//b2497//b0721//b3038//
BaeR-Phosphorylated_pos	b4069//b4054//b2673//b2223//b4062//b3851//b2163//b4124//
BirA-bio-5-AMP_neg	b3722//b2712//b4203//b1540//b0602//
CRP-cAMP_neg	b3958//b0945//b0565//b2206//b1684//b4177//b3588//b3617//b3942//b3171//b1246//b3604//b2755//b2725//b3364//b4153//b3133//b4201//b1682//b1501//b2290//b0615//b3870//b0116//b3855//b3417//b3565//b4058//b2156//b3224//b0826//b3453//b2762//b1476//b2531//b4238//b2609//b3758//b2976//b3334//b3727//b3758//b2756//b2407//b3458//b2407//b1243//b1548//b1130//b2208//b1112//b4102//b2724//b2234//b1227//b0887//b2508//b1817//b2469//b1798//b3449//b2243//b4096//b2156//b0572//b4177//b3006//b2903//b3454//b4094//b1222//b1023//b1395//b2763//b4014//b4567//b4169//b0349//b4200//b4209//b2938//b1389//b3906//b1970//b1385//b0723//b3852//b0110//b3725//b2528//b4177//b2606//b2660//b0365//b4002//b4314//b1384//b1608//b1338//b3225//b3320//b0273//b3325//b3243//b2206//b4266//b2492//b2975//b4037//b3938//b0827//b4237//b2912//b2422//b4317//b3481//b3272//b4663//b2429//b4599//b4129//b3037//b1241//b1132//b3165//b1511//b2310//b1781//b0192//b4197//b1548//b2710//b0034//
