#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b1394//b3125//
Ada-Methylated_pos	b2803//b2425//b1620//b4106//
AlaS-L-alanine_neg	b0383//
AllS-allantoin_pos	b1611//b3165//b2366//
AraC-L-arabinose_neg	b0116//b3481//b0429//b2661//b0396//b3113//b0161//sroD//
AraC-L-arabinose_pos	b2425//b0124//b1015//b4450//b2500//b0775//b4124//b2961//b0681//b1530//
ArcA-Phosphorylated_neg	b3275//b1474//b1499//b3005//b0339//b1209//b1594//b0368//b1920//b4471//b4171//b3938//b0617//b3275//b4193//b1819//b3567//b2078//b1905//b0125//b0887//b0390//b3971//b2213//b4416//b1132//b1987//b3331//b4034//b3207//b1324//b0880//b0180//b1042//b0111//b3115//b1615//b1780//b2484//b3170//b1041//b2702//b4323//b2718//b1851//b4039//b0862//b1747//b1851//b3449//b1338//b2631//b2987//b1609//b3169//b0729//b1130//b3413//b2911//b0202//b4139//b3927//b4315//b2490//b1779//b0151//b3363//b3859//b3424//b1263//b1706//b2091//b3212//b3941//b0979//b3960//b3912//b1904//b4097//b4197//b0972//b3603//b4124//b4170//b4502//b4124//b4670//b2530//b4233//b2600//b1136//b1821//b2662//b2713//b1746//b1982//b1227//b2393//b0585//b0152//b4319//b1388//b4315//b4008//b0997//b0273//b3114//b0860//b4198//b0296//b3091//b0346//b2661//b1888//b0864//b1397//b3133//b4168//b2203//efeU_2//b3036//b1887//b4119//b2554//b0935//b0589//b2240//
ArcA-Phosphorylated_pos	b3035//b0365//b0063//b4319//b2369//b1684//b3025//b4094//b1674//b4005//b3610//b1846//b0620//b4076//b2068//b1500//b0108//b4384//b3261//b3569//b2979//b4014//b0522//b4406//b3441//b0389//b0064//b3123//b3132//b3725//b3541//b2572//b2609//b4153//b3118//b3707//b1209//b2996//b0399//b1011//b3728//b2277//b0784//b4139//b1594//b3168//b2215//b2752//b1736//b1517//b2310//b4289//b1672//b3481//b2841//b3759//b4129//b3853//
ArgP-L-arginine_neg	b1670//
ArgP-L-arginine_pos	b1220//b4000//b2485//b0314//b4058//b1781//b1262//b4019//b4471//b3072//b0933//b2307//b4195//b0331//b2720//
ArgR-L-arginine_neg	b3275//b4450//b4203//b3426//b1482//b3025//b0970//b1421//b3772//b2372//b0110//b4097//b4567//b0863//b4314//b1256//b0399//b2503//b2092//b3241//b3469//b0113//b0937//b2367//b3912//b4013//b3701//b0201//b2469//b3934//b1024//b2723//b0605//b0820//
ArgR-L-arginine_pos	b3722//b2957//b2232//b4254//b4159//
AtoC-phosphorylated_pos	b2707//b1902//b2800//b2721//
BaeR-Phosphorylated_pos	b2715//b4152//b2938//b2723//b3409//b4592//b0592//b0335//
BirA-bio-5-AMP_neg	b0585//b2866//b3331//b3671//b3330//
CRP-cAMP_neg	b0887//b3096//b4450//b3230//b0353//b0197//b0108//b1734//b3751//b1826//b3315//b3769//b1511//b2278//b4119//b0721//b2716//b0342//b2341//b3417//b2674//b3134//b2926//b3457//b3758//b2194//b4471//b2963//b4100//b3458//b0296//b2146//b2277//b0203//b4002//b0106//b2666//b0189//b2242//b2702//b2482//b1611//b0462//b3723//b1890//b4076//b3314//b3432//b2500//b2580//b3709//b1322//b1594//b2489//b1041//b3533//b3410//b3509//b4073//b2601//b3409//b4240//b0166//b1805//b1301//b4002//b1210//b0819//b3326//b3939//b1779//b2223//b1805//b2490//b4323//b0970//b0344//b2201//b3773//b3036//b1262//b4397//b4406//b4033//b1683//b2662//b2291//b0207//b3036//b4367//b4431//b0463//b4237//b4417//b2092//b3758//b4034//b3968//b0726//b0154//b3231//b3092//b0908//b4249//b3957//b4069//b2709//b3868//b2155//b2590//b4202//b0872//b0734//b3863//b3904//b4313//b1521//b2151//b4092//b2584//b3172//b0390//b3725//b1982//b2706//b0384//b4010//b2957//b0726//sroD//b0344//b0034//b3829//
