# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	fadA//argA//
Ada-Methylated_pos	uxaA//prs//fucU//frdA//
AlaS-L-alanine_neg	pgpC//
AllS-allantoin_pos	hmp//cysI//citG//
AraC-L-arabinose_neg	dsdA//dkgB//metF//glcD//pgaB//
AraC-L-arabinose_pos	hpt//lacA//ilvB//aspA//cysM//
ArcA-Phosphorylated_neg	torA//purK//prpE//ahpC//gcvH//dapD//yfdE//miaA//lpxA//paaA//lpxB//lysC//katG//bioA//fumB//fau//malS//glgA//gcvP//rutD//glpA//fadA//frdC//paaE//recF//frdC//ahpF//gatY//metB//tyrB//preA//tyrA//ilvE//paaI//bioF//argG//aceF//ssuD//argE//metF//ubiC//sodA//tktB//nrdE//xylB//sdhA//paaJ//cueO//lysA//betB//abgA//astC//speB//argD//ppiA//cyoE//paaA//idnO//phoA//deoB//preA//idnO//mhpE//fucA//sodA//fucU//murQ//agp//
ArcA-Phosphorylated_pos	dadX//aroH//prs//phnO//ilvH//pheT//abgB//fabZ//lsrG//fbaA//fumC//entB//nanE//napA//gabD//gltB//atoD//gpmA//fucU//ackA//ascB//galT//frdD//ilvG_1//aroF//mhpC//acs//carB//dapD//glcD//thrS//phnN//araD//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	betA//pyrC//idnK//glcE//aspC//dadX//aceB//chbF//treC//epd//phnH//
ArgR-L-arginine_neg	pflB//xdhA//mpl//pgaC//alkB//puuD//fucA//ulaE//aceE//lsrG//glpB//gatD//waaH//tauD//tehB//aroH//ldtB//cysC//
ArgR-L-arginine_pos	acnB//uxaC//phnL//purC//caiC//
AtoC-phosphorylated_pos	metB//nrdD//dadA//
BaeR-Phosphorylated_pos	serA//idnO//
BirA-bio-5-AMP_neg	glcB//dusB//uxuA//argE//hycB//
CRP-cAMP_neg	katE//malS//aceF//alaA//napB//dnaE//acnA//paaH//ulaD//upp//bioB//yfbR//dmsB//oxc//tdcE//gcvH//cpdB//rutB//miaA//aroA//galE//garL//phnJ//fes//cadA//glgX//betA//mtlD//araD//purK//lldD//adhE//lpxB//paaB//alaA//cysC//glpE//gpmA//moaA//ynfG//ulaD//purM//purL//glpQ//glpD//udp//argA//hyaB//fadE//puuE//nirB//araB//tktB//pgaC//gabD//cpdB//lpxB//tadA//paaB//folE//metL//cysC//xylB//bcsA//rutE//glyA//yfbR//hyaC//cysH//truB//dsdA//caiA//fadH//alkB//udp//gutQ//gltD//gatZ//
CRP-cAMP_pos	puuA//uxuA//ilvD//tyrB//cynS//moeB//slt//galK//argE//phnN//sufS//nrfD//caiC//lsrF//nagA//oxc//aldB//preT//amn//glgP//purA//ilvE//ssuE//serC//paaB//glpC//ahpC//kbl//purL//serC//entH//fadD//tsaE//pncB//hypB//hycB//tadA//prpB//rbsK//tam//glpQ//glcB//carA//edd//paaK//rutA//sdhB//dapD//lpd//tktB//fadJ//rdoA//argE//pgk//nagB//tdh//astA//allE//ubiX//hypB//citX//hemL//sdhA//trpE//icd//ilvA//ubiA//phnO//astB//citX//glgC//moeB//gatD//ilvB//purK//iscS//prs//hyaC//pheS//katE//paaZ//astA//dadA//deoA//napG//rbsK//entE//cheB//phnM//gatZ//argH//thrS//moeB//serA//fadA//lpd//tnaA//dmsA//truB//pyrD//yfbR//fucK//citX//fbaA//ung//nanA//rnpB//purA//bioF//argG//edd//napC//astC//pflB//nagA//citF//frc//astB//preT//hycE//puuC//atoA//adhE//atoA//tehB//ispE//astD//nadC//metB//malZ//tsaE//metF//gapA//bacA//cysC//alaS//rhaB//ackA//tdcE//prs//argB//paaK//purK//guaA//agp//citD//lldD//glcF//deoB//paaC//argC//tdh//puuB//torC//bioF//gntK//ilvA//mpl//moaA//phnO//galK//puuE//fucK//upp//nanK//purC//cysI//lsrF//fbaA//pgaC//astA//tdcG//carA//galM//metL//gatY//bcsB//ynfG//rutE//lpxB//purC//mhpC//mhpB//alkB//nrfD//puuB//adhE//truB//rutD//codA//folE//sufS//metF//hemA//ilvC//slt//pgaC//paaH//pncB//lpxD//phnL//paaE//bioC//alkA//paaA//truB//phnG//torC//rutC//rbsD//glgA//ubiA//aceE//mdh//tdcB//frdA//ilvG_1//prpD//glpX//folA//polA//lacA//gltD//pflB//purM//ampD//aspA//torC//paaH//argG//lysC//metL//ssuE//idnD//purE//guaA//mtlD//sdhC//xdhC//hycE//allE//torA//ftnA//
ChbR-Monoacetylchitobiose-6P_neg	rhaB//araA//aldB//
ChbR-Monoacetylchitobiose-6P_pos	araA//purD//fadE//
CpxR-Phosphorylated_neg	alkA//waaH//deoC//
CpxR-Phosphorylated_pos	gutQ//gdhA//moeB//puuA//hyaC//ugpQ//bioB//cysD//garL//ilvD//metE//aroF//dgcZ//atoD//frc//cueO//glcF//amn//cheR//
CreB-Phosphorylated_neg	epd//
CreB-Phosphorylated_pos	chbF//sdhD//
CueR-Ag_neg	deoD//dapB//
CueR-Ag_pos	nanM//argB//
CueR-Cu+_neg	tdcE//entB//
CueR-Cu+_pos	uxuB//tdcB//
CuerR-Au_neg	tadA//paaK//
CuerR-Au_pos	gltA//gnd//
CusR-Pasp_pos	talA//xdhC//chbG//
CynR-Cyanate_neg	
CynR-Cyanate_pos	moeA//argD//purL//
CysB-N-acetyl-L-serine_neg	acnB//narG//bioB//
CysB-N-acetyl-L-serine_pos	gltD//nanA//nrdA//lysU//lpxB//nirD//gltA//citG//citF//deoD//moeA//hycC//lacA//
CysB-O-acetyl-L-serine_neg	purL//hycG//pck//
CysB-O-acetyl-L-serine_pos	metA//lsrF//gpmA//paaK//hmp//phnP//metH//argI//fau//fucI//fadA//trpB//malS//talA//
DcuR-Phosphorylated_pos	xylB//miaA//uidA//moeB//
DnaA-ATP_neg	metB//sucA//ubiA//citG//pgpC//
DnaA-ATP_pos	prpC//argG//garK//
DpiA-Pasp_neg	
DpiA-Pasp_pos	frdD//hyaC//ppiA//xylB//rhaB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	umpH//paaF//
EvgA-Phosphorylated_pos	dadX//frdD//mutY//aroF//glpE//
FNR-Fe_neg	idnD//puuA//napC//cyoE//lacA//yfbR//aceB//paaZ//hycB//purA//guaA//dmsC//hmp//fadJ//frdD//hycE//tnaA//rhaD//dmsC//oxc//uxaB//kbaZ//aceF//prpE//glnA//xapA//lhgO//aceB//ppiA//tdcE//udp//yfdE//hycB//thrS//glcE//lpxA//speA//cynT//fucO//glcF//fumA//guaB//galM//ybjG//waaH//entB//glgB//
FNR-Fe_pos	argD//moaA//xylA//gltA//gabT//tdcD//polA//sufS//mhpA//xdhA//glpB//argD//metC//ssuD//abgA//glgX//paaJ//patZ//yqjH//malY//mhpF//udp//pck//ppiA//sucB//aspC//iscS//sdhC//tam//upp//nagA//garK//abgA//glpD//napC//aspC//dapD//mhpC//hcp//ilvA//caiB//uxaA//glgP//trpB//fes//nrfC//hycE//caiD//argF//paaK//acnB//tadA//gpsA//glpB//folA//dmsB//chbF//uxaC//pheS//napG//eda//napG//pyrD//appA//araB//dnaE//metF//xapA//dgcZ//hemL//citX//fucA//paaF//gnd//ubiX//purB//katE//tnaA//nrfA//gpmA//cysH//yqjH//cheB//aceB//purD//phnL//galM//gatD//treC//rnpB//zwf//mdh//
FhlA-Formate_pos	phnJ//idnK//guaB//paaH//cynS//pgpC//glcE//
FucR-L-fuculose-1-phosphate_pos	cheB//cynS//idnO//ynfE//atoB//ldtB//
Fur-Fe2+_neg	fes//dadA//xapA//tadA//argD//preT//rnpB//glpA//gpsA//entH//hypF//nanM//idnK//phnN//mltC//gltB//fucO//aspC//cheR//malP//cysN//trpD//alaS//uxaB//hycE//ilvG_1//astA//argC//metH//speB//glgB//yfeW//gltB//gntK//glpQ//dusB//garR//idnO//tdh//hmp//nirB//atoB//ubiX//nanA//ilvB//pnp//fumC//prpC//malS//ppiA//nrfC//amn//ldtC//phnM//torA//ascB//deoC//narH//tnaA//
Fur-Fe2+_pos	aldB//ppiA//zwf//bcsB//mpl//trpD//entE//paaF//tyrB//metL//fadJ//xdhB//fadB//frdC//ansB//aspC//ubiG//gatZ//rutD//gltD//
Fur-Mn2+_neg	atoD//puuA//frdD//glpQ//sucC//ubiG//tdcB//phnL//caiB//mhpD//sucD//nrdE//narH//argE//alaA//gadB//hycC//puuD//argF//ilvM//ung//feaB//gatZ//glgA//acnB//allD//dmsA//fadH//ulaF//lacA//hcp//glpC//prpB//ilvE//nrfD//tadA//garR//rutD//tauD//udp//tauD//entH//glgX//feaB//metA//fucK//lysC//ilvH//ilvA//cysN//rbsD//speC//entF//caiA//kbaZ//araA//trpE//astA//lpxD//
Fur-Mn2+_pos	narI//caiC//aroF//ilvN//aceF//puuE//torA//avtA//codA//entA//glpK//purN//metL//garL//chbG//ilvE//fadH//ampD//fucI//caiB//
GlcC-Acetate_neg	
GlcC-Acetate_pos	paaF//bacA//xylB//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	phnJ//betA//metA//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	allD//cysN//argH//
IdnR-5-ketogluconate_neg	malP//ndh//
IdnR-5-ketogluconate_pos	idnD//ssuD//nrdA//oxc//
IdnR-Idonate_neg	tktB//glpD//
IdnR-Idonate_pos	rhaD//dapB//murQ//malQ//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	hemA//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	acnA//
IscR-2Fe_neg	ilvM//ldtC//rutD//aspC//zwf//
IscR-2Fe_pos	napA//paaH//
LldR-L-lactate_neg	pgaB//gdhA//
LldR-L-lactate_pos	tdcD//argB//
Lrp-Leucine_neg	hyaB//hyaB//hmp//argA//galK//cadA//acs//ndh//rbsD//mtlD//paaB//fadI//glcE//ilvG_2//cysD//atoA//caiA//paaF//purA//guaA//lpxA//ldtC//nagB//alaA//
Lrp-Leucine_pos	codA//galE//mhpB//nrfA//ftnA//paaA//katG//cysK//nrdA//galT//mhpD//ubiA//torC//ubiG//phnI//uidA//tyrA//ackA//
LsrR_neg	uxaA//alkA//xylA//metK//lpxD//
MalT-ADP-Maltotriose_pos	fadI//puuA//pgk//bioB//mutY//cysK//
MalT-Maltotriose-ATP_pos	paaK//purN//malS//preA//dmsC//sucA//
MelR-Melibiose_neg	pgaC//frdA//
MelR-Melibiose_pos	gatD//ogt//
MetJ-S-adenosylmethionine_neg	bioA//ilvA//glcE//fau//gltA//yeaE//glpX//napA//caiD//xdhB//
MetR-L-homocysteine_neg	phnG//
MetR-L-homocysteine_pos	lpxB//pflB//ansB//cysN//
MhpR-3-DHPP_pos	ilvC//cdd//astC//gpsA//gcvT//polA//
MhpR-3HPP_pos	hycE//hyaA//purL//paaZ//citX//hmp//
MntR-Cd2+_neg	rbsD//
MntR-Cd2+_pos	yjeF//
ModE-MoO42-_neg	acs//trpD//lsrK//lpxD//ogt//galT//glpA//preA//
ModE-MoO42-_pos	tyrB//moaE//sufS//pdeF//tktB//agp//
NarL-Phosphorylated_neg	paaF//dsdA//entD//fucK//paaB//garL//mhpE//trpA//paaA//tdcG//narG//murQ//paaA//deoD//tauD//nrdA//polA//fucK//rutD//paaA//fumA//pgk//mhpD//nanM//
NarL-Phosphorylated_pos	pgaD//hypF//araB//ansB//caiD//metL//patZ//bioD//katE//ssuD//citX//nrdB//metE//cueO//glpC//
NarP-Phosphorylated_neg	treC//sucA//cpdB//
NarP-Phosphorylated_pos	citC//tnaA//astC//entF//entH//argF//ubiA//deoA//paaI//ahpF//
NhaR-Na+_pos	polA//mutL//alaA//cynS//
NikR-Cd2+_neg	dadX//
NikR-Co2+_neg	bcsB//
NikR-Cu2+_neg	tam//
NikR-Ni2+_neg	oxc//
NikR-Zn2+_neg	oxc//
NrdR-ATP_neg	aspC//astC//ansB//puuE//
NrdR-Zn2+_neg	glgA//glpD//chbF//paaE//
NrdR-dATP_neg	iscS//citC//torA//paaA//
