#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b4092//b2608//
Ada-Methylated_pos	b2993//b0805//b2579//b2980//
AlaS-L-alanine_neg	b0377//
AllS-allantoin_pos	b4376//b1298//b2589//
AraC-L-arabinose_neg	b1015//b2221//b3266//b2074//b0036//b3330//b1298//b2659//
AraC-L-arabinose_pos	b4441//b4120//b4151//b3429//b2838//b4450//b2730//b2926//b2913//b4209//
ArcA-Phosphorylated_neg	b0522//b4268//b2163//b1336//b4119//b0565//b0616//b1264//b2867//b0168//b4467//b3572//b1597//b3242//b0863//b0403//b1621//b3961//b3126//b1886//b3926//b0350//b1016//b0814//b1744//b2725//b4009//b2840//b4233//b3241//b4118//b1713//b0343//b0887//b1521//b2717//b1608//b0168//b0765//b2588//b1395//b3672//b0182//b0411//b2508//b1805//b3036//b3242//b4054//b2364//b3940//b0785//b0043//b3969//b1902//b1515//b4460//b3940//b1530//b0953//b2068//b4401//b1227//b1301//b1528//b3171//b1298//b4019//b2366//b0602//b2710//b0720//b2197//b0575//b4367//b0181//b3236//b0428//b4310//b1588//b2905//b1515//b3869//b2508//b1810//phnE_2//b1301//b0192//b3749//b0976//b2481//b0978//b4172//b3438//b0723//b3418//b1797//b4288//b3845//b0620//b4326//b2077//b4129//b0389//b4460//b2148//b4152//b0826//b1474//b1246//b1208//b2146//b1212//b1737//b4170//b2498//b2557//b0886//b3599//b1132//b1501//b3511//b3568//b1498//b1858//b3394//b1852//
ArcA-Phosphorylated_pos	b1612//b0593//b4123//b2718//b1615//b0895//b4093//b0575//b2911//b1276//b1901//b1247//b3611//b1621//b1669//b1275//b3425//b1501//b0523//b3132//b0331//efeU_2//b4268//b3327//b4104//b0864//b2573//b4174//b0399//b0365//b0240//b2207//b2708//b2416//b2151//b1617//b0880//b3451//b2197//b4322//b3906//b2372//b2239//b1511//b3236//b2584//b3332//b2732//b3093//b1260//b1212//b2171//b4506//b1226//b3569//b2364//b3168//b3314//
ArgP-L-arginine_neg	b3859//
ArgP-L-arginine_pos	b2801//b2669//b1512//b2584//b2285//b0570//b2342//b4019//b1891//b4070//b2163//b3329//b4124//b1761//b3026//
ArgR-L-arginine_neg	b3961//b2068//b3571//b3770//b0042//b0182//b0107//b2205//b0113//b3728//b1041//b3134//b1394//b4079//b3781//b1817//b1011//b3668//b3428//b0152//b3311//b0338//b3617//b4316//b1062//b1658//b3414//b1798//b4072//b2211//b1379//b3722//b0198//b0677//
ArgR-L-arginine_pos	b4019//yegZ//b3132//b0166//b4288//
AtoC-phosphorylated_pos	b3037//b4039//b1474//b0841//
BaeR-Phosphorylated_pos	b4175//b1921//b4067//b4196//b0116//b1920//b3037//b0168//
BirA-bio-5-AMP_neg	b0575//b0615//b0166//b2557//b3415//
