# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	glyA//rhaD//
Ada-Methylated_pos	dkgB//astB//malZ//ahpF//
AlaS-L-alanine_neg	glcD//
AllS-allantoin_pos	cueO//katG//argB//
AraC-L-arabinose_neg	narG//deoB//metK//purE//fadE//
AraC-L-arabinose_pos	rnpB//ilvI//argE//pgaD//prmC//
ArcA-Phosphorylated_neg	rhaD//phnL//xylA//purM//yfeW//ftnA//purC//polA//ilvB//gcvH//pdeF//deoC//citG//metL//sodA//lpxD//sdhB//citD//cheB//tsaE//fbaA//paaZ//citC//purK//ndh//citD//abgB//pheS//aceB//cynS//prpB//ahpC//tam//deoC//purL//astA//alaS//ynfE//purA//cdd//lacA//lysU//malZ//atoA//preT//ada//cadA//tdcD//ynfG//sdaA//torC//nanA//ilvG_1//ulaD//uidA//napA//torC//aspA//guaB//mhpD//tyrA//hemA//ynfG//ahpC//paaJ//napC//phnH//sdhD//
ArcA-Phosphorylated_pos	ybjG//puuD//glgX//phnL//tdcB//caiD//sucC//lsrG//dmsB//ilvC//phnG//paaH//moaA//gcd//paaK//pheT//dkgB//trpE//guaA//torA//purH//avtA//entF//lysA//cysK//purC//ndh//fucK//idnO//mhpB//nirD//xdhA//puuC//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	gpmA//oxc//lysU//mhpF//moaA//glpX//dnaE//pta//puuB//ulaF//ftnA//
ArgR-L-arginine_neg	nanM//purN//manA//ubiA//aroG//glpC//hyaB//purM//glpQ//slt//rutD//caiB//metK//hyaC//ampD//citE//puuB//sdhB//
ArgR-L-arginine_pos	hypF//phoA//nrfD//purD//cysD//
AtoC-phosphorylated_pos	pgpC//puuB//phnO//
BaeR-Phosphorylated_pos	moaA//preT//
BirA-bio-5-AMP_neg	phnH//fadA//carB//ulaD//argD//
CRP-cAMP_neg	tauD//entF//yfbR//tdh//hcp//nrdF//puuA//paaC//alkB//hemA//purE//hycF//pta//mpl//yqjH//paaJ//lpxB//glcE//napB//yeaE//fadJ//hyaA//folA//purE//acnB//paaZ//argE//speB//tnaA//citF//purD//napC//napB//ugpQ//purM//rnpB//narG//udp//iscS//gatD//lpxB//slt//argE//deoC//ldtC//gcvP//ulaE//phnN//mdh//nrdE//napB//phnI//paaC//gatY//prmC//fabZ//aldA//nrfB//kbaZ//gcd//rutC//bioB//fadE//argH//cysK//ahpC//alkA//prpB//prpD//hycE//tyrB//rhaD//ilvH//hyaB//yqjH//napA//guaB//glpE//
