# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	fadA//chbG//
Ada-Methylated_pos	metH//pagP//appA//idnO//
AlaS-L-alanine_neg	ulaF//
AllS-allantoin_pos	narG//cysC//phnJ//
AraC-L-arabinose_neg	agp//nrfB//dadX//purL//idnD//
AraC-L-arabinose_pos	phnP//paaK//glpK//nrdD//fadE//
ArcA-Phosphorylated_neg	fucA//cysD//aldA//aroA//nrdD//phnH//ilvD//prpE//metH//idnD//uxaA//edd//nirD//gnd//uidA//glpB//argH//moaE//pyrC//puuC//dapB//argB//rutA//dsdA//purH//rbsK//ulaE//aroG//sdhA//dmsB//cadA//glgP//gntK//ada//mutL//glgA//hcp//idnD//trpA//bioF//serC//fadB//paaA//rnpB//gadB//metF//citF//manA//uxaA//prmC//manA//uxaC//glcF//sdhD//tsaE//hcp//gabD//glgC//galE//argH//mltC//fadB//alkA//purF//lpxA//hypB//rnpB//prpB//
ArcA-Phosphorylated_pos	ldtB//fadI//adhE//glcE//glpC//aroA//cyoE//tadA//phnM//paaJ//trpD//atoB//ogt//napA//betB//cysJ//cdd//sdhD//aroL//uxaA//sucD//hyaB//lysA//bcsZ//lysC//caiC//fumC//pck//paaZ//trmD//tadA//purN//astE//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	rutB//tktB//glgB//entD//hpt//moaA//gatZ//moaD//phnI//frdA//napG//
ArgR-L-arginine_neg	prpB//xdhC//bcsZ//polA//xdhA//ilvG_2//ahpF//tdcE//acnB//patZ//citC//nrfD//lpd//astB//ascB//recF//lacA//galT//
ArgR-L-arginine_pos	tsaE//cynT//fdhF//metH//sdhD//
AtoC-phosphorylated_pos	ackA//phnO//deoC//
BaeR-Phosphorylated_pos	metE//ilvD//
BirA-bio-5-AMP_neg	hpt//fes//agp//mhpC//fucI//
CRP-cAMP_neg	dnaE//hycF//alaA//torA//ugpQ//aspC//phnM//cysN//hycD//hycG//argB//fau//abgA//narH//caiB//cysD//ynfF//phnL//galM//gpmA//glgP//pyrC//xdhC//hcp//ldtC//gatD//glgX//aroA//aspC//chbF//araA//aspA//garR//napG//galT//glcD//torA//gcvT//caiD//hycG//ilvC//ascB//ampD//garK//araB//glpX//ascB//ynfF//trpA//pyrC//cheB//entC//idnK//phnM//aspC//dadX//ilvM//cpdB//prmC//udp//fumC//paaI//gnd//folE//napA//xdhB//ilvB//aroF//nrdE//aceF//glpA//gatD//gdhA//mpl//trpD//tdcB//xdhC//moeB//
