#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b4381//b1851//
Ada-Methylated_pos	b0109//b3481//b1385//b2148//
AlaS-L-alanine_neg	b1189//
AllS-allantoin_pos	b3265//b0774//b1886//
AraC-L-arabinose_neg	b3569//b2708//b0763//b0192//b1617//b1901//b0585//b1713//
AraC-L-arabinose_pos	b0606//b4092//b4291//b1042//b1500//b3940//b3093//b0399//b2093//b1781//
ArcA-Phosphorylated_neg	b3600//b3617//b2662//b4197//b1429//b0110//b2287//b1101//b2904//b2995//b3321//b4468//b3008//b3772//b2429//b0784//b1920//b0861//b1852//b3026//b1615//b0191//b4102//b0757//b4068//b2414//b0221//b4460//b2719//b3212//b3394//b0178//b4152//b3611//b4095//b0775//b3723//b1743//b3320//b0150//b3368//b0998//b1264//b2492//b4154//b3225//b1683//b2731//b2234//b4004//b4037//b3261//b3540//b4324//b1012//b2606//b3166//b2590//b2307//b1265//b3231//b3771//b2415//b4169//b4151//b0312//b1390//b2481//b0908//b4171//b3274//b0331//b3335//b3214//b3565//b0450//b2762//b1208//b2143//b4033//b3230//b3781//b2197//b3615//b2425//b1684//b1299//b2963//b3702//b4201//b3115//b3458//b1514//b3317//b2580//b4293//b4264//b3134//b1131//b0180//b2991//b0726//b2553//b2994//b3960//b0571//b1905//b4663//b1390//b2093//b2414//b0591//b4699//b3049//b1182//b2201//b4460//b0617//b0296//b0463//b1101//b2425//b2151//b0151//b0150//b1719//b0397//
ArcA-Phosphorylated_pos	b1297//b2904//b3365//b3359//b1733//b4238//b4168//b3829//b0620//b2764//b1407//b2341//b2497//b0345//b2608//b0827//b2674//b3958//b3724//b3321//b2579//b2868//b1321//b1780//b3452//b3530//b0183//b4069//b1540//b3418//b2666//b4397//b0886//b0819//b1275//b3599//b0368//b4003//b2507//b1225//b3359//b3409//b0557//b2590//b2718//b2728//b1407//b3453//b3469//b0904//b2498//b4310//b2234//b2509//b3479//b1112//b0959//b0783//
ArgP-L-arginine_neg	b1299//
ArgP-L-arginine_pos	b2980//b0314//b4309//b1385//b0873//b4035//b2407//b1130//b2903//b1514//b0335//b0061//b4118//b2535//b4671//
ArgR-L-arginine_neg	b3114//b0782//b1736//b2470//b2309//b4637//b2713//b4383//b0043//b1718//b4200//b1528//b0763//b0113//b3831//b1922//b3394//b2589//b3942//b2976//b0463//b4125//b2552//b2528//b1901//b4209//b3127//b1612//b4287//b3670//b2486//b3241//b2963//b0192//
ArgR-L-arginine_pos	b0586//b0031//b3242//b2800//b3667//
AtoC-phosphorylated_pos	b3521//b2706//b1797//b2204//
BaeR-Phosphorylated_pos	b2491//b4471//b4075//b0450//b3095//b3315//b1719//b1889//
BirA-bio-5-AMP_neg	b3207//b2601//b1886//b3125//b3438//
