#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b2342//b4254//
Ada-Methylated_pos	b1747//b3165//b3414//b0191//
AlaS-L-alanine_neg	b0179//
AllS-allantoin_pos	b2609//b3971//b2499//
AraC-L-arabinose_neg	b0903//b0042//b2242//b1622//b2308//phnE_2//b2732//b4315//
AraC-L-arabinose_pos	b3603//b0726//b1497//b1335//b0586//b3569//b2284//b0862//b1673//b0998//
ArcA-Phosphorylated_neg	b3326//b3416//b3335//b2725//b3574//b0062//b4119//b0841//efeU_2//b3721//b2234//b1615//b0273//b1746//b1407//b1546//b0755//b2711//b1885//b0202//b4015//b3863//b4311//b0683//b0573//b2200//b2994//b1819//b3008//b3242//b3707//b1680//b2530//b4006//b0782//b0860//b4264//b4203//b0331//b3911//b3165//b3367//b1920//b4132//b0904//b0451//b3481//b1885//b2365//b1190//b3911//b1021//b3403//b1743//b2725//b2278//b1613//b4092//b1297//b0312//b1227//b0972//b3431//b4323//b3700//b3169//b4024//b3518//b2091//b3430//b2424//b4097//b2729//b3868//b2852//b2421//b3091//b3670//b2311//b4095//b0755//b4376//b2149//b0896//b4062//b1613//b2571//b2614//b2151//b3781//b0198//b4035//b3237//b3569//b3135//b3456//b1531//b3961//b3071//b1262//b4133//b1010//b0970//b2721//b2584//b2755//b0110//b2481//b2367//b1744//b1036//b0978//b0330//b2503//b4290//b2911//b1387//b1008//b3005//b2965//b2722//b3425//b4175//b2661//b2606//b0036//b2163//
ArcA-Phosphorylated_pos	b2223//b2508//b2916//b2508//b3394//b3511//b2424//b4010//b3169//b2283//b0184//b1220//b2995//b2107//b3392//b2370//b1475//b3077//b0349//b2286//b4322//b3851//b0974//b2491//b0430//b2146//b1826//b4194//b2710//b0570//b4115//b3608//b3038//b1679//b4354//b1129//b0595//b1655//b2307//b3749//b0863//b3223//b4321//b2429//b0754//b1680//b1589//b3456//b3727//b0123//b2752//b1501//b2146//b0440//b3477//b2631//b4036//b1907//
ArgP-L-arginine_neg	b3008//
ArgP-L-arginine_pos	b2713//b1814//b2943//b3135//b2286//b2979//b3615//b3721//b3688//b3609//b3749//b3161//b3320//b1655//b2591//
ArgR-L-arginine_neg	b3749//b2198//b2288//b3864//b1024//b3441//b2078//b0161//b0440//b1922//b3908//b4172//b2751//b2703//b2196//b3225//b0862//b1227//b0957//b3942//b1474//b3454//b2370//b3971//b0311//b0618//b0345//b3610//b0827//b2712//b2992//b3846//b2068//b0367//
ArgR-L-arginine_pos	b3454//b1022//b1037//b2559//b2961//
AtoC-phosphorylated_pos	b0398//b3404//b3617//b3611//
BaeR-Phosphorylated_pos	b2911//b2560//b3311//b2311//b1680//b2726//b0778//b0734//
BirA-bio-5-AMP_neg	b2606//b2588//b0935//b4039//b2150//
CRP-cAMP_neg	b4705//b1590//b0616//b3905//b0585//b0977//b1009//b4016//b4100//b4240//b4018//b0167//b2838//b0677//b4016//b2697//b1136//yegZ//b3095//b3456//b4036//b2980//b1398//b2764//b3037//b0682//b3670//b2726//b0080//b1246//b3723//b2717//b3938//b4058//b0451//b4075//b3278//b3025//b1272//b3312//b0516//b3756//b0765//b2943//b1734//b1733//b2660//b0974//b0734//b1132//b1387//b2422//b2392//b2029//b0039//b3081//b2371//b0605//b0605//b0976//b4406//b0896//b0619//b3748//b1732//b3605//b3272//b4384//b3748//b3311//b3328//b0863//b1988//b4167//b3480//b1113//b0460//b3870//b2705//b1220//b1475//b2371//b3368//b1617//b3356//b4511//b3426//b2661//b4506//b3518//b0880//b2710//b4292//b4018//b3261//b2150//b4467//b0758//b2751//b0039//b1390//b4397//b0995//b3544//b3707//b2487//b3450//b4068//b0592//b1022//b2198//b0367//b4177//b1007//b3164//b3365//b2579//b3005//b1885//b4005//b2721//b3395//b3167//b3478//b1006//b0721//b2707//b4168//b0683//b2464//b2803//b2755//b1889//
