#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b3450//b2485//
Ada-Methylated_pos	b4193//b0383//b1241//b2840//
AlaS-L-alanine_neg	b2728//
AllS-allantoin_pos	b2573//b0383//b2705//
AraC-L-arabinose_neg	b0296//b4076//b4439//b2281//b1209//b2369//b1265//b4196//
AraC-L-arabinose_pos	b3117//b0979//b2152//b0198//b1207//b3325//b4195//b2239//b2911//yegZ//
ArcA-Phosphorylated_neg	b0594//b4174//b3912//b0343//b3831//b2911//b2469//b2201//b3260//b4317//b0431//b1500//b2716//b3410//b3481//b2287//b3429//b2508//b0617//b4321//b2554//b0728//b1733//b1608//b2663//b4240//b2673//b3851//b3243//b1205//b3568//b4172//b1210//b1881//b2078//b4313//b1718//b2422//b0861//b3707//b4698//b2631//b0430//b0398//b0959//b1385//b3831//b1260//b1301//b4399//b0125//b2415//b3455//b0399//b1858//b2297//b4200//b4197//b4119//b2078//b4106//b1737//b0887//b3071//b3971//b1397//b4468//b1136//b0936//b3225//b4355//b1682//b1016//b2570//b3071//b4194//b2801//b0886//b4322//b1890//b0340//b4201//b1211//b3567//b0367//b2802//b3912//b3604//b4233//b2759//b2963//b3906//b0166//b3357//b1535//b2077//b4125//b3316//b1594//b4471//b2588//b2727//b2406//b0588//b0180//b4416//b0346//b3609//b2221//b4238//b4290//b0516//b0782//b0861//b0724//b2491//b3958//b0113//b2718//b0041//b3456//b1010//b0583//b2702//b4100//b1189//b3940//
ArcA-Phosphorylated_pos	b0041//b3721//b4322//b3236//b3035//b1243//b0043//b2925//b0197//b1261//b2977//b3938//b0726//b4382//b1160//b3960//b2482//b3077//b0205//b2725//b1008//b2235//b1684//b0034//b0908//b0572//b2760//b2840//b2107//b2607//b2750//b2009//b3242//b0037//b4381//b1743//b3260//b2601//b2147//b1798//b3418//b3170//b0723//b0679//b3312//b3430//b2987//b3605//b0340//b2393//b0975//b1189//b3224//b1717//b3940//b3357//b3057//b0734//
ArgP-L-arginine_neg	b4194//
ArgP-L-arginine_pos	b4381//b4319//b3161//b0154//b2094//b3970//b2990//b3431//b3091//b1189//b2490//b2091//b2205//b2589//b2729//
ArgR-L-arginine_neg	b3766//b1189//b3072//b3469//b2155//b3851//b2421//b0430//b4289//b1540//b3927//b1388//b3831//b1814//b3096//b1021//b3311//b3417//b2146//b3702//b0189//b1298//b2375//b3277//b2552//b3870//b1246//b1679//b3035//b2705//b0062//b1921//b4104//b1850//
ArgR-L-arginine_pos	b4095//b4316//b0774//b1062//b3315//
AtoC-phosphorylated_pos	b2194//b1797//b4094//b1037//
BaeR-Phosphorylated_pos	b3328//b3168//b3533//b0617//b1112//b0606//b4318//b0775//
BirA-bio-5-AMP_neg	b1779//b2732//b1881//b0123//b3093//
CRP-cAMP_neg	b3829//b0819//b0597//b2764//b1499//b0344//b0390//b3968//b0038//b3364//b2729//b0039//b2528//b4310//b4460//b0183//b4039//b4099//b2306//b2367//b2486//b3132//b1743//b4438//b2240//b3758//b1679//b4072//b0574//b2711//b2732//b3225//b0723//b0676//b3325//b4120//b2241//b3118//b4019//b3241//b3236//b0350//b1889//b2307//b3846//b3319//b0564//b2591//b3934//b3934//b0180//b3212//b0377//b3230//b3320//b0184//b1007//b1612//b4093//b4416//b3753//b0204//b4400//b0937//b0908//b1016//b3609//b3092//b2375//b2241//b0153//b3544//b3669//b0860//b0676//b2905//b3751//b4151//b4316//b1988//b2094//b2535//b2421//b0587//b2703//b0273//b0398//b0589//b4237//b0182//b3425//b2063//b0872//b0181//b3455//b0616//b0734//b4382//b0154//b2484//b0353//b3723//b1296//b1882//b4321//b0044//b4120//b3333//b3540//b4476//b2211//b0974//b1220//b3367//b2297//b4392//b1260//b0928//b0907//b0181//b2606//b3667//b3610//b0903//b3213//b0197//b2224//b2551//b2554//b4197//b4264//b4426//b1826//
