#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b1884//yegZ//
Ada-Methylated_pos	b0722//b3969//b2995//b4417//
AlaS-L-alanine_neg	b2393//
AllS-allantoin_pos	b2703//b3518//b1011//
AraC-L-arabinose_neg	b2074//b0907//b1220//b0207//b4599//b3455//b4067//b1009//
AraC-L-arabinose_pos	b1039//b0350//b3006//b2573//b1547//b1390//b2296//b1220//b2503//b2751//
ArcA-Phosphorylated_neg	b3036//b1263//b0273//b2710//b4265//b0589//b2704//b1245//b4315//b4005//b2674//b1593//b1482//b1012//b1747//b0886//b0978//b1719//b0450//b0995//b2075//b0113//b1038//b2804//b4195//b2804//b0864//b3851//b1982//b0108//b3164//b4193//b1275//b4376//b3904//b2197//b1905//b1891//b3600//b0675//b0894//b2106//b0614//b4242//b0826//b2965//b1021//b2723//b3721//b3828//b3038//b4187//b1846//b4309//b1589//b4105//b1002//b4201//b1883//b3428//b0460//b2755//b2095//b0351//b1211//b0734//b4198//b2364//b1475//b4393//b3242//b2307//b3493//b3869//b0764//b0342//b3225//b2239//b2373//b2146//b3005//b1246//b1890//b0602//b2143//b2197//b4063//b0180//b1246//b0207//b0314//b0037//b2840//b3365//b3116//b0346//b3518//b3438//b1511//b0972//b3541//b3207//b3509//b2085//b2488//b0182//b2482//b2841//b4400//b1851//b4015//b3441//b1264//b0995//b4322//b3092//b4118//b1500//b1501//b2710//b3770//b0177//b0353//b3076//b4096//b4159//b0996//
ArcA-Phosphorylated_pos	b1225//b0451//b4268//b2205//b1112//b1252//b2731//b0431//b3458//b1430//b1263//b0178//b0346//b0336//b0202//b0758//b1391//b1287//b4153//b1245//b2311//b1679//b1920//b0368//b3701//b4122//b3266//b0064//b0108//b1109//b3766//b3750//b0036//b3852//b1683//b3314//b4315//b0931//b1613//b1398//b2200//b0336//b2278//b2417//b3926//b3543//b2711//b2559//b3543//b0110//b1275//b2996//b3773//b3409//b3408//b2486//b1587//b0781//
ArgP-L-arginine_neg	b4311//
ArgP-L-arginine_pos	b1714//b2607//b2291//b4170//b1920//b1429//b1615//b4019//b2868//b0441//b2310//b3223//b2143//b1655//b2149//
ArgR-L-arginine_neg	b0935//ilvG_1//b2423//b2584//b0347//b3542//b0863//b1222//b2557//b4268//b3311//b0450//b3927//b4702//b0523//b0784//b3035//b3855//b1882//b1656//b3432//b2976//b0048//b1973//b2288//b4004//b4002//b4005//b4062//b0400//b1535//b0517//b1132//b0331//
ArgR-L-arginine_pos	b3854//b2800//b2742//b2484//b3364//
AtoC-phosphorylated_pos	b4254//b3543//b3126//b2716//
BaeR-Phosphorylated_pos	b2296//b4567//b3213//b1276//b3133//b1002//b2487//b2600//
BirA-bio-5-AMP_neg	b0341//b2153//b0349//b0429//b4133//
CRP-cAMP_neg	b3724//b0586//b0945//b2498//b2609//b3116//b2063//b2373//b1385//b3828//b0177//b1674//b3458//b3236//b1810//b4196//b4209//b3456//b1781//b3457//b2092//b4237//b4200//b4096//b3911//b1594//b4013//b3781//b0953//b4040//b3415//b1747//b0756//b3231//b2559//b3458//b1780//b0331//b1532//b1987//b0975//b0463//b0398//b3509//b3611//b3036//b0032//b1324//b1922//b0153//b0114//b2962//b4193//b1547//b1883//b2205//b1391//b0675//b0389//b0617//b4268//b3409//b3403//b4068//b3460//b1798//b2231//b4460//b1621//b2236//b4511//b4431//b4663//b4401//b3057//b2758//b2703//b2312//b3357//b3327//b1388//b1746//b4097//b1656//b2962//b3927//b4195//b0676//b0377//b3368//b1020//b0894//b0377//b3925//b4008//b0341//b4069//b1615//b1671//b4319//b3316//b1737//b2195//b0334//b2222//b1782//b3274//b4000//b2661//b1023//b2724//b0396//b2430//b4376//b4383//b0384//b1881//b0168//b2751//b1336//b4381//b3599//b1887//b2313//b1658//b2757//b0564//b2904//b3037//b4018//b3450//b0605//b0152//
CRP-cAMP_pos	b4209//b1012//b1851//b3572//b3273//b2990//b0123//b2994//b1190//b0463//b0062//b3265//b1513//b1006//b3115//b1682//b2996//b2702//b2311//b0933//b2713//b3477//b3135//b4168//b0590//b2507//b2489//b2208//b3749//b0566//b2414//b0389//b0976//b1224//b0676//b3265//b2923//b4167//b2085//b1393//b0400//b0887//b2068//b4006//b3700//b3424//b2913//b2147//b1859//b2280//b4068//b0953//b4037//b2146//b1245//b2284//b3477//b4187//b1674//b2147//b0451//b0450//b1821//b1189//b3456//b4315//b3409//b3869//b3330//b4401//b1211//b4320//b1532//b2500//b4054//b2937//b2706//b0038//b0904//b3113//b1500//b3688//b3124//b3477//b3605//b0368//b3426//b3424//b3970//b1597//b3072//b4014//b4106//b1736//b0345//b2199//b1796//b2373//b3510//b4153//b2754//b1182//b4106//b0675//b3759//b3273//b3260//b2085//b0115//b3133//b1205//b3425//b2313//b1616//b1102//b4249//b4468//b1023//b3668//b1615//b2607//b2207//b1182//b2500//b4032//b0396//b1131//b4172//b2243//b4100//b3773//efeU_2//b3363//b0975//b2092//b1241//b2923//b2552//b0106//b0590//b1818//b1735//b3164//b2663//b3773//b2727//b1182//b4310//b4293//b2962//b0207//b0199//b2009//b3700//b3365//b3616//ilvG_1//b3132//b3317//b4417//b4068//b2711//b2393//b1797//b1712//b1109//b1817//b1062//b0109//b1022//b1548//b0623//b0974//b1796//b1390//b2706//b0959//b2423//b0368//b3274//b3566//efeU_2//b1732//b4160//b2077//b0978//b0584//b2171//b1407//b0907//b0431//b1379//b2570//b4172//b2151//b3167//b3452//b2207//b1718//b4698//b0953//b2661//b2841//b0344//b4319//b4290//b1883//b4200//b2584//b2282//b1474//b3508//b0623//b0764//b1901//b4172//b4037//b0602//b2079//b3958//b4076//b3367//b1210//b2205//b0064//b3904//b0775//b1889//b2278//b0035//b4170//b3770//b2285//b3311//b0403//b0113//b0296//b2727//b3540//b2712//b0782//b2903//b3724//b4699//b2584//b3902//b4018//b2673//b0450//b3753//b2660//b4240//b0153//b4438//b3773//b4171//b0781//b0726//b3480//b2243//b3701//b3438//b3168//b1245//b4034//b0720//b1621//b2756//b2630//b3117//b2374//b4320//b4293//b4367//b3404//b0109//b4070//b0345//b4197//b1890//b1850//b0516//b0805//b4476//b3469//b0759//b3165//b2156//b4076//b2143//b0872//b3781//b4705//b4198//b0180//b0759//b0623//b3543//b0936//b0462//b0781//b3413//b2487//b3616//b3709//b0928//b1007//b3315//b4106//b1779//b0873//b0758//b2728//b1241//b3479//b4094//b3328//b1323//b3393//b4009//b3124//b1205//b1782//b1547//b1747//b0039//b0785//b3317//b3035//b3855//b1243//b1384//b0933//b1706//b0043//b4316//b1205//b0764//b1761//b4476//b4398//b3207//b4401//b3430//b4319//b0570//b1499//b1857//b0812//b0973//b1385//b3970//b2085//b2091//b4115//b3127//b2529//b3026//b2276//b2757//b4249//b1826//b3769//b4131//b3904//b4119//b3927//b3672//b2476//b0153//b2630//b2754//b1020//b0729//b2149//b1241//b1264//b3395//b1987//b3864//b1516//b2282//b1517//b3368//b4209//b1846//b0778//b0192//b3356//b2674//b2675//b3260//b0365//b3115//b4663//b3335//b2171//b3541//b2597//b1609//b0722//b4100//b4070//b4266//b3410//b0041//b4319//b2669//ilvG_2//b2557//b3854//b3312//b0597//b4264//b4033//b1622//b1850//b3480//b4076//b0945//b2609//b1016//b0240//b4698//b0820//b2852//b0179//b0201//b4239//
ChbR-Monoacetylchitobiose-6P_neg	b2662//b2588//b3168//b4096//b4468//b3115//
ChbR-Monoacetylchitobiose-6P_pos	b2708//b2489//b3266//b0430//b1796//b2671//
CpxR-Phosphorylated_neg	b3604//b1256//b2143//b0995//b0887//b0774//b2987//b2560//b3332//b4122//b2234//b0957//b3356//b0907//b2507//b1260//b2905//b4441//b3477//b3457//b3709//b2723//b0570//b2009//
CpxR-Phosphorylated_pos	b4018//b3481//b0623//b0161//b0937//b2429//b2724//b0111//b2208//b2911//b0623//b2617//b3601//b3161//b1261//b1189//b1797//b4241//b0758//b0411//b1982//b2148//b4013//b1102//b1733//b1393//b1499//b2095//b0591//b3312//b1796//b3311//b0080//b1021//b3902//b0398//b3171//b0819//b2095//b2583//b0553//b0183//b3277//b1669//b2964//
CreB-Phosphorylated_neg	b3831//b2278//b1921//
CreB-Phosphorylated_pos	b0727//b1336//b4006//b1021//b0724//b0998//
