#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b2489//b1671//
Ada-Methylated_pos	b0819//b3057//b2980//b1622//
AlaS-L-alanine_neg	b1322//
AllS-allantoin_pos	b4309//b2943//b3751//
AraC-L-arabinose_neg	b1012//b2631//b2802//b3616//b1882//b1737//b1719//b3237//
AraC-L-arabinose_pos	b0819//b4125//b4254//b1921//b0566//b0819//b1548//b2291//b1245//b4288//
ArcA-Phosphorylated_neg	b3610//b3133//b4398//b4006//b3479//b0154//b1892//b3213//b0115//b3756//b3266//b0724//b1391//b1782//b2976//b0996//b4266//b2508//b4106//b4058//b4138//b4008//b0975//b2392//b0400//b2422//b0313//b0597//b2763//b1182//b1591//b0114//b2094//b1818//b0118//b4400//b0934//b2530//b1002//b1493//b3750//b1852//b2231//b0366//b2979//b3572//b4355//b0430//b1211//b2727//b1299//b3477//b1243//b3511//b2723//b2079//b3169//b3207//b0904//b1528//b3666//b1859//b3751//b0778//b3750//b0959//b2306//b3057//b0334//b3925//b4059//b3934//b2368//b0273//b0111//b1846//b0035//b0124//b4324//b3328//b3724//b0584//b0331//b4058//b2091//b3851//b3859//b0784//b3864//b3425//b1886//b2093//b4075//b2163//b4669//b1112//b2155//b3266//b0334//b4476//b4290//b3601//b2702//b3430//b2704//b3961//b3008//b4120//b4071//b1245//b1022//b1387//b0895//b2601//b0759//b4399//b3970//b4079//b4173//b3223//b4040//b1612//b1037//b1514//b2572//b3113//b3278//
ArcA-Phosphorylated_pos	b3092//b2232//b1220//b3441//b2957//b2759//b2242//b4003//b1384//b1039//b3431//b3241//b3415//b1207//b3333//b3458//b0522//b2706//b3855//b3315//b1220//b0617//b0273//b0031//b3756//b1036//b0972//b3240//b4000//b0207//b0431//b3707//b0566//ilvG_1//b0861//b3316//b4467//b3168//b0937//b3241//b1062//b1904//b1622//b2341//b2996//b0755//b0156//b4074//b1817//b2719//b0592//b1805//b0679//b4367//b2074//b1797//b4193//b0616//
ArgP-L-arginine_neg	b3769//
ArgP-L-arginine_pos	b1886//b1641//b0872//b1264//b0589//b4016//b2236//b4111//b2491//b0378//b0597//b1337//b0998//b0182//b1988//
ArgR-L-arginine_neg	b1716//b0199//b2205//b3864//b4450//b1888//b2916//b2079//b1970//b4039//b4195//b1734//b0063//sroD//b3321//b1391//b1009//b4511//b0108//b3476//b3902//b1220//b3870//b3493//b1397//b3479//b1537//b4099//b0619//b3243//b2732//b1712//b3327//b0812//
ArgR-L-arginine_pos	b1674//b3450//b1276//b0573//b1474//
AtoC-phosphorylated_pos	b2760//b1429//b2725//b4122//
BaeR-Phosphorylated_pos	b0617//b4173//b2571//b0970//b1706//b0181//b0180//b2208//
BirA-bio-5-AMP_neg	b0203//b2760//b3410//b1336//b0903//
CRP-cAMP_neg	b2208//b2760//b2573//b3728//b4002//b3670//b0042//b1262//b3957//b3036//b2009//b1224//b2535//b2163//b4467//b4159//b4213//b3328//b4242//b0970//b1189//b3750//b3429//b3912//b2552//b2215//b2719//b2609//b3076//b3758//b0152//b4506//b3135//b3829//b4392//b4417//b3961//b3008//b2994//b0977//b1243//b1826//b3241//b1548//b2799//b0178//b2202//b3509//b1761//b3568//b1301//b1588//b3912//b0207//b3404//b3449//b0862//b3035//b3771//b3357//b1109//b3437//b0591//b4249//b2666//b1738//b2074//b3968//b0180//b1907//b3509//b1336//b1680//b3845//b3260//b4033//b3363//b1388//b0931//b4200//b0587//b0564//b2997//b1587//b2240//b4242//b3757//b1113//b2979//b2977//b0042//b3316//b0384//b3912//b2606//b3452//b0312//b3854//b0107//b2370//b2937//b2484//b2202//b1008//b0432//b3036//b0182//b2804//b2975//b0593//b4160//b2369//b1658//b3449//b0353//b3413//b3168//b4292//b4197//b1851//b0620//b3605//b3533//b2711//b4131//b2236//b0153//b2614//b3359//b3133//b4599//b3461//b0312//
