# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	pagP//argA//
Ada-Methylated_pos	cheR//lpxB//gdhA//araA//
AlaS-L-alanine_neg	aroH//
AllS-allantoin_pos	aroL//glgA//paaZ//
AraC-L-arabinose_neg	yjeF//srlD//rutA//sucD//ulaE//
AraC-L-arabinose_pos	miaA//phnL//mhpD//nanE//pdeF//
ArcA-Phosphorylated_neg	acnB//pdeF//fumA//idnO//hycG//paaC//sucD//nrdD//prpE//allC//torC//fucO//hypB//galE//rhaB//lpxA//astE//sucC//ulaE//ynfF//rhaB//argI//acnB//bioC//entF//epd//phnP//frdB//ssuE//cysH//pflB//ansB//astD//sdhA//caiD//yeaE//moeA//xylB//hemA//alkB//sdhD//garR//ldtC//citD//dmsC//pheT//codA//malP//gltB//fucI//gntK//xdhC//mhpC//feaB//betA//yjeF//paaF//pagP//acs//xdhC//hemL//paaG//phnN//allE//sdhD//acnB//cysG//malQ//
ArcA-Phosphorylated_pos	metB//phnP//rbsD//bioF//bacA//metK//entD//ssuE//nadC//fucO//ubiA//moeB//dapD//ispE//gltB//paaF//cueO//mhpA//dadX//rhaA//pgaC//fabZ//folA//astC//pheS//ulaE//atoB//cysK//araA//atoA//nanM//ilvG_2//uxuA//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	fadE//citE//metK//hycB//xylA//narG//phnJ//phnG//caiA//fadI//phnM//
ArgR-L-arginine_neg	mutL//hycC//trpD//fumB//phnG//paaB//sodB//ssuD//moaE//mdh//lhgO//icd//prs//rutE//pheT//entC//codA//fbaA//
ArgR-L-arginine_pos	hemA//chbG//purB//cysI//ldtB//
AtoC-phosphorylated_pos	prs//paaZ//chbG//
BaeR-Phosphorylated_pos	rutB//pncB//
BirA-bio-5-AMP_neg	purB//hycC//astB//frc//deoB//
CRP-cAMP_neg	moaD//folE//trpC//prpD//nrfD//ilvB//fbaA//glgP//pta//hycC//aspC//ackA//rdoA//pheS//ansB//ilvA//lsrF//paaG//metH//narG//atoD//aldB//fucU//purH//abgB//puuC//lacZ//sodA//caiB//ubiG//uxaA//pagP//nrfC//bioC//bioC//garL//gcvT//paaA//prs//aroG//amn//moaD//tsaE//truB//narI//ldtC//malQ//malQ//metA//folE//ada//tyrB//pgaD//argD//glnA//bcsB//citG//hyaC//hcp//sdhC//aspC//ilvG_2//umpH//purL//argD//argD//malS//galE//glgA//treC//pgaD//folE//lsrK//kbaZ//glpX//murQ//yfbR//uxaC//
CRP-cAMP_pos	yqjH//trpA//fumC//nrdF//gatD//murQ//moaD//ilvB//napH//bioA//ansB//mutL//recF//glcD//fdhF//zwf//nagA//sdaA//sdhD//ahpC//tnaA//purN//purE//katG//fau//tyrA//ackA//nrfC//sodB//metH//glpA//thrS//phnN//napH//hycF//manA//galK//ampD//fadI//iscS//glpQ//citG//argG//glgC//ldtB//mhpE//glpQ//rbsK//gatZ//bioA//entB//pdeF//fadI//fdhF//srlD//prpE//ilvA//fadD//purB//pyrC//glgX//astE//ilvC//galT//glcD//pck//avtA//ubiA//puuE//lsrF//tktB//recF//ilvC//metC//hycF//cynT//atoB//umpH//sodB//phoA//ilvD//ynfH//citD//ilvE//ulaE//hyaA//nrfD//galK//ldtC//frdB//eda//fbaA//betA//lpxA//nagA//eda//prpD//trmD//argC//purA//moaE//cysJ//slt//talA//patZ//slt//glgA//ftnA//citD//napH//ahpF//phnO//narI//aroH//fbaA//dadA//sdhB//nagA//glpA//dadX//miaA//hycE//trpA//fucU//hmp//dmsC//moaD//hycD//trpC//aspA//glcF//pyrC//dapD//dmsC//rutD//paaA//carA//pdeF//araA//frdD//feaB//uxaC//carB//moeA//talA//tdcE//paaE//glcE//rdoA//deoA//lysC//cheR//alkA//ilvG_2//uxaA//lpd//phnJ//glnA//paaF//tdh//speB//paaK//trmD//lpxD//cysN//fabZ//miaA//cysK//cysK//nagA//hyaB//torC//lpd//uxaB//paaB//feaB//sucA//ugpQ//rutB//pheT//yfbR//lysC//bacA//glnA//astA//cpdB//iscS//glpB//sufS//paaH//moaA//puuD//dmsB//pyrC//cysK//atoB//ulaD//argE//miaA//citF//cueO//glcD//aceF//glpC//tdcE//gcvP//cysD//glyA//cynS//mhpE//melA//pgpC//moaE//uxuB//cysC//glpA//gltB//tdcB//aroH//betA//glcB//sdhD//adhE//agp//guaB//tnaA//cpdB//bioD//ilvD//fadE//nadC//tdh//ilvH//moeB//xdhA//deoC//ulaE//gatY//fdhF//fumA//entA//aroL//rhaA//
ChbR-Monoacetylchitobiose-6P_neg	caiD//cdd//gcvT//
ChbR-Monoacetylchitobiose-6P_pos	glpE//carB//pta//
CpxR-Phosphorylated_neg	lysA//dapD//sucA//
CpxR-Phosphorylated_pos	gapA//metC//puuD//gcvT//nanM//trpC//uvrA//lysU//upp//entC//thrS//pyrD//amn//fadD//lpxB//phnO//frc//cadA//glgA//
CreB-Phosphorylated_neg	frc//
CreB-Phosphorylated_pos	speC//sdhD//
CueR-Ag_neg	feaB//phnO//
CueR-Ag_pos	entD//ispE//
CueR-Cu+_neg	ampD//nadC//
CueR-Cu+_pos	malS//puuB//
CuerR-Au_neg	lpxB//idnD//
CuerR-Au_pos	pta//lpxD//
CusR-Pasp_pos	cdd//caiD//adhE//
CynR-Cyanate_neg	
CynR-Cyanate_pos	hycC//uxuA//yfdE//
CysB-N-acetyl-L-serine_neg	pflB//lpd//frdA//
CysB-N-acetyl-L-serine_pos	gabT//cysN//edd//entB//moaA//paaB//aroF//trpB//thrS//xapA//ssuD//nagA//chbG//
CysB-O-acetyl-L-serine_neg	torA//rhaB//purE//
CysB-O-acetyl-L-serine_pos	aspA//ynfE//deoD//pgaD//katE//garR//galM//dadA//nrdE//lysC//moaA//idnO//ubiA//kbl//
DcuR-Phosphorylated_pos	acs//tktB//nanK//nanM//
DnaA-ATP_neg	patZ//atoD//cysC//ung//dkgB//
DnaA-ATP_pos	entE//glcB//ascB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	idnK//glgB//dgcZ//tyrB//sodA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	pta//cysK//
EvgA-Phosphorylated_pos	paaF//tktB//gltD//garK//glpQ//
FNR-Fe_neg	rhaD//aroH//ynfG//pgaB//bacA//pyrC//carA//alkB//kbl//gnd//hpt//tam//serC//speB//galM//glpC//glpC//hmp//glgC//polA//glgC//chbF//glpA//citC//recF//sucC//fadB//serA//icd//uxaC//bioD//aldA//fucU//dmsB//torA//bcsA//metF//nrdA//speB//galM//glcE//argB//nrfD//abgB//katE//hycE//gatZ//
FNR-Fe_pos	dmsB//phnI//napA//nagB//gdhA//tktB//miaA//hycE//cheR//gabD//speA//nanM//purD//carA//ascB//aldA//paaA//fadB//entH//xylA//ubiG//ada//glgX//fadJ//rutD//ilvM//tauD//tam//cysJ//prpD//hflX//cdd//psd//fbaA//garL//fadI//cheR//cynT//pncB//puuA//cysN//deoC//purF//frdD//narI//hycB//gadB//galT//tdcD//pyrD//patZ//purD//lsrF//purK//glpX//fadI//gatZ//napC//gutQ//pdeF//glcE//sucB//ynfH//gltD//hypB//ilvN//mhpE//aceE//lsrF//cysM//codA//tdcE//garL//allE//nrfA//hycB//fbaA//idnD//yfbR//guaA//chbG//gltA//adhE//purH//rnpB//tehB//folE//citX//hypB//ahpC//metL//ynfH//
FhlA-Formate_pos	prmC//metC//argD//ubiC//sdhD//lysU//cysK//
FucR-L-fuculose-1-phosphate_pos	alaS//miaA//torA//hemA//argE//aceA//
Fur-Fe2+_neg	ilvI//fadI//bioA//amn//gnd//glgB//entD//udp//fadH//phnG//ilvH//ynfH//prpB//paaZ//ilvD//dmsB//cysJ//moaA//yfdE//glyA//gcvT//cdd//serC//garK//rutE//xylA//nadC//aceA//kbaZ//cyaA//upp//acnA//uxaA//dadX//astD//lysA//puuE//fumA//pgaD//napH//tam//fadJ//metE//lsrG//mhpC//entA//cyoE//lpxB//pagP//aceA//metC//fadI//purK//entF//prpD//trpA//mdh//prpE//waaH//
Fur-Fe2+_pos	aroA//bacA//ssuE//ilvM//ilvI//napG//uxaB//lacZ//preA//patZ//trpB//yfbR//sodB//appA//ndh//ilvH//mpl//fucA//caiA//entH//
Fur-Mn2+_neg	lsrF//bioD//napC//tktB//paaF//cysM//guaB//deoA//waaH//torA//astE//mutL//sucB//miaA//prpE//nanA//ynfF//uxaB//phnL//paaE//dusB//malQ//rutD//tdh//tktB//hypB//gdhA//glgX//gltA//paaJ//citE//oxc//aceE//aspA//caiC//nrfA//yfdE//dgcZ//nanE//araD//fabZ//edd//paaI//puuE//pgaB//sdhD//lsrF//fabZ//ynfH//gatD//rbsD//tdh//gcd//carB//nrdE//glpX//metH//hyaC//hflX//
Fur-Mn2+_pos	glpK//puuA//nrdB//fucK//pncB//glpA//alkA//glgP//ahpC//moeA//entC//talA//xapA//pyrD//dadA//purH//nirB//trpA//yfdE//entE//
GlcC-Acetate_neg	
GlcC-Acetate_pos	puuC//gutQ//deoB//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	paaC//entH//nrfA//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	cysJ//prpE//ynfF//
IdnR-5-ketogluconate_neg	mhpE//phnJ//
IdnR-5-ketogluconate_pos	miaA//ugpQ//katG//folA//
IdnR-Idonate_neg	torC//hypF//
IdnR-Idonate_pos	lpxB//cysC//nrdE//purH//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	hyaB//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	prmC//
IscR-2Fe_neg	aceB//avtA//astC//nrdA//alkA//
IscR-2Fe_pos	hemL//fucU//
LldR-L-lactate_neg	lsrG//paaH//
LldR-L-lactate_pos	glgB//nanK//
Lrp-Leucine_neg	ulaF//entB//tadA//napH//uxuB//nanA//kbl//carB//epd//ssuE//betA//aceF//araB//hflX//aldB//glcB//nirD//xdhB//uxaC//lpxD//yjeF//rutB//yfbR//glyA//
Lrp-Leucine_pos	bcsB//mhpD//argD//chbF//katE//sodB//sucD//gntK//mdh//fumB//icd//nadC//metE//garR//dgcZ//ugpQ//mhpF//nrfB//
LsrR_neg	nrdA//tdcB//fucO//edd//fadE//
MalT-ADP-Maltotriose_pos	xdhA//ilvE//prpB//narG//torC//hycF//
MalT-Maltotriose-ATP_pos	uvrA//frdD//aldA//caiD//nirD//fumC//
MelR-Melibiose_neg	glpA//caiC//
MelR-Melibiose_pos	idnK//metB//
MetJ-S-adenosylmethionine_neg	yeaE//prs//uxaB//betB//mtlD//argE//uxaB//fadB//prs//tdcE//
MetR-L-homocysteine_neg	ada//
MetR-L-homocysteine_pos	tsaE//lysC//garR//atoB//
MhpR-3-DHPP_pos	hycE//argA//paaB//hycF//tehB//cheB//
MhpR-3HPP_pos	caiC//cysM//argG//hypF//rhaA//xdhC//
MntR-Cd2+_neg	ilvI//
MntR-Cd2+_pos	narH//
