#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b1547//b3070//
Ada-Methylated_pos	b4460//b0614//b1622//b0178//
AlaS-L-alanine_neg	b2713//
AllS-allantoin_pos	b4426//b4476//b0572//
AraC-L-arabinose_neg	b2529//b2995//b3477//b2659//b3453//b0178//b3423//b3702//
AraC-L-arabinose_pos	b2674//b0378//b0116//b3868//b4007//b0366//b0333//b0886//b3403//b2992//
ArcA-Phosphorylated_neg	b2722//b0179//b1131//b1131//b3005//b1821//b3333//b3230//b2200//b2741//b3070//b2093//b0783//b4237//b0330//b2417//b3569//b4039//b3093//b1338//b1641//b3431//b1818//b4381//b2498//b3132//b2091//b0346//b2588//b3114//b3564//b2730//b4170//b0728//b1225//b2283//b3455//b0390//b1850//b1222//b4292//b0928//b0080//b0565//b1415//b2630//b3958//b4138//b2200//b2742//b2531//b1615//b0184//b1734//b3870//b4071//b0032//b4316//b3071//b2729//b0064//b0106//b1336//b3702//b3608//b2980//b1684//b1889//b3265//b0311//b1513//b4097//b2992//b0192//b2492//b1907//b2240//b2194//b0998//b2663//b3392//b3113//b3925//b2313//b4384//b4323//b2373//b4322//b4467//b2287//b3531//b0814//b2311//b4193//b4264//b4122//b1015//b2763//b3113//b2282//b3669//b1299//b1182//b0585//b2281//b3118//b3670//b0337//b4202//b0872//b0894//b3845//b2591//b2153//b3453//b0933//b2597//b1594//b3417//b3070//b0192//b2484//b3702//b2491//b1429//b3709//b4441//
ArcA-Phosphorylated_pos	b4122//b4287//b2755//b3275//b3588//b0908//b2980//b3133//b3904//b0352//b0622//b1548//b0203//b3327//b2597//b1262//b0378//b1016//b1679//b2730//b1244//b1888//b2306//phnE_2//b3769//b0344//b2199//b4567//b1738//b1493//b1391//b4118//b3357//b1818//b0181//b4094//b3035//b4450//b4010//b1241//b1719//b3608//b0733//b2368//b0189//b1852//b3423//b0887//b2717//b4292//b3599//b1252//b0595//b1022//b3437//b4397//b0342//b1921//
ArgP-L-arginine_neg	b4242//
ArgP-L-arginine_pos	b0378//b3417//b3521//b0365//b0602//b1796//b1887//b3135//b0615//b3327//b0594//b0428//b2309//b1819//b4289//
ArgR-L-arginine_neg	b4398//b3574//b3702//b1301//b4097//b3509//b3666//b3368//b2195//b0977//b0078//b1889//b2673//b4095//b1221//b2425//b3756//b3214//b1212//b1042//b4019//b3567//b1719//b3127//b3431//b1658//b0895//b3567//b2570//b3958//b0352//b3455//b1714//b2818//
ArgR-L-arginine_pos	b4175//b0031//b2414//b2608//b3869//
AtoC-phosphorylated_pos	b0623//b4702//b0111//b2757//
BaeR-Phosphorylated_pos	b2464//b3460//b3846//b0365//b2201//b1020//b0183//b0191//
BirA-bio-5-AMP_neg	b2913//b3564//b2731//b3240//b4197//
CRP-cAMP_neg	b4054//b0763//b4471//b0728//b1890//b2572//b0349//b2728//b4070//b3469//b3237//b2697//b3272//b2311//b0889//b2607//b0759//b0411//b3601//b0115//b1252//b3428//b1296//b0970//b4016//b0615//b2980//b0677//b4399//b1672//b3410//b0399//b4392//b2964//b0977//b3221//b3437//b2221//b0970//b0812//b2663//b0035//b3426//b4254//b4101//b0756//b3312//b4310//b3134//b4131//b0205//b4699//b4203//b2727//b1641//b3404//b2597//b3845//b1392//b3870//b3315//b0886//b1621//b2482//b0064//b3037//b0682//b2597//b0754//b1036//b4195//b3135//b0591//b1130//b1002//b1671//b3329//b1244//b1797//b3091//b4663//b3756//b0384//ilvG_1//b4195//b1131//b4238//b3670//b2800//b3828//b3617//b1669//b0592//b2500//b2963//b2365//b2802//b3425//b2992//b2905//b0723//b4009//b2283//b2841//b4292//b3275//b4705//b3006//b4426//b2554//b3430//b2838//b0614//b1226//b1037//b3414//b3540//b2758//b2414//b2916//b2484//b0584//b1245//b0036//b3077//b2484//b2802//b3863//b1246//b4669//b0861//b4174//b2416//
