# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	glyA//phnH//
Ada-Methylated_pos	acnB//garL//cysH//glgB//
AlaS-L-alanine_neg	feaB//
AllS-allantoin_pos	gcd//alaS//prpD//
AraC-L-arabinose_neg	hemA//sdhD//napH//gabD//alaS//
AraC-L-arabinose_pos	argG//fumC//hycC//nrdB//sodB//
ArcA-Phosphorylated_neg	caiA//ynfG//glnA//gatZ//mutL//hycE//tktB//entB//bglB//purC//lacA//mhpA//mltC//paaF//paaK//puuE//uxuA//paaA//xapA//udp//carA//ssuD//glgP//glcB//aceE//metA//fau//bcsB//araB//cynS//treC//gcvH//moaE//sdhC//purK//umpH//citD//torA//bioB//sdhB//bioB//pncB//lsrG//napA//pagP//entF//glpQ//hcp//ogt//allD//tdcD//rutD//alkA//eda//nrfA//malZ//narH//melA//ilvN//cynT//fdhF//katE//mltC//codA//glgX//purC//uxuA//metH//
ArcA-Phosphorylated_pos	gcvT//narG//ulaD//tdcE//xdhA//galM//cadA//fucU//alaA//cysH//bglB//glcB//moeA//sodB//bglB//moaD//codA//fucO//katG//acs//nrfB//hycG//paaB//napA//gltB//tam//pdeF//purC//ispE//hpt//glpX//caiD//nagA//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	frc//ilvG_2//ssuE//nrfD//rutC//frdC//paaB//paaE//speC//lsrF//aspA//
ArgR-L-arginine_neg	yfdE//abgB//cysH//purD//citC//garL//nanE//ulaE//xapA//uxaB//ubiG//napC//fadE//cysN//citX//ulaF//yfeW//purH//
ArgR-L-arginine_pos	gcvH//ilvN//serA//acs//lpxB//
AtoC-phosphorylated_pos	malZ//aldB//prmC//
BaeR-Phosphorylated_pos	ubiA//dmsA//
BirA-bio-5-AMP_neg	nirB//astA//fucK//uxuA//ascB//
CRP-cAMP_neg	fadD//glgA//hycD//puuE//ilvN//deoB//frdA//gatD//thrS//mltC//fadJ//trmD//pgk//mutY//dapD//glgX//phnP//zwf//moaA//sdhC//nanM//nrfC//guaB//nrfD//lpxB//fadJ//lhgO//hemA//rutE//trpB//fumA//paaA//araA//icd//trpD//argA//torC//waaH//rhaA//bioD//ansB//mutL//kbl//malZ//sdhD//abgA//fadA//hycG//glpD//paaZ//napC//nrfA//deoC//lpxB//yfeW//malS//glcF//fdhF//ynfF//atoB//ansB//pgpC//gadB//paaJ//citE//astD//feaB//rbsD//fadB//ybjG//cdd//tdcE//araA//gltD//glpA//pheT//tadA//pncB//
CRP-cAMP_pos	dmsC//galK//malS//rutA//cadA//sodA//ilvM//torC//mhpA//paaZ//manA//fucA//manA//mhpB//araA//adhE//gcvH//ybjG//folA//trpA//fadE//gabD//dadX//nirB//galK//fumC//fadI//miaA//sodB//paaA//glpQ//adhE//preA//allD//phoA//dkgB//glpC//hmp//dgcZ//alkA//folA//tnaA//citG//folA//slt//xdhB//entF//kbaZ//gapA//pdeF//malY//astC//cheR//ulaF//ascB//rutE//tdcB//lpxD//cysG//glgX//narG//mhpC//puuB//ldtC//paaK//tam//mpl//purM//gntK//acs//lacZ//hycE//rutB//yfbR//idnK//citD//lsrG//deoB//paaJ//puuB//alaA//uidA//trpA//fes//lacZ//pgk//nrdF//yfbR//ackA//astE//ilvI//trpC//glcD//malS//yfbR//deoD//glpC//glcF//ubiG//bioF//gltB//astE//moeB//bacA//rutB//hemA//ilvI//cysD//metL//prmC//nrdA//gltB//udp//frc//cysC//glpC//lysU//dkgB//ilvG_1//argC//cynS//mtlD//yfdE//epd//pgpC//dmsB//paaG//fucO//nrfC//oxc//xylB//folA//pheS//yfbR//argF//entC//ldtB//alaA//preT//torA//garR//sodB//alaS//dgcZ//dmsC//nrdE//narH//gltA//metL//rnpB//polA//citD//rutC//torC//purB//metL//nagB//napB//ung//nrfC//glgC//uxuA//rutA//malQ//uidA//cueO//hemA//lpxD//lysC//entA//purD//fadH//allC//fadA//citC//sufS//metH//mhpB//appA//ssuD//betB//cadA//moaA//allD//hycC//cynS//prs//chbG//paaG//hmp//sucD//aspA//ilvG_2//manA//gadB//prs//trpC//astE//speA//betB//yfeW//pyrD//dusB//hycC//uxaA//malY//gutQ//tdh//napA//zwf//glcB//caiA//trpE//phnP//hycD//cdd//ilvI//paaJ//alkA//ung//narG//cdd//tnaA//entF//pyrD//glgX//lpxB//mltC//bioF//tnaA//astA//tdcD//trmD//abgA//ilvG_2//bcsA//ansB//lsrK//nrdA//phnG//ogt//cysG//rutE//
ChbR-Monoacetylchitobiose-6P_neg	gpsA//hypB//fucK//
ChbR-Monoacetylchitobiose-6P_pos	ahpC//cysK//ogt//
CpxR-Phosphorylated_neg	carB//rutB//appA//
