# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	metK//paaI//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	rhaA//entE//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	aroA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	glpA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	prpC//paaA//
AdiY_H-NS_IHF	deoC//
AgaR_CRP	frdC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	edd//nfsA//
AraC_CRP	ulaF//codA//citE//chbG//citG//
AraC_CRP_XylR	gloA//galM//
AraC_NagC	
ArcA_BetI_Cra	dmsC//garR//treC//
ArcA_CRP_CaiF_FNR_H-NS	puuD//zwf//galE//sgbE//narG//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	dmsC//fucK//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	adhE//ilvI//malP//idnD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	acnB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	galK//accC//epd//
ArcA_CRP_Cra_Fis	dsdA//
ArcA_CRP_Cra_IHF_IclR	tdcE//glpC//puuC//
ArcA_CRP_DcuR	lpd//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	lsrF//
ArcA_CRP_DnaA_FNR	gadB//
ArcA_CRP_DpiA_FNR_NarL	gltB//putA//dadA//
ArcA_CRP_DpiA_FlhDC	puuD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	mhpF//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	fadD//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	hycF//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	sufS//icd//ahpC//dmsA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	betB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	cysI//
ArcA_CRP_FNR_IHF_NarL	hpt//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	epd//
ArcA_CRP_FadR_HipB	malS//
ArcA_CRP_FadR_OmpR_PhoP	ulaF//
ArcA_CRP_Fis_Mlc_SoxS	prmC//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	ahpC//acnB//ndh//
ArcA_CRP_GlpR	hyaC//
