# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	astD//ilvA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	udp//moaA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	prpE//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	acs//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	waaY//relA//
AdiY_H-NS_IHF	idnD//
AgaR_CRP	lysA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	ldtB//serA//
AraC_CRP	mdh//araD//fbaA//caiC//sucD//
AraC_CRP_XylR	sufS//pdeL//
AraC_NagC	
ArcA_BetI_Cra	astD//betA//gabD//
ArcA_CRP_CaiF_FNR_H-NS	eda//puuD//accB//rutE//tdcD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	hemL//recF//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	codA//glgP//yqjH//hcp//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fadD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	glyA//nrdF//nanE//
ArcA_CRP_Cra_Fis	ilvE//
ArcA_CRP_Cra_IHF_IclR	hyaB//fdhF//mhpF//
ArcA_CRP_DcuR	waaH//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	nrdD//
ArcA_CRP_DnaA_FNR	ndh//
ArcA_CRP_DpiA_FNR_NarL	narH//mazG//aceA//
ArcA_CRP_DpiA_FlhDC	nanE//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	narI//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	hycC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	frdD//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	hcp//puuD//ynfH//malS//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	icd//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	udp//
ArcA_CRP_FNR_IHF_NarL	entD//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	edd//
ArcA_CRP_FadR_HipB	hypB//
ArcA_CRP_FadR_OmpR_PhoP	mpl//
ArcA_CRP_Fis_Mlc_SoxS	citC//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	astE//gltA//prpB//
ArcA_CRP_GlpR	fumA//
