#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:41 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/rcomplex_bnum.txt
AccB_FadR	b0621//sroD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b2925//b3924//b0675//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b1062//b3332//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b2222//b3316//
AcrR_FNR_Fur_SoxR	b4050//
AcrR_FNR_Fur_SoxR_SoxS	b0179//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b1227//
Ada_AidB_Lrp	b0063//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b3236//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b1852//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b3904//b3751//b3314//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b0038//b3772//
AdiY_H-NS_IHF	b3094//
AgaR_CRP	b0616//b2370//b3408//b3116//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b4366//b4320//b4040//b3518//b2096//b4365//
AppY_ArcA_YdeO	b1296//b1391//b2206//b4119//
AraC_CRP	b2711//b2535//b1892//b2722//b2308//b1901//b4460//b1482//b4133//
AraC_CRP_XylR	b1189//b1397//b4074//
AraC_NagC	b2096//b0754//
ArcA_BetI_Cra	b4073//b3924//b1011//b4037//
ArcA_CRP_CaiF_FNR_H-NS	b1650//b1398//b0081//b1497//b0783//b0041//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b0677//b3117//b3603//b3077//b0574//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b0094//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	b1939//
ArcA_CRP_Cra_FNR_NsrR_PdhR	b2107//b3759//
ArcA_CRP_Cra_Fis	b1739//
ArcA_CRP_Cra_IHF_IclR	b1818//b0084//b2702//
ArcA_CRP_DcuR	b2730//
ArcA_CRP_DcuR_DpiA_FNR_NarL	b4238//b0201//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	b0726//
ArcA_CRP_DnaA_FNR	b0090//
ArcA_CRP_DpiA_FNR_NarL	b2093//b3135//b1006//b2975//b0979//b2092//
ArcA_CRP_DpiA_FlhDC	b0592//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	b0765//b3116//
ArcA_CRP_FNR	b3508//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	b3404//b4233//b4016//
ArcA_CRP_FNR_Fis_Fur_PdhR	b0757//
ArcA_CRP_FNR_Fis_IHF_NarL	b3330//
ArcA_CRP_FNR_Fur	b3599//b1160//b3907//b3477//
ArcA_CRP_FNR_Fur_IHF	b0596//b4264//b2662//b0096//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	b4032//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	b0070//
ArcA_CRP_FNR_IHF_NarL	b0368//
ArcA_CRP_FNR_NarL	b1300//
ArcA_CRP_FadR	b3605//b1682//
ArcA_CRP_FadR_HipB	b3800//
ArcA_CRP_FadR_OmpR_PhoP	b0726//
ArcA_CRP_Fis_Mlc_SoxS	b3905//
ArcA_CRP_Fis_XylR	b0935//
ArcA_CRP_Fur_GadX_MqsA	b3452//
ArcA_CRP_GatR	b0613//b2590//b1817//b2977//b2552//b1247//
ArcA_CRP_GlpR	b1737//
ArcA_CRP_IHF	b4265//
ArcA_CRP_PuuR	b3576//b2204//b2923//b1819//b3575//
ArcA_CRP_RhaS	b0727//
ArcA_CRP_TreR	b2725//b4154//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	b0225//b1941//
ArcA_Cra	b3925//
ArcA_Cra_FNR_H-NS_HypT	b1658//b2957//
ArcA_CysB_FNR	b1285//
ArcA_FNR	b0782//b2720//b0092//b0895//b4321//b1744//b0805//b2756//b3752//b3481//b1241//b3868//b1007//b1743//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	b0931//
ArcA_FNR_Fis_IHF_NarL	b0092//b1680//b3092//b4312//b3315//b4036//b1532//b4366//b2507//b3939//b2417//b2551//b1683//
ArcA_FNR_Fur_IHF	b2758//
ArcA_FNR_IHF	b4366//b4319//b4010//
ArcA_FNR_IHF_NarL	b3564//b2927//
ArcA_FNR_NarL	b2201//b2287//b4396//b3325//
ArcA_FNR_PhoP	b2590//
ArcA_FNR_PuuR	b0076//b3132//
ArcA_FadR	b0595//b0724//b3317//
ArcA_FadR_Fis	b2106//b0086//
ArcA_Fur_Lrp_ModE	b4139//b1516//b1009//b3576//b0095//
ArcA_GlcC_IHF_PdhR	b3479//b3576//b3907//b1304//b2617//b1480//
ArcA_LexA	b1744//b2977//
ArcA_LldR	b2417//b4039//b1008//
ArcA_NarL	b4125//b3509//b3091//b4384//b0313//b1562//b1223//b2669//
ArcA_NtrC_PhoP_RutR	b1747//b0733//b4321//b1391//b2195//b2286//b4396//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	b2107//b1921//b2415//
ArgP_CRP_FNR_Fur_Nac	b2722//
ArgP_DnaA	b1474//b0764//b2309//
ArgP_Lrp	b2490//b2728//
ArgP_LysR	b0039//
ArgP_PhoB	b3568//
ArgR_CRP	b2927//
ArgR_CRP_Fis	b1617//b1805//b2150//b1307//b0728//b0678//b1475//b1040//
ArgR_Fis_IHF_PepA_PurR_RutR	b2417//b0592//
ArgR_H-NS_NtrC	b3318//b3265//b1246//b2905//
ArgR_NtrC	b1617//b3222//b4152//b2731//sroD//
