# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	mhpA//purN//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	lpxC//serC//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	lsrG//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	nrfC//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	frdA//puuC//
AdiY_H-NS_IHF	aroA//
AgaR_CRP	astC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	waaZ//metK//
AraC_CRP	hyaA//deoA//accC//pflB//fucO//
AraC_CRP_XylR	recF//sufS//
AraC_NagC	
ArcA_BetI_Cra	acnA//galT//ilvI//
ArcA_CRP_CaiF_FNR_H-NS	gcvP//yiaK//appA//gutQ//sdhA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	rimK//eda//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	lldD//rutE//atoB//prmC//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	nagA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	gntK//mhpE//nirB//
ArcA_CRP_Cra_Fis	citD//
ArcA_CRP_Cra_IHF_IclR	ascB//guaA//aroG//
ArcA_CRP_DcuR	feaB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ssuD//
ArcA_CRP_DnaA_FNR	puuC//
ArcA_CRP_DpiA_FNR_NarL	astE//fumA//fadD//
ArcA_CRP_DpiA_FlhDC	gloA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	nanM//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	sodA//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	deoA//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	sdhA//malY//lysA//gadA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ynfE//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	gadB//
ArcA_CRP_FNR_IHF_NarL	hyaA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	edd//
ArcA_CRP_FadR_HipB	gadB//
ArcA_CRP_FadR_OmpR_PhoP	malY//
ArcA_CRP_Fis_Mlc_SoxS	mnmG//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	astA//serA//mhpA//
ArcA_CRP_GlpR	frdC//
