#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:41 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/rcomplex_bnum.txt
AccB_FadR	b4027//b3413//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b2239//b3726//b1257//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b2551//b3749//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b3276//b1508//
AcrR_FNR_Fur_SoxR	b4237//
AcrR_FNR_Fur_SoxR_SoxS	b0070//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b3723//
Ada_AidB_Lrp	b4268//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b1588//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b3766//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b3601//b0366//b1589//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b1493//b3700//
AdiY_H-NS_IHF	b4268//
AgaR_CRP	b4265//b4264//b3828//b0592//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b1683//b0203//b1746//b1744//b2764//b3167//
AppY_ArcA_YdeO	b3328//b1182//b3367//b1669//
AraC_CRP	b3700//b0315//b2703//b2308//b0617//b1223//b2916//b2916//b2231//
AraC_CRP_XylR	b4032//b3408//b1671//
AraC_NagC	b1298//b0819//
ArcA_BetI_Cra	b1938//b2470//b2720//b1507//
ArcA_CRP_CaiF_FNR_H-NS	b3624//b1101//b0587//b1588//b3225//b0722//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b4050//b2368//b3083//b1817//b4321//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b4037//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	b2484//
ArcA_CRP_Cra_FNR_NsrR_PdhR	b2197//b0763//
ArcA_CRP_Cra_Fis	b0997//
ArcA_CRP_Cra_IHF_IclR	b0089//b3461//b0811//
ArcA_CRP_DcuR	b3707//
ArcA_CRP_DcuR_DpiA_FNR_NarL	b1041//b0115//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	b1508//
ArcA_CRP_DnaA_FNR	b3325//
ArcA_CRP_DpiA_FNR_NarL	b2483//b1062//b0312//b1738//b4194//b2805//
ArcA_CRP_DpiA_FlhDC	b3405//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	b0221//b1062//
ArcA_CRP_FNR	b3363//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	b1892//b0618//b0396//
ArcA_CRP_FNR_Fis_Fur_PdhR	b0178//
ArcA_CRP_FNR_Fis_IHF_NarL	b3666//
ArcA_CRP_FNR_Fur	b1499//b0616//b1024//b2923//
ArcA_CRP_FNR_Fur_IHF	b3118//b3167//b4071//b3414//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	b1070//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	b0199//
ArcA_CRP_FNR_IHF_NarL	b3925//
ArcA_CRP_FNR_NarL	b1535//
ArcA_CRP_FadR	b1593//b3769//
ArcA_CRP_FadR_HipB	b0679//
