# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	cysJ//feaB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	pncB//paaC//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	atoA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	glpX//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	dadX//epd//
AdiY_H-NS_IHF	caiC//
AgaR_CRP	ulaF//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	fadE//narG//
AraC_CRP	astA//lacA//aceE//ulaE//kbaZ//
AraC_CRP_XylR	fbaA//katG//
AraC_NagC	
ArcA_BetI_Cra	glnA//nrdB//accC//
ArcA_CRP_CaiF_FNR_H-NS	nrdB//aldB//citC//waaH//nfsB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	hypF//napH//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	sucD//aceE//cadA//cadA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	paaE//
ArcA_CRP_Cra_FNR_NsrR_PdhR	eda//paaA//betA//
ArcA_CRP_Cra_Fis	aceA//
ArcA_CRP_Cra_IHF_IclR	moaA//ulaD//napG//
ArcA_CRP_DcuR	mpl//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	entF//
ArcA_CRP_DnaA_FNR	udp//
ArcA_CRP_DpiA_FNR_NarL	paaK//napC//hemA//
ArcA_CRP_DpiA_FlhDC	glpK//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	aldA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	hmp//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	glgP//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	purD//mhpB//napC//ahpF//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	moeA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	epd//
ArcA_CRP_FNR_IHF_NarL	idnO//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	citG//
ArcA_CRP_FadR_HipB	mhpC//
ArcA_CRP_FadR_OmpR_PhoP	deoC//
ArcA_CRP_Fis_Mlc_SoxS	ansB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	recF//ilvD//paaF//
ArcA_CRP_GlpR	ilvH//
