#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:41 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/rcomplex_bnum.txt
AccB_FadR	b3772//b1334//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b0615//b4431//b4079//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b0124//b1070//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b0451//b2196//
AcrR_FNR_Fur_SoxR	b2705//
AcrR_FNR_Fur_SoxR_SoxS	b2572//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b3506//
Ada_AidB_Lrp	b4669//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b3800//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b3603//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b1395//b2760//b1818//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b0616//b2093//
AdiY_H-NS_IHF	b1070//
AgaR_CRP	b2710//b2416//b2551//b0594//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b0980//b3091//b3165//b1805//sroD//b3451//
AppY_ArcA_YdeO	b4079//b3514//b4291//b2662//
AraC_CRP	b0676//b3414//b0198//b2993//b1190//b1515//b3332//b2198//b2095//
AraC_CRP_XylR	b1735//b2724//b3326//
AraC_NagC	b1307//b4027//
ArcA_BetI_Cra	b3605//b2994//b2203//b3415//
ArcA_CRP_CaiF_FNR_H-NS	b0762//b0676//b0593//b2237//b1904//b3415//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b1904//b3513//b2943//b3265//b2368//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b1421//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	b0349//
ArcA_CRP_Cra_FNR_NsrR_PdhR	b4316//b3518//
ArcA_CRP_Cra_Fis	b1530//
ArcA_CRP_Cra_IHF_IclR	b0616//b4063//b1237//
ArcA_CRP_DcuR	b2499//
ArcA_CRP_DcuR_DpiA_FNR_NarL	b2800//b2964//
