#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:41 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/rcomplex_bnum.txt
AccB_FadR	b2579//b2781//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b3577//b1851//b3363//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b4069//b1036//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b2366//b1512//
AcrR_FNR_Fur_SoxR	b3134//
AcrR_FNR_Fur_SoxR_SoxS	b1530//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b3756//
Ada_AidB_Lrp	b1226//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b2242//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b1009//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b3905//b1043//b1038//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b3666//b2075//
AdiY_H-NS_IHF	b3961//
AgaR_CRP	b2926//b1211//b1300//b4265//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b1516//b2927//b3851//b1923//b2726//b4209//
AppY_ArcA_YdeO	b3512//b4153//b3514//b0676//
AraC_CRP	b2837//b3093//b1779//b1518//b3319//b1744//b3495//b0606//b4075//
AraC_CRP_XylR	b4139//b3071//b0623//
AraC_NagC	b1394//b2757//
ArcA_BetI_Cra	b2991//b2942//b2741//b3506//
ArcA_CRP_CaiF_FNR_H-NS	b1732//b0226//b0043//b3728//b2784//b4040//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b0082//b3037//b4195//b3528//b1656//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b0451//
