# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	araB//araA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	ubiC//uvrA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	frdB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ulaD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	deoA//moaA//
AdiY_H-NS_IHF	hcp//
AgaR_CRP	hycB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	chbG//entD//
AraC_CRP	lsrF//mhpA//uxaA//lacZ//mhpC//
AraC_CRP_XylR	gdhA//fucK//
AraC_NagC	
ArcA_BetI_Cra	guaA//torC//frdA//
ArcA_CRP_CaiF_FNR_H-NS	moaA//ulaD//malS//murQ//fau//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	fucO//acnA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	yqjH//ulaF//deoB//rimK//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	caiC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ldtB//uxaB//lysA//
ArcA_CRP_Cra_Fis	ulaF//
ArcA_CRP_Cra_IHF_IclR	ugpQ//hycF//sdhB//
ArcA_CRP_DcuR	lsrK//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	adhE//
ArcA_CRP_DnaA_FNR	murC//
ArcA_CRP_DpiA_FNR_NarL	purA//acs//rsmH//
ArcA_CRP_DpiA_FlhDC	waaH//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	ahpF//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	fucO//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	accB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	glnA//rhaD//sgbE//pgaC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	idnO//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	acnA//
ArcA_CRP_FNR_IHF_NarL	recF//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	dusB//
ArcA_CRP_FadR_HipB	ulaG//
ArcA_CRP_FadR_OmpR_PhoP	torC//
ArcA_CRP_Fis_Mlc_SoxS	astB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	gloA//ulaE//glpK//
