#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ycjG//
Ada	glnB//accD//lysT//
AgaR	alsA//cynS//valY//glpE//cynR//ydcV//phnK//
AlaS	yqaE//
AllR	rcnR//phnJ//ycgZ//dkgB//leuT//aaeA//rffC//yciX//yqjA//
AllS	acrR//phnE_2//adiY//
AlsR	ydcS//tufB//ddpC//thrT//recD//cheZ//
ArcA	yhdW//luxS//
ArgP	ilvY//valY//ybbW//
ArgR	bioF//pepT//ynjI//dhaR//dsbA//mukF//ydcV//cynX//ybhS//ppdC//ppdA//chiA//cynX//fruA//
ArsR	cynR//uraA//bioC//
AscG	paaX//
AsnC	emrB//
BasR	leuW//
BirA	alaW//uvrY//tufB//ampE//uspE//
BluR	ilvC//allS//yfdX//gltX//
BolA	yafO//argI//
CRP	yhbT//yebE//pspF//phnJ//dksA//cpxR//bioC//glpR//hchA//metC//cysC//trmA//lysW//aaeX//tehB//flgD//yoaC//polB//cysC//thrU//dsbG//dapD//wzc//uspD//fliS//yccT//sbcD//emrA//wcaA//trpD//phoR//motA//ldtD//nadA//motA//ilvC//argU//fliQ//ompT//ybbY//leuP//pgm//mgtA//ydeI//frc//luxS//argU//phnL//wzb//xdhB//leuT//glk//kdpB//mcbA//tcyP//rybB//argE//ydeJ//ymiA//rof//ldtD//fadR//rcsB//kbaY//artP//hofC//flgG//agaS//
CdaR	adiY//wzxE//ruvA//preT//ibpB//
CecR	asnB//msrA//patD//alsC//pheV//
CpxR	alkB//tsr//artP//alaW//yqjA//phnM//cmoM//mgtL//sohB//gcvA//hofN//fepC//uvrC//ttdT//bioA//pnuC//fabH//trpE//sroA//znuB//ppsA//yhdW//fliD//fabI//livK//ampE//rybA//thrW//glgS//rutR//gspA//agaI//
Cra	yjjZ//folE//gltX//prs//cecR//dsrA//ydcV//polA//recC//gspA//allE//pdeH//rpsP//paaX//osmB//
CreB	glgB//
CsgD	glpR//ddpD//yccJ//glgX//ygdB//mukF//polB//yhjC//valX//
CueR	emrA//flhB//
CynR	agaS//trpR//upp//glmS//
CysB	bioB//yhbT//leuA//artM//ilvY//ilvC//allE//chiA//ecnB//hflX//
Dan	hcaB//intQ//ariR//metU//
DhaR	efeU_1//rybA//gspA//yqaE//
DicA	efeU_2//agaC//ykgO//phnP//luxS//mprA//kdpB//bioB//
DnaA	artP//tyrB//
EvgA	metF//rffT//dkgA//flu//hofM//cpxA//hokE//
FNR	yaeQ//yebG//folE//yccJ//queA//yeaG//aspV//murR//zntA//htrE//dinD//asnB//tbpA//fepD//yqhD//bioA//copA//wzc//ubiX//livK//tisB//alsB//tfaQ//mqsA//entS//lysR//yjjP//
FadR	yeiW//mgrR//agaC//mukB//glgB//serT//ddpB//pitB//
FeaR	yneM//
Fis	hokE//insD//aroH//allC//sroA//cpxQ//kbl//msrA//cpxP//gcl//alaC//mltF//ybjG//uidR//tyrV//cra//ymiA//rnlB//alkB//leuC//phoR//rcsB//arsR//fecR//phnH//omrA//raiA//isrC//tyrT//uspB//glxK//nadB//hflD//pheV//tktB//bcsB//creA//lacI//fnrS//pheU//yccT//yfiR//ecpR//hemF//symE//hcaF//sfsB//rffC//alaX//mgtA//leuQ//phnO//purL//ydeI//yjjZ//cysC//
FlhDC	gltK//glk//yneM//argI//ribA//phnJ//agaS//lysW//lolA//ppdA//valY//thrS//raiA//allD//pfkA//valX//fldB//amn//yeaH//ddpC//cstA//yjeV//serT//treR//apaH//fliR//aaeA//sutR//yhjX//trpL//agaC//mqsR//efeU_1//tisB//tufB//mqsA//yeiB//fhuD//
FliZ	wzyE//
Fur	trpB//fhuD//dapD//nadB//sroA//mepH//nadB//yqhG//ybfE//agaC//recD//cynS//ybfE//psd//ribA//leuE//potI//rffM//rclA//ydfN//allA//mngR//dinF//rclB//
GadX	rpmA//ycgZ//glyT//trxC//yegZ//aroF//yadV//
GcvA	yccJ//yhdW//
H-NS	narQ//ydiV//nadB//pspF//ruvB//ilvN//yecT//iscU//talA//potH//slt//ddpC//yhdW//hofN//
HU	uspD//tadA//
HcaR	rplU//uspB//xapA//tyrV//livH//leuA//
IHF	lysR//cysC//fbaB//znuA//gspA//chiA//ycjX//
IlvY	trxA//ycjG//
IscR	yqaE//ydcU//nimT//mzrA//sfsB//cheW//mzrA//yegR//
KdpE	obgE//recX//glmU//rybA//
LeuO	phoE//polA//nohA//crl//thiP//fabG//
LexA	motA//phnE_2//phr//xapA//ppdB//flgG//flgG//rdoA//gyrB//narQ//pepA//ydbD//garD//topA//wecB//alaX//insK//nimR//purE//ydeA//glnW//ykgM//mgtA//kbl//dicC//dgcN//btuB//metJ//ibaG//leuP//kbaY//pdxA//allB//manA//iscU//ppsA//hofO//
LrhA	rsmA//
Lrp	rstB//fruK//yaeP//tyrB//yidL//mltF//phoE//nlpE//amiA//hemH//trpL//potF//aaeX//potF//
LysR	obgE//
MalT	ivbL//
MarA	rpoD//pepA//
MatA	htpG//dhaK//
McbR	patD//
MetJ	ybhL//ldtC//ldtD//fhuE//cheZ//
MlrA	glyT//pdeH//flgK//dacC//metT//
MngR	tyrV//ymiA//kdpC//
MntR	hcaR//rclB//
MprA	bacA//fadM//phnG//
MqsA	tpr//spf//
MurR	ychH//
Nac	cpxA//nohA//arfB//recC//metU//
NadR	mcbA//lysW//yidQ//
NagC	ydfW//arfB//rpmA//yciX//wzyE//
NanR	dkgA//ydfW//
NimR	yfiR//hdfR//
