#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	yfbR//
Ada	ompA//upp//rpsU//
AgaR	ynbD//lolA//hchA//rffM//hemF//dinB//nadA//
AlaS	omrB//
AllR	fepD//yeaE//psiF//lysW//rimM//xapA//alaW//yccA//fecI//
AllS	nlpE//ychF//yhbT//
AlsR	cpxP//ymjC//thrS//speA//rplI//ydcU//
ArcA	dkgA//ydbD//
ArgP	trmD//argU//aaeX//
ArgR	rpmI//yaeQ//lrhA//glyU//yeaG//mscM//yagK//pdeF//glnU//yccA//arsR//glpG//ecpA//tsgA//
ArsR	pheT//glnB//argE//
AscG	hofM//
AsnC	cheZ//
BasR	tyrA//
BirA	aaeB//ydfN//argW//sbcD//apaH//
BluR	prs//ariR//agaD//ymiA//
BolA	aroF//flhE//
CRP	aaeA//ynbD//mhpR//rpmA//dinQ//tadA//mepH//dhaL//leuD//ilvY//ampE//ykgR//rcsB//emrA//yciX//ydeA//ldtD//alaA//rpiB//yecT//ycjX//pgpC//hflX//glnX//alaX//hemF//purK//cheW//yfdV//rarA//accA//ydeI//pepT//sdaA//aaeA//wecB//alaW//cheY//dgkA//arcZ//leuP//gudX//infC//ldtD//insD//rplI//cynR//ymiA//ppdB//cheR//potH//phnC//tyrV//manA//pdeF//recA//manA//asnB//leuW//argW//secB//yaeQ//yfdX//sbcC//recA//ppc//fldB//insD//
CdaR	livM//serT//cheW//flgG//adiY//
CecR	bacA//valY//rybA//rpiB//adeD//
CpxR	ppdC//tyrB//mcaS//allA//leuD//priB//livH//metU//ydfE//rstA//rsmA//mgrB//artQ//cpdB//mzrA//iscR//patD//rdoA//bioC//efeU_1//hofC//livF//ftsK//purE//rffM//xdhB//allS//cysN//trmD//ttdR//kdpF//cheW//
Cra	aroH//preT//yjjZ//glyT//arsR//folE//comR//hchA//azuC//argA//hslJ//allS//nimT//glgB//rimM//
CreB	fabD//
CsgD	flhA//ydfE//add//hcaB//mipA//kdpB//emrB//tyrA//gltX//
CueR	ydiV//rutR//
CynR	phoP//yncE//ychH//speC//
CysB	glmU//glpE//allS//arcZ//wzzE//acrR//dtpA//pgm//fliM//gudD//
Dan	lacI//dsbA//iscU//lacI//
DhaR	ppsA//phnL//valT//fabD//
DicA	phnM//mcbA//fabD//rpmI//mgtA//alsA//yafN//ydbK//
DnaA	artQ//purE//
EvgA	spf//tar//ilvC//metC//dicB//rplU//hcaC//
FNR	fadM//potF//valT//ilvY//hofO//kdpA//fliM//ydfH//ygaC//valU//gltL//pdeH//dhaM//wza//mngR//ybhR//nadC//mepH//thrW//phnK//uspD//pspF//valT//intQ//bluF//phnE_2//cho//
FadR	hcaC//cecR//insK//paaY//phnM//argX//allB//glnX//
FeaR	trxA//
Fis	hisR//ptrA//nadB//mhpR//sfsA//hslJ//flgE//ada//serT//ubiG//psiF//apaG//aroH//recD//yeiW//hfq//cbpA//fliN//yeaE//pgi//allC//ydeJ//yhbE//ydfH//hcaC//ddpA//flgD//prs//fbaB//yfbR//ydfE//yhhY//hofN//cpxQ//dinF//yeiB//flgC//arsC//phnE_2//znuA//sfsA//fhuE//yqjA//phnI//yfdV//argF//mcbA//mipA//cheY//ydfH//pdeH//htrE//rpsR//gspB//creA//lon//
FlhDC	leuA//kbp//iscU//sbcC//potF//dgcN//ydjM//ybbW//mltF//trpB//yibQ//dinG//pykF//oxc//sgrR//nadA//yojI//rybA//ubiX//apaG//dsrA//trxA//kbaY//dinG//leuQ//cmoM//exbB//trpA//ompN//lysT//ynjI//pnuC//umuC//glnB//gcvA//alaC//ddpD//pspF//
FliZ	metU//
Fur	lysC//hdfR//ynbC//secB//fliQ//hokE//gltL//lexA//borD//cpxR//serT//lon//argF//crl//ybjG//patD//fabD//pheU//rplS//gudX//psiF//leuW//hisR//argR//
GadX	cra//uvrY//yhbT//ddpD//serT//glmS//wecE//
GcvA	cheR//yibQ//
H-NS	leuE//ybhS//yqaE//oxyS//rpsF//fruB//leuB//yegZ//ybfE//bioC//asnB//metC//iscR//ampC//
HU	ymjD//yciX//
HcaR	ysgA//dhaM//efeU_1//purL//yccJ//mntS//
IHF	argB//bdm//ycjF//lysW//fhuB//tufB//crl//
IlvY	murR//yjjP//
IscR	flgC//dkgB//pheS//yhbE//intQ//bioA//valU//yfiR//
KdpE	ppdD//rdoA//hcaD//fecR//
LeuO	gltI//gpmA//leuL//folE//omrB//hcaF//
LexA	recX//arsC//tsr//hcaR//mukF//pnuC//ymgC//comR//yafN//ddpX//htrE//accD//yhdY//cbpM//creA//bioD//fhuB//trxA//ubiX//tyrV//thiQ//fecR//cysN//znuA//rcsD//rpoD//paaY//dacC//tpr//leuT//alkB//phnH//cynT//creB//flxA//yjeV//yeaD//
LrhA	topA//
Lrp	ilvB//fnrS//rpiB//rsmA//omrA//thiQ//lrhA//sxy//cynX//glk//rpmA//gor//ygbK//aroH//
LysR	dkgA//
MalT	gpmM//
MarA	lexA//yegH//
MatA	aaeR//ynbA//
McbR	cstA//
MetJ	dksA//rpoD//tufB//frc//dinF//
MlrA	thiP//ddpX//envC//speB//tfaQ//
MngR	apaG//flgI//ymjC//
MntR	fliD//thiQ//
MprA	phnE_2//fadM//rybB//
MqsA	preT//yeiB//
MurR	ybbY//
Nac	yibQ//metF//ycjY//seqA//wzzE//
NadR	yfdV//serX//ttdT//
NagC	glgS//ybhL//oxyS//ydfE//ydeI//
NanR	slyB//cynT//
NimR	cheW//fliT//
