#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	sbmA//
Ada	phnP//metT//yhdZ//
AgaR	ykgO//tsr//cmoM//fruA//agaI//livF//ecnB//
AlaS	wzxE//
AllR	ada//dinQ//aspV//xdhA//leuB//rimM//kdpA//queA//thrU//
AllS	hofM//ycjX//cheR//
AlsR	arsC//pheV//argR//thiP//pheS//artJ//
ArcA	flhE//phnJ//
ArgP	flgI//cysN//trmD//
ArgR	xdhA//flhE//glpE//wcaA//mgrB//cheR//rpmI//glgX//iscS//cynX//htpG//ygiZ//fliS//nohA//
ArsR	pfkA//phnI//yciW//
AscG	alsE//
AsnC	preT//
BasR	tadA//
BirA	yiiS//rpsR//glxK//ykgM//pagP//
BluR	rcnR//mukB//gor//recN//
BolA	recX//apaG//
CRP	ycjG//alaW//yqaE//tyrV//rstB//entS//fhuE//ymiA//xdhA//bdm//mgtA//cpxR//rpmA//dhaR//kdpC//grxA//fruB//prs//sbcC//ppdB//chiA//phnH//leuP//efeU_1//phnI//potI//mhpT//lolA//tyrT//patD//kdpB//mhpT//mprA//ydcU//phnF//ddpX//fliT//tpr//accA//livG//efeU_1//ydcT//gudP//cynX//apaH//dtpA//recB//mhpT//dicB//agaD//phnE_1//bioB//pykF//mepH//ymjC//cbpA//nadC//cysD//grxD//purB//thrT//purF//aroF//recB//psiF//metJ//yjjZ//glnX//
CdaR	fliR//cpxA//flu//ysgA//yfdX//
CecR	fadR//pheU//xdhB//ybhF//ybhS//
CpxR	ydbK//rstA//yegZ//rffM//ibpB//gor//hemH//mipA//yaeQ//msrA//potG//thiP//hcaC//glgX//mntS//nadB//dhaL//ppdD//phr//znuA//fabD//pspF//ibaG//phnH//rybB//apaH//yecT//ybhF//cysK//bcsB//fepC//csrB//
Cra	arfB//yafO//dksA//phnF//potG//ecpA//fabD//hcaD//arsB//mprA//hfq//metT//fliS//thrS//recN//
CreB	rnlA//
CsgD	crl//agaI//paaX//fliQ//glpR//gspA//iraD//flgL//sroC//
CueR	flhB//yhhY//
CynR	rnlA//bdcA//yqhD//glgX//
CysB	rdoA//hflX//yiiS//rimM//bluF//phoE//potG//ychF//kdpA//accA//
Dan	fabG//yqaE//artM//topA//
DhaR	yidL//yebE//rsmA//yfdV//
DicA	ilvY//ftnB//hflD//argF//fabI//tyrU//ldtD//leuB//
DnaA	kdpC//gcvA//
EvgA	rclB//ydcS//hdfR//alaA//ppdD//xdhA//ychF//
FNR	nlpE//sxy//kbl//amiA//psd//gltL//cmoM//fabD//alkB//rimM//glyT//emrA//ada//allS//bioD//sroC//trpE//lolA//yqjA//iscU//wzyE//metC//isrC//ygeH//tbpA//dacC//xapA//
FadR	wzb//tyrB//yhbT//creB//trxA//torR//murR//zntA//
FeaR	agaI//
Fis	mngB//ybhG//glgS//pgm//glpR//priB//bcsB//trpC//ynbC//metF//yoaC//phnK//agaI//paaX//nlpE//yaiW//wzzE//rstA//hslJ//yccT//cheZ//nimT//cysK//hflK//lysW//efeU_2//zraP//ydjM//fhuB//hflX//purK//ykiA//sutR//dicB//spf//xdhA//yneM//proM//dhaL//thiP//rarA//yidQ//phnO//trxA//ldtC//fldB//gltL//leuB//ppiD//patZ//tbpA//valX//aaeX//livG//allS//pheT//
FlhDC	yaiW//sgrR//cheW//ybjG//trmA//alsA//ilvC//phoA//cheR//ivbL//gudX//ymgC//pdeH//hemH//agaD//leuC//rfe//dhaM//ttdT//polB//borD//chiA//msrA//phnI//pdeF//dinD//dgcC//valX//leuC//hofM//fhuE//yebE//glgS//fliD//yjeV//lexA//metF//ppdC//
FliZ	gltI//
Fur	phnK//tsgA//fliS//yibQ//htrE//trpC//ppc//yoaC//ydeJ//hisR//allA//yhdX//yafO//leuT//metA//yjeV//hokE//valY//rsmA//alsE//fnrS//mqsA//allC//sroA//
GadX	creC//luxS//frc//recD//pheS//xdhC//ilvC//
GcvA	nlpE//rof//
H-NS	potH//asnA//trmD//fabH//motB//yhbT//metJ//thrW//aaeX//nadB//yeaG//glnU//pdxA//valU//
HU	speA//csrB//
HcaR	cynT//murR//borD//fepD//yecT//dicC//
IHF	trpC//thrT//arsC//livK//ldtC//potG//purE//
IlvY	flgL//pgm//
IscR	valU//uspD//ybhL//uspB//iraP//pepD//ftsK//ddpA//
KdpE	ppdD//glgS//dicC//arsB//
LeuO	serX//cynT//rcsD//fepG//phoA//fecR//
LexA	allB//hdfR//leuX//dapD//yfiR//yjeV//nadB//nlpA//arsR//gor//kbaY//ydcS//rpsF//alkA//dsbG//dtpA//upp//alkB//ygbK//fecR//ybaS//ompN//livM//tisB//wzc//ppdB//tyrA//rcnR//hofN//tufB//treR//oxyS//potI//tap//mepH//mepH//ydfX//
LrhA	wecB//
Lrp	leuQ//glyU//pepA//proK//pitB//mhpR//potI//argU//recD//apaG//tadA//trpB//leuT//alsA//
LysR	dgkA//
MalT	purC//
MarA	mngR//argW//
MatA	gltX//bcsZ//
McbR	pdxA//
MetJ	rpmA//kdpA//argC//kdpB//glxR//
MlrA	wcaA//ydfW//cysE//bioA//ydeA//
MngR	leuC//lysO//alkA//
MntR	phoR//pitB//
MprA	rstA//flgL//thrW//
MqsA	agp//sohB//
MurR	dapD//
Nac	ddpF//fliT//cdaR//tynA//rpsF//
NadR	phoR//cstA//ychH//
NagC	preA//ybaS//ymiA//gor//dinF//
NanR	ykgR//fliD//
NimR	valT//tpiA//
NsrR	nlpA//zraP//serX//cysC//agaD//phnI//dapB//glpR//grxA//ycjG//mngB//tap//dinQ//fruB//kdpC//yhbT//flgD//nadA//yafN//omrA//recN//yfdV//ymjC//livF//phoP//avtA//nadB//phnN//argB//purF//
NtrC	yebG//livJ//cynX//psiF//ung//hcaF//yccT//mqsR//dhaR//leuW//mntS//ruvA//ysgA//ada//uraA//trpA//tisB//
OmpR	uvrD//yaiW//yibQ//dgkA//
OxyR	ruvB//dsbA//dksA//yfdE//valT//trpL//hflK//emrB//pepA//
PaaX	phoH//kbl//
PepA	yccT//
PgrR	ddpX//emrA//tisB//ybhR//wcaA//hofM//ydeJ//
PhoB	ptrA//gspB//apaH//alkA//zraP//purE//ygbK//argA//arcZ//phnD//hcaR//nadC//torR//yjjZ//crl//phoP//ubiX//azuC//dapB//murI//metF//trpC//ymgA//cpxA//speC//sdaA//yccA//fldB//hcaR//talA//borD//
PhoP	ybbW//ydeI//rpsF//mngR//gspB//wzc//glpG//priB//ygdB//torR//glnV//rimM//flgC//glgB//wecB//rpiB//
PspF	seqA//
PurR	agaB//rpsU//argX//znuC//aaeA//ycgR//omrB//hisR//ppiD//omrA//sgrR//yafN//yfiR//
RbsR	ddpF//
RcdA	potI//ilvN//yhdW//
RclR	ompN//rffG//exbD//
RcnR	kdpF//
RcsAB	yhdY//efeU_1//glpR//bioF//dinF//
RcsB	yeaD//fliP//ariR//hofO//
RcsB-BglJ	hflK//ompT//folE//proK//ddpB//ttdB//ydcU//cpxQ//ppdB//yncE//ydfD//
Rob	ada//
RutR	yidL//
SdiA	metA//
SgrR	yhbS//nohA//gspB//glyU//dgkA//fliN//
SoxS	kdpC//yciX//cueO//alaW//dtpA//tcyP//
SutR	fliD//leuT//
TorR	fadR//
TrpR	recX//phnE_2//umuD//cheR//agaD//alkA//rpmA//psiF//
TyrR	yfdE//livF//livJ//
UidR	rutR//
UvrY	ompT//tadA//
XapR	ycgR//wecC//
YdeO	yhbE//fldB//
YjjQ	rffM//uraA//ydcS//allS//fliL//osmB//pgi//
YpdB	rpiR//
YqhC	tsgA//dsbA//
ZntR	wzxE//
ZraR	bioA//
Zur	gpmA//flgJ//motA//bioF//ymiA//
