#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	bioD//
Ada	metT//speC//yjhB//
AgaR	fldA//hflX//mcbA//ymgA//omrB//aspV//trmA//
AlaS	yafN//
AllR	folE//yiiS//nlpE//rclA//fliD//ompX//cmoM//cpxA//gpmM//
AllS	yneM//cstA//gltJ//
AlsR	ompT//arcZ//ynbB//exbD//argT//xdhC//
ArcA	tyrV//allB//
ArgP	recD//gcvA//livG//
ArgR	lysV//glpR//yhjX//mqsA//raiA//trpB//ynbB//cynT//valY//dinB//ttdR//ydcU//ydeI//ldtD//
ArsR	leuD//rnlA//ddpX//
AscG	yneM//
AsnC	omrB//
BasR	hemH//
BirA	fruA//yhbT//fliS//wzzE//fecR//
BluR	recD//ryhB//yecT//fliT//
BolA	rpsP//rffH//
CRP	ykgR//ycjY//aaeX//yciW//cheA//exbB//leuQ//potI//yqhG//mhpT//allE//flgG//uspE//yecT//uvrY//rpiB//dnaG//yfdX//agaD//allS//ada//upp//gudX//gspB//isrC//bcsB//tisB//ybaS//flgK//fadR//bioF//pheV//ydfN//obgE//bioC//yjeV//gltL//cysK//argX//gspA//ppdD//yfbR//ddpD//ada//wzxE//mcaS//phnE_1//fhuD//pdeF//avtA//dksA//phnH//hchA//livH//narQ//ilvN//alaC//hofB//omrB//bioF//phnO//nohA//alaW//flgD//recA//ybfE//glgS//emrA//
CdaR	ftnB//yidQ//manA//pheS//potG//
CecR	sbmA//motB//mipA//ynbA//trpL//
CpxR	livG//oxc//gltX//mipA//rclB//ydbK//hokE//fadR//psd//tpiA//glk//rnlB//artI//ycjF//fabG//flgJ//pepT//aroF//ryhB//lysV//bcsB//ybhL//cvpA//oxyS//ilvY//hofB//ybhG//wcaA//glnX//leuW//argR//ecnB//
Cra	yaeQ//pdeH//xdhB//ydcS//ybhL//rpsP//fliS//yaeQ//yafN//creC//cheZ//grxA//rsmA//hcaD//glgS//
CreB	pitA//
CsgD	tdh//queA//fruA//dapD//gcvA//nlpE//yqhG//yccA//alaA//
CueR	cynS//raiA//
CynR	bioF//infC//ygdB//ung//
CysB	rpiR//flhE//cpxA//tdh//uvrC//hdfR//fliR//ompA//potH//fliS//
Dan	glxK//leuW//iscR//omrA//
DhaR	ycjG//asnB//trxA//mepH//
DicA	aaeA//argX//uspB//cheZ//sfsA//agp//mscM//purL//
DnaA	fruB//artI//
EvgA	lacI//yaeQ//sroA//adiY//yeaD//rstA//sfsB//
FNR	alaW//yhfA//glxR//kdpA//fliT//ynbB//tfaQ//wzb//ecpA//ung//ydfX//thrS//dinF//amn//pspF//thrS//phnE_2//mzrA//ybhS//yccT//ydfN//bioC//rffT//argW//phoR//iraP//cheB//
FadR	insK//gcvA//thiQ//rutR//motA//livG//add//fhuB//
FeaR	aroH//
Fis	artJ//malZ//nimT//priB//bdm//glpE//fldB//ymiA//leuW//rimM//ydiU//paaX//artJ//flgE//isrC//ompA//yadV//pheU//proL//nimT//glyT//ydfX//paaY//bcsB//yhbT//phnF//asnA//nohA//kdpF//ybhR//yhbS//ycjG//hofP//ychF//rplI//phnN//yciW//lysC//valT//exbB//ydfN//ybhL//malZ//rffT//ygaC//ftsK//cecR//ada//tfaQ//livJ//flhE//ampC//arfB//aaeR//mgtL//ychF//
FlhDC	zraP//phr//hcaD//ydfD//leuL//ilvN//argT//yjjZ//rimM//argF//phnJ//gspA//aspV//yhdW//chiA//mqsA//phnH//bdm//envC//torR//oxyS//gudX//alsC//ycjY//argF//arcA//entS//mipA//rplI//dapB//hcaE//phoR//mukF//flxA//motA//hofO//umuD//mzrA//
FliZ	pepT//
Fur	artJ//pgi//rdoA//rimM//yadV//tpiA//glnW//priB//ydcS//ychF//recA//leuA//bacA//yccT//zntA//pdeF//phnE_1//rpiR//amiA//ymjD//sfsA//argB//hcaB//dgcC//
GadX	mzrA//aaeA//flxA//creC//ydfE//trpD//hcaC//
GcvA	sbcD//mscM//
H-NS	cynX//mprA//ariR//hemH//wcaA//hemF//dhaK//speB//gpmA//recB//hflD//mqsR//yadV//serX//
HU	hofM//spf//
HcaR	ppdA//mipA//fecI//wecE//sfsB//dgcC//
IHF	phoH//wzxE//fabH//hflD//ydbK//valU//iscA//
IlvY	argX//yccJ//
IscR	ydfW//polB//argW//isrC//argH//yjjZ//yciW//rstB//
KdpE	sohB//tar//allS//rpmI//
LeuO	phnD//phnH//phnJ//kdpA//glyT//ecpA//
LexA	rybB//thrS//purF//purB//bdcA//gpmA//yafP//flxA//yaeP//leuE//tynA//aroH//yqjA//valX//trpB//gltK//xdhA//cpxP//add//sutR//rpmI//hofM//fliL//pheT//ymjC//uvrD//mgrB//yneM//yqhD//ppdB//ysgA//phnE_2//ybaT//yjjP//thrS//rffC//ykgR//
