#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	gspA//
Ada	ydfW//ysgA//wzzE//
AgaR	ibaG//yhbS//yhbS//tar//yfdX//ymgC//polA//
AlaS	nadC//
AllR	purB//dapB//crl//psd//ampE//fliP//uraA//speC//gltI//
AllS	sroA//rpmI//uvrC//
AlsR	manA//cstA//folE//tar//agaS//hfq//
ArcA	pdxA//gyrB//
ArgP	aaeB//ydfX//purE//
ArgR	dicB//htrE//efeU_2//agaI//lysV//leuA//fecI//uspB//pitA//rybA//fabD//luxS//ydeA//yjjZ//
ArsR	lolA//fbaB//adeD//
AscG	phnO//
AsnC	rclB//
BasR	iscS//
BirA	patZ//proK//hofB//ydfE//recX//
BluR	tyrU//nimT//gudD//dgkA//
BolA	ydcV//creA//
CRP	glyT//dacC//potI//ybjG//fecR//wzyE//ampD//mgrR//ynjI//ydcS//ilvB//polA//valX//ychH//nadA//dinD//alaS//creB//cheZ//insK//pepA//fabD//cynX//gudX//pdeH//ruvA//ybhS//ymiA//accA//ybhL//purE//argC//ydeI//flhE//polA//rffH//cysC//pagP//ydeI//rybA//fldA//luxS//ftnB//rfe//kbl//gltK//ybbW//rcsB//trpE//tehA//mprA//ompX//garD//metJ//speC//serX//patD//yqjA//flgC//recA//pheT//ampC//manA//mngR//glxK//uvrD//rcsD//ycjF//
CdaR	ttdT//tynA//mntS//glmS//valY//
CecR	glxR//ymgC//gpsA//bcsZ//flhA//
CpxR	ompT//nadA//envC//ldtD//ycjX//nlpE//hcaB//narQ//ydfW//comR//ecpR//mltF//crl//ribA//hcaR//purF//add//pheT//mcaS//glxK//emrB//flgJ//yhjC//ppc//alaS//iraP//accD//upp//ribA//yeaD//trpD//pheS//
Cra	rpsR//wecE//rplI//ttdR//mukF//phnO//kbl//gudD//tktB//dicB//valX//glxK//narQ//argR//yadV//
CreB	tyrV//
CsgD	flgE//alkB//lysO//yeiB//sxy//rclC//phnK//umuC//livG//
CueR	dinQ//hflK//
CynR	phnJ//hokE//lysR//sbmA//
CysB	glyU//ybhG//yeiW//yaeQ//cheZ//valT//cynR//cra//iraP//cynR//
Dan	glnB//borD//ygiZ//manA//
DhaR	mgtL//hcaE//metA//fruB//
DicA	leuV//cvpA//leuC//yhjX//flgB//polB//ompN//ompX//
DnaA	ddpF//proM//
EvgA	preA//cmoM//alaS//ycgZ//leuD//phoH//fliM//
FNR	phr//pitA//yegR//ymjC//dhaM//cysK//aspV//mhpR//ynbA//ynbD//ydiU//tehB//mgtA//recD//ecpR//phnJ//uraA//aaeX//wza//nimR//pepD//mgrB//allD//hofO//asnB//mntS//fliP//
FadR	yfbR//pfkA//glpR//yqhD//tktB//leuE//zraP//metF//
FeaR	ampD//
Fis	pepD//flhE//rnlB//glpE//cdaR//cdaR//hcaC//gcvB//rcnR//htrE//hcaC//phr//kdpF//dgcC//phoP//fliN//tehA//trpL//leuP//hofC//rstB//fepC//hflX//ykiA//bacA//arsC//pfkA//kbp//gudP//emrB//yadV//ddpC//dgkA//fabH//hcaB//ftsK//wcaA//ydfH//glnW//flgD//ybhF//alkA//yhfA//yeaH//ada//yqjA//psiF//artP//ykgR//yiiS//rclC//valU//tpr//ycgR//sroC//dicC//
FlhDC	potF//mhpR//dinB//ibpB//ddpB//yafN//ppc//tufB//dkgA//ppdC//rpiR//flgH//rybB//yjhB//trpA//hflD//lexA//ompX//phnN//narQ//fhuC//flu//gltL//bioD//mqsR//recD//gspA//ydcT//nadC//phoE//leuC//phoR//glpG//glnU//flgH//glgX//kbl//ptrA//
FliZ	fliO//
Fur	ydfX//ybaS//flgA//metJ//metJ//livF//pgm//rffT//yhdY//motB//hcaR//glmU//nlpE//cysE//obgE//bioB//bcsB//paaX//bluF//mcaS//mukF//ppc//sroA//cho//
GadX	ymiA//glgB//ddpF//mqsR//leuV//ykgO//wzxE//
GcvA	agaC//yaiW//
