#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	trpR//
Ada	rutR//dhaK//azuC//
AgaR	bioB//agp//purB//alkA//yaeQ//dtpA//ychH//
AlaS	ompT//
AllR	zntA//slyB//glnB//proM//hemH//malZ//sfsA//sbcD//agaI//
AllS	phoE//fecR//livM//
AlsR	entS//glk//allE//tadA//agaS//hflC//
ArcA	kbl//asnA//
ArgP	dgcN//alsB//gfcA//
ArgR	fhuA//aroF//dksA//cynR//lon//argF//grxD//ychF//yjhC//yhdZ//ftnB//allB//insD//yebG//
ArsR	agaI//mgrB//adeD//
AscG	nimR//
AsnC	rclC//
BasR	rarA//
BirA	lysW//fliN//cysE//yeaD//ompT//
BluR	alaA//lacI//umuD//phnF//
BolA	phnK//rof//
CRP	wecE//wcaA//lysC//cysE//gyrB//yqjA//artM//hcaF//intQ//mngB//cheB//yhdZ//efeU_1//ybhL//ycjF//tyrV//wzzE//mqsR//mprA//fliT//proL//seqA//accD//add//yoaC//flgD//ecpR//alsB//ddpA//purL//fnrS//ptrA//flgI//ynjI//exbB//phnH//lon//seqA//flgK//garD//amiA//purE//yhjX//iscR//efeU_2//wcaA//hemH//hchA//allC//hchA//cynS//gspB//omrA//ampC//mlrA//speA//fliP//ampD//valU//trpC//nimT//pepA//ydbK//allA//insD//bioD//crl//nimR//
CdaR	ubiX//emrA//dksA//gpmM//nlpA//
CecR	fecR//preA//yneM//ydiU//yhhY//
CpxR	yjhC//glmS//psd//yhhY//torR//fhuD//purC//yoaC//glyU//hofO//fldB//kbl//iscA//ydbK//asnA//lrhA//pfkA//polB//argE//dsbA//thrW//rof//argI//rstA//phoH//ydiU//mukE//mprA//rffG//phoH//fabD//tyrV//
Cra	polB//artQ//amiA//talA//tynA//fliL//cdaR//apaG//pitA//ubiG//hflC//mngB//rstB//insD//allA//
CreB	pfkA//
CsgD	glnV//flgJ//yfdX//tehB//flxA//metU//znuB//slt//alsE//
CueR	murI//dinQ//
CynR	ygeH//flgC//yeiP//cheZ//
CysB	wecE//hflX//phnG//gudD//argF//rybB//yfbR//cpxR//ampE//metF//
Dan	ydjM//sbcC//pgm//lacI//
DhaR	ydbK//proK//priB//ynbA//
DicA	gltX//hslJ//pdeH//ycjG//leuT//cbpA//agaD//lysR//
DnaA	purF//gcvB//
EvgA	phnP//slt//rpsP//hcaB//cynX//dsrA//yegZ//
FNR	trpB//ybfE//cheB//alkA//yafN//glgS//fhuA//cbpA//hcaE//fliS//pheT//hflK//fabD//yfiR//yjhB//yidQ//erpA//lacI//yeiP//dsbA//cecR//pgi//rybB//ilvC//mngA//uspB//ftsK//
FadR	secB//yidL//gltK//fadR//pdxA//ybaT//lacI//mpaA//
FeaR	ppdB//
Fis	dinG//cho//hofB//artM//tisB//uspE//nadC//rpsR//queA//yncE//glnB//sfsB//crl//fabH//dhaM//ydiU//thiP//rclC//ychH//thrS//rpiR//yhdX//fhuE//tisB//znuA//allB//accD//mngR//alaA//glmU//ybaT//sfsB//yjhC//arsB//purB//aaeA//alaS//fruA//creB//proK//ychH//ynbC//alsB//uvrC//apaG//cpxQ//mhpT//manA//mqsR//polB//yjhC//rpsU//dsbG//emrB//lexA//ryhB//
FlhDC	purF//yhbT//yiiS//pgi//cho//accA//secB//trmA//fliP//phnE_2//lysO//ung//mltF//arsR//cheW//ecnB//sxy//rclB//yebE//sbcC//mgrR//luxS//bioB//wzxE//yeiP//lrhA//erpA//kdpB//valY//phnK//tsr//lexA//ddpA//cheZ//ygeH//rffT//ydfW//glyU//
FliZ	leuA//
Fur	rpiB//mipA//fliD//mhpT//ybhL//metU//phnP//motA//rof//azuC//bioB//fadR//allA//fbaB//kbp//exbB//leuP//thrS//yhfA//tyrA//mqsR//arcA//efeU_1//glpR//
GadX	dhaL//hemF//hchA//uraA//rpsP//alaS//pspF//
GcvA	flhB//nadC//
H-NS	potI//infC//pykF//cecR//ompT//rmf//livF//glgB//metC//pepD//fruA//mcbA//ydfW//dicB//
HU	artP//yegH//
HcaR	ampC//yhjX//bluF//proL//accA//ydfN//
IHF	tehA//patD//gltI//wrbA//mukE//trmA//dhaK//
IlvY	glyU//argH//
IscR	emrA//mqsA//bcsB//metT//ubiG//sohB//ykgO//ecnB//
KdpE	phnI//flhE//gor//phnL//
LeuO	rpiB//rmf//rplI//rnlA//pdeF//pdeF//
LexA	emrB//lysR//glyU//glxK//mukB//htrE//ydiU//wzb//ttdT//wcaA//agaI//asnB//leuC//tar//alaA//ydfX//asnA//fliQ//ribA//ydcT//uidR//fliN//nadC//ymjC//hfq//wrbA//dapD//ydfX//leuT//umuC//btuB//rpiR//dsrA//aaeA//gcl//gudD//uraA//
LrhA	tsr//
Lrp	tufB//chiA//phnO//fliQ//accD//wzyE//dinQ//gudP//grxD//phoH//allE//metC//bdm//slyB//
LysR	mgtA//
MalT	mgrB//
MarA	wecB//thiP//
MatA	hisR//tcyP//
McbR	accD//
MetJ	ompN//rpsF//gltX//slt//recC//
MlrA	yeaH//yeiP//yeiW//ynbC//pheU//
MngR	kbp//leuV//erpA//
MntR	phoA//murI//
MprA	livH//cueO//fruA//
MqsA	treR//wzyE//
MurR	recD//
Nac	ddpF//gcvB//iscA//ddpA//rarA//
NadR	hyi//fecR//ynbA//
NagC	cysC//fhuB//tehB//ygiZ//ddpC//
NanR	tar//gcl//
NimR	mltF//ykgM//
