#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	pykF//
Ada	iscU//wcaB//ygeH//
AgaR	ybhS//lon//ykgO//pheT//bacA//aaeA//cysN//
AlaS	yafP//
AllR	patZ//dinD//speB//dhaM//znuC//iraD//exbD//flgA//lysO//
AllS	pepD//yafO//cra//
AlsR	fliM//cheW//potF//dsrA//metJ//hofM//
ArcA	proL//hofM//
ArgP	recC//topA//uspB//
ArgR	rpsF//preT//msrA//fliN//uspD//rffT//pykF//xseA//tktB//hofM//murR//phr//ybaS//uspD//
ArsR	tynA//preA//leuW//
AscG	proM//
AsnC	accA//
BasR	glnV//
BirA	ydeA//entS//creA//metF//gltL//
BluR	yccT//ydfW//yegH//ybhG//
BolA	exbB//obgE//
CRP	ampC//agaC//gudD//zntA//rcsB//pheS//tap//cheB//yiiS//phoH//fhuB//add//allB//mngA//queA//wzxE//pheU//znuC//yjjP//yhdX//hcaF//kbp//artM//yhhY//ydbK//recB//lrhA//yeaD//cra//yjeV//ykiA//ygiZ//adiY//bcsZ//aspV//mprA//ppdB//gspA//glxR//slyB//xdhC//argF//leuB//mprA//yegR//ppc//hcaR//argC//cheW//rffT//ydfN//flgF//lysW//leuV//motA//phnD//ydfD//ribA//gpmM//recB//lolA//manA//ddpX//leuX//ddpB//valY//hslJ//hchA//
CdaR	phnP//fruA//cvpA//asnB//ybaS//
CecR	iscR//sutR//hisR//flgJ//bcsZ//
CpxR	gltJ//phr//purF//mukE//prs//hcaC//ppdD//xdhA//ydfH//flgF//gpmM//gspA//ybfE//hflC//cheZ//ppdA//ychH//hcaB//yhdY//grpE//erpA//infC//phnO//recD//cho//fliR//metF//tktB//recD//dgkA//prs//phoB//
Cra	flgE//flgI//hemH//iscA//spf//flhE//paaX//recN//yqhD//rplU//rnlA//gltJ//phnN//yqhG//ddpX//
CreB	spf//
CsgD	ydbK//ddpC//yqhD//ychH//ddpD//mgtL//aspV//dhaL//yeaE//
CueR	cheZ//thrW//
CynR	pspF//yqhD//zntA//alaA//
CysB	hcaR//ymgA//ilvC//emrA//dapB//ydbK//torR//ilvY//livJ//manA//
Dan	nlpE//purL//leuX//allC//
DhaR	tufB//thrT//cvpA//rof//
DicA	ompN//envC//livG//cmoM//flgC//yneM//hchA//thiQ//
DnaA	adeD//flu//
EvgA	phnE_1//valY//wzzE//ydcT//yafO//gpmM//livK//
FNR	rffG//ruvA//hflC//tehB//slt//fliS//pepA//ymjC//uvrD//leuD//ybbW//uidR//potH//phnI//dinD//garD//cvpA//pfkA//ecpR//glxK//cmoM//artQ//yegR//ivbL//cueO//preA//yeiP//
FadR	valY//dinD//uvrB//pepA//uvrC//cpxR//sdaA//nadC//
FeaR	ydcV//
Fis	preA//pheS//pheT//rstA//sfsA//bdm//ymgC//wecB//artJ//trxA//wzxE//yecT//ybbY//creA//creB//intQ//wecB//hemF//rclA//proK//hslJ//lysT//cysE//fliP//rpsU//xapB//mngB//yeiP//cheW//sutR//yfiR//mukF//thiP//livG//metF//cstA//wcaB//flgF//tehA//yhjC//trxA//glk//alkB//lysV//mngR//tar//ynbA//ybbW//ilvY//ykgR//gor//allC//accA//sroA//valX//dsbC//
FlhDC	ykgR//speB//proL//cheW//trpD//leuX//yecT//pepA//aaeA//leuL//rpoD//dnaG//ynbA//ttdR//rpiR//dhaL//hchA//talA//mipA//pgi//ygdB//znuA//ppdA//rpiR//alsE//ymjC//tyrA//aroF//fhuB//pepT//kbp//valX//livJ//ttdB//ubiX//glgS//ubiX//gspA//
FliZ	gltI//
Fur	rybA//rmf//ftsK//livH//pitA//fepG//yebE//livJ//ydcT//trmA//phoE//tsgA//znuC//purK//ychF//bdm//amn//flgB//argT//fabI//talA//wza//ppiD//iscS//
GadX	alaC//mukF//prs//phnJ//potH//alsC//flgJ//
GcvA	gpmA//lysR//
H-NS	amiA//yfbR//ynjI//pepT//intQ//xdhC//ynbD//glnX//phnI//glxK//ynbC//emrA//phoA//garD//
HU	patZ//lysO//
HcaR	sgrR//fhuA//rarA//thrS//creA//ompA//
IHF	lolA//yjhC//azuC//ihfB//sbcD//polB//grpE//
IlvY	arsR//argA//
IscR	creA//ilvN//allE//potG//rstA//umuC//ybbY//yhdW//
KdpE	lysT//ryhB//yojI//ybbY//
LeuO	phnO//flgJ//tap//fliP//leuT//ddpC//
LexA	tehB//cpxP//serX//valU//artM//dacC//rarA//ydfX//fldA//cynR//zraP//flhB//azuC//nadC//ynbB//gspA//hisR//purL//yciX//ydfW//upp//trpA//glnV//cpxR//fliN//flgC//aaeA//kdpB//decR//argH//tyrT//gltJ//kdpF//nohA//wecB//uspD//glyU//
LrhA	flhE//
Lrp	argU//phnF//yegR//rclB//livM//rpsP//mscM//slt//cmoM//slyB//arsC//lacI//ybbY//sdaA//
LysR	fliD//
MalT	bdcA//
MarA	ymgC//yfdE//
MatA	dgcC//sohB//
McbR	fruB//
MetJ	dgkA//hflC//efeU_2//entS//glmU//
MlrA	cpxP//gltX//yhjX//uspB//ilvN//
MngR	tbpA//argU//apaG//
MntR	lysV//yidQ//
MprA	dhaR//kbaY//tyrU//
MqsA	xseA//yjhB//
MurR	phnD//
Nac	yaiW//borD//ilvN//isrC//tyrA//
NadR	pdeF//cmoM//mqsR//
NagC	tynA//fruA//tyrU//argE//creC//
NanR	ybbY//sdaA//
NimR	glxR//allB//
NsrR	talA//trpL//dinQ//xdhC//mngA//leuT//ada//rpiB//pitB//ecpR//pheU//yhdY//ymgA//valY//flgA//yhjC//ychH//argI//omrA//fnrS//phnM//ybhR//glk//valY//arcA//pheV//yagK//cheR//yccT//ubiX//
NtrC	slt//treR//tsgA//ttdA//argC//tonB//accD//argE//yhbT//lysU//glpG//ada//purK//cheA//xapB//preT//ymjD//
OmpR	motA//fecI//alaC//ompA//
OxyR	trpB//cpdB//thiP//cpxA//dgcN//rffH//dinB//ribA//yjeV//
PaaX	tktB//lysW//
PepA	ymjC//
PgrR	frc//bcsZ//glpR//gyrB//ybhF//argI//hyi//
PhoB	thiP//hflC//trpD//bacA//mipA//insK//adiY//aroH//bdcA//yfdX//trmD//asnB//bcsB//yqhD//fadM//lysO//lacI//flgB//polA//ldtC//gltK//flhB//glgB//argH//nadA//phoH//fhuE//ycgR//yagK//lrhA//mzrA//
PhoP	add//oxc//folE//sdaA//cvpA//zntA//yegH//yhdW//phoA//tyrB//trpL//ppiD//rcsD//ydbD//fliQ//slyB//
PspF	ecpR//
PurR	dhaM//hofN//cvpA//alsB//flhA//flgE//sohB//luxS//uspD//dacC//phnO//yagK//pagP//
RbsR	pdeF//
RcdA	pheT//dsbG//glmU//
RclR	phnE_1//dapD//yjhB//
RcnR	mgtL//
RcsAB	fhuC//phnI//tadA//entS//phnG//
RcsB	lysW//phnN//lysR//hofM//
RcsB-BglJ	fliO//xseA//hofP//ruvB//ykgM//ychO//cheW//tbpA//leuB//ydeA//iraD//
Rob	sutR//
RutR	cynX//
SdiA	btuB//
SgrR	phnP//flgK//dicB//umuD//ddpX//rcsB//
SoxS	patZ//hofP//paaX//yqhD//cynX//uraA//
SutR	mipA//sdaA//
TorR	recD//
TrpR	leuW//bioB//gyrB//yqhD//argH//glnW//yecT//trpC//
TyrR	livG//yeiW//xdhA//
UidR	rclB//
UvrY	metJ//fecI//
XapR	hflC//purF//
YdeO	creA//phoB//
YjjQ	rffM//ihfB//recD//yafO//rclB//dsbG//recD//
YpdB	hemF//
YqhC	tyrB//argB//
ZntR	ybaT//
ZraR	dinG//
Zur	sbcD//creC//tyrT//ddpB//livF//
