#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ybjG//
Ada	chiA//tsr//uraA//
AgaR	ycjG//ruvB//trpB//flgK//rpsP//arsC//hflC//
AlaS	recB//
AllR	leuB//ybhL//phnF//yhhY//mscM//patZ//pheU//rclC//phoB//
AllS	glmS//amiA//hcaC//
AlsR	wzxE//cbpA//yecT//flgH//bcsB//argT//
ArcA	cbpA//pheS//
ArgP	dhaR//alsB//ruvA//
ArgR	luxS//trpD//fliO//pgm//umuC//glmU//rutR//argU//recN//pepT//flxA//ompN//trpL//ydcV//
ArsR	bioB//hofP//yeiB//
AscG	ybhG//
AsnC	manA//
BasR	fhuB//
BirA	cbpM//ygaC//polB//livG//yagK//
BluR	cbpM//yeiW//copA//ihfB//
BolA	yhbE//hcaB//
CRP	ybjG//apaG//fnrS//trpD//bioD//polB//fecR//dsbC//kdpC//apaH//glyT//bioB//sdaA//fliS//exbB//argT//omrB//ydbK//yqjA//exbD//iscR//ygdB//ydeA//umuC//yjhC//recN//nadC//pitB//wzzE//cstA//gcl//yqjA//wzzE//fliR//tcyP//mpaA//gltI//serT//rpiR//lysU//dacC//aroH//pepT//ttdB//ydeI//yecT//patZ//mpaA//tadA//alaS//dinG//recA//ynbC//cysC//ybfE//iscR//argR//hslJ//ariR//yagK//dapD//eno//cysN//flgC//slt//rcsD//rpsF//dsbC//
CdaR	fecR//pheT//agaS//phnL//ttdA//
CecR	yqhG//hfq//phnD//envC//flgE//
CpxR	hflX//ybfE//add//aroF//cpxQ//livM//flgI//livF//tar//gltK//luxS//phoE//flhE//proL//ybaT//ybbY//pepD//alaA//rpiB//adiY//hflX//rdoA//fliL//creB//oxyS//nimR//rffH//yciX//flgI//purE//lysU//trmA//
Cra	valX//fhuB//cheY//tyrV//sfsA//mltF//envC//yeaG//hofM//hdfR//nohA//ompX//ppdA//glpR//phoR//
CreB	fadR//
CsgD	obgE//cysK//kdpC//ycgR//hofC//bdm//yhhY//allB//hokE//
CueR	cbpM//wrbA//
CynR	malZ//yhdW//hdfR//yccT//
CysB	yecT//ycgR//rnlA//bcsB//ydcV//aaeA//ecpR//tap//rnlA//malZ//
Dan	aroH//pdeF//azuC//tyrU//
DhaR	dinQ//mipA//tadA//yidQ//
DicA	dinF//fhuB//arcA//wecC//rpsP//psd//tpr//speC//
DnaA	fldB//ttdA//
EvgA	allB//aaeR//yjhB//hofM//yiiS//patD//purF//
