#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	polB//
Ada	bcsB//nlpE//ftnB//
AgaR	apaH//ldtC//phnD//azuC//ubiG//symE//arsR//
AlaS	yccJ//
AllR	flgI//prs//trxA//yhbT//fldA//hdfR//yhjC//yeiB//dinB//
AllS	uvrB//ygeH//argX//
AlsR	gfcA//tyrU//dinG//umuD//fliM//ddpA//
ArcA	malZ//tpiA//
ArgP	phnN//dhaL//ydfH//
ArgR	cpxA//psiF//fabH//ibaG//mqsA//patZ//glyU//metF//ybaT//ftnB//yegR//ibaG//leuE//ymgA//
ArsR	glmS//fliO//cecR//
AscG	allD//
AsnC	bcsZ//
BasR	livJ//
BirA	dinF//efeU_2//amn//speB//yibQ//
BluR	ynjI//ubiG//ycjX//csrB//
BolA	allD//flhA//
CRP	rcnR//gudD//ibpB//ftnB//lysW//dinB//phnE_1//yegR//flgL//alsA//yebG//cbpM//gpmA//queA//yhdX//potF//cysN//cynT//yccT//zraP//talA//argW//flgL//pepA//pdxA//phoA//chiA//cpdB//cheZ//ycjY//fliD//rplU//flgI//ydeJ//ychH//sohB//yiiS//torR//yqhD//agaB//mhpT//hofC//ydeI//yfiB//mltF//pdxA//bioD//ariR//yibQ//trpR//wecC//glyT//cdaR//ppiD//glyT//ilvB//ydcS//pspF//ydfD//dhaM//uspD//ivbL//yjhB//gpmA//arsR//dicB//cysK//ynjI//
CdaR	secB//dhaL//yfdV//recB//hdfR//
CecR	rpmI//ybaS//artQ//dsbC//mpaA//
CpxR	wcaB//cynX//yccA//efeU_2//thiQ//leuA//glgB//nadA//pheT//agaD//ilvN//fliL//torR//copA//agaD//phoP//htpG//yeiW//glmS//leuL//alsA//allB//znuA//fepC//ydcV//leuC//flgB//purC//ydfD//mepH//ldtC//symE//
Cra	gudX//flu//preA//iraP//ttdA//rcsB//sdaA//ybhS//mngR//cyaA//creC//speA//ldtC//ychF//ygbK//
CreB	uvrD//
CsgD	rmf//iscR//agaS//asnB//ilvN//yebE//wzc//valX//flu//
CueR	ycgR//ilvY//
CynR	sfsB//oxyS//metA//rplS//
CysB	trxA//aroF//ynbA//mngA//rimM//alaX//nadC//ruvB//zraP//fecI//
Dan	gltJ//alsB//metF//torR//
DhaR	exbD//dkgA//flgD//lolA//
DicA	ysgA//alkB//phnD//ydjM//fhuD//leuE//nlpA//zntA//
DnaA	yciX//phnE_1//
EvgA	thrW//sroA//trpE//leuX//creA//psd//rpsF//
FNR	yhbT//alkB//yhdX//iscR//rpsF//rnlA//mngA//yecT//yncE//mcaS//rcnR//cbpA//agaD//sdaA//alsA//dicC//cstA//recN//tyrV//sbmA//recD//uidR//hofN//rcsB//pheU//yhdX//mzrA//
FadR	alsB//gcvA//torR//serT//rpsP//emrA//dkgB//gltK//
FeaR	pspF//
Fis	ppc//arcA//argC//bioA//gpmM//uvrD//rffG//acrR//mgrR//ygaC//ryhB//gudP//fliD//apaH//yqaE//accD//pdeF//argU//ihfB//yjjP//tcyP//potH//uvrY//xseA//hdfR//argE//cheR//ynjI//mukE//ecpA//aaeA//emrA//phnH//dinB//ymjC//narQ//yidL//psd//phoR//mhpR//ddpA//rcsD//fldB//hchA//ycjG//leuA//yidL//hflK//dsbA//fhuB//wza//ygeH//motB//glnW//cpxP//fabG//
FlhDC	rplS//flu//hchA//fliM//sxy//ydeJ//ddpA//omrA//crl//tyrB//mgtA//gcvB//ydcS//cpdB//tpr//dtpA//pykF//yccJ//glgX//ddpF//argF//wecB//yegH//grxA//bcsZ//ampD//alaC//yidL//flgH//flhE//aroF//agaB//obgE//grpE//entS//ddpA//cecR//ompX//
FliZ	phnN//
Fur	rpmA//dapB//hofP//tyrU//artI//allB//aroH//argF//lon//ppdC//znuB//priB//flgE//insD//yegH//topA//rclC//cstA//patZ//grxA//livF//ydfN//glyU//cpxR//
GadX	wrbA//mukE//grpE//ruvA//seqA//lysO//mpaA//
GcvA	fldA//yfdV//
H-NS	creA//ydcT//ilvY//metA//cecR//tyrT//purK//wzc//proM//fecI//rof//patD//osmB//bdm//
HU	umuC//mipA//
HcaR	apaG//hofC//rclC//iraP//yjhB//cpxP//
IHF	fliO//frc//ygbK//fecI//potH//metF//bluF//
IlvY	ariR//fhuE//
IscR	leuD//znuA//agaD//kdpB//phoB//fliS//rfe//mukE//
KdpE	hflC//paaX//pheV//gpmM//
LeuO	ybjG//pepA//flgG//dapD//agaR//flu//
LexA	proK//add//argU//yeiP//kbaY//cheA//ubiX//bluF//trpE//tsr//mukE//nadC//glnV//preA//garD//dkgB//pgi//tfaQ//hflX//purK//hisR//rpiR//fhuB//uvrB//ycgZ//ykgR//livF//phnG//rpsP//fnrS//ydcS//ilvC//gudX//rpoD//yfbR//mgrB//yebG//
LrhA	argB//
Lrp	phnJ//allB//cynX//dgcC//agaR//fliM//rpiB//paaX//ppiD//decR//sfsB//wrbA//gfcA//phnN//
LysR	glpE//
MalT	pdeH//
MarA	tynA//mlrA//
MatA	nlpA//dapD//
McbR	mcaS//
MetJ	bioA//cysC//valY//trpE//lysW//
MlrA	ysgA//argI//gltK//purK//mukE//
MngR	nimR//iraP//bdcA//
MntR	trxC//hisR//
MprA	isrC//dnaG//trpL//
MqsA	cheW//rpiR//
MurR	pgpC//
Nac	symE//rplS//gltX//fliL//flhA//
NadR	metF//hchA//flgF//
NagC	cecR//phnF//bioD//glyT//yafN//
NanR	osmB//thiQ//
NimR	fruB//ymgA//
NsrR	ybbW//artP//tsr//copA//uvrY//arcZ//ydcV//argH//azuC//flhE//thrS//fabD//borD//obgE//sroC//yaeQ//rimM//yfiR//yhdW//btuB//fhuE//metC//adeD//lolA//flxA//ppdC//artJ//ilvY//mcaS//yafP//
NtrC	tadA//tsgA//rstA//fadM//secB//phnG//argA//crl//yeaG//yeiP//gudP//flgI//phnJ//purF//pheT//ttdR//ubiX//
OmpR	dinQ//glmU//hemF//ydfW//
OxyR	uvrY//thrW//cysC//osmB//yccA//amn//gpmM//aaeR//pfkA//
PaaX	nadB//phoA//
PepA	xapA//
PgrR	pitA//ftnB//hflX//wrbA//pepD//livF//adiY//
PhoB	cysN//aaeX//recC//chiA//ampE//btuB//livJ//dsbC//argF//ynbB//yhdY//pfkA//ruvB//sxy//argU//glgX//valU//yhjX//ydeA//speC//glyT//oxc//envC//creA//cho//metT//infC//wcaB//glxK//mqsA//pepT//
PhoP	flgA//tufB//ilvB//torR//priB//ychO//phnG//phnC//uvrB//phnM//creC//yqhD//flgG//xseA//trxC//flu//
PspF	cheZ//
PurR	metJ//valY//rof//arsC//yqhG//yibQ//avtA//nadB//lysT//cra//tehB//leuE//htpG//
RbsR	rnlB//
RcdA	dinD//wecB//ppdC//
RclR	gudP//oxc//btuB//
RcnR	ddpC//
RcsAB	ykgM//yhdW//artQ//cpxP//ybhF//
RcsB	bioA//phnJ//flgI//cheR//
RcsB-BglJ	yfbR//yfiR//sroC//fliN//wecE//flgB//creB//flhE//glk//fepD//ydiU//
Rob	rplS//
RutR	wcaB//
SdiA	phnC//
SgrR	rsmA//ycgZ//ydcU//tisB//gudP//cynR//
SoxS	rplU//aroH//ynbC//rpsF//aspV//ddpC//
SutR	rpmI//nadC//
TorR	insK//
TrpR	hflC//phnH//fliS//tbpA//fliR//tdh//dkgA//glpG//
TyrR	sdaA//gudD//pdeF//
UidR	allA//
UvrY	ymjC//fruA//
XapR	tfaQ//yccJ//
YdeO	metA//phoR//
YjjQ	ydiU//gpmM//ppdB//serX//prs//agp//yegR//
YpdB	cpxQ//
YqhC	hflX//yagK//
ZntR	ybhR//
ZraR	yfdX//
Zur	aaeR//livM//alsB//raiA//aaeR//
