#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	yjeV//
Ada	efeU_1//preT//ydiV//
AgaR	mqsR//flhA//tpr//hofB//ydeA//rpoD//leuT//
AlaS	alaA//
AllR	gcl//fbaB//serX//pspF//rpoD//hisR//kdpC//manA//eno//
AllS	nlpE//tyrU//sfsA//
AlsR	apaG//tehA//iscU//efeU_1//cysK//livG//
ArcA	mipA//uvrY//
ArgP	dhaK//gpmA//yafP//
ArgR	rmf//allD//topA//ydfE//pepA//ydeJ//ppc//rclA//purC//rpiR//rcsB//fliD//tufB//dinB//
ArsR	ompX//apaG//leuP//
AscG	fliO//
AsnC	kdpF//
BasR	ydiU//
BirA	fldA//leuQ//hflK//phoB//rffG//
BluR	torR//tufB//rybA//argW//
BolA	aaeB//pheV//
CRP	phnG//murR//hisR//motB//xdhA//lysT//gpmM//dapB//leuC//allB//yhbE//fbaB//sbcC//purB//accD//tyrU//rclC//htpG//malZ//frc//uspD//trxA//tyrB//yafP//trxA//tyrT//ppsA//grxA//leuQ//acrR//nohA//agaS//yfbR//ppc//dksA//fliP//znuA//recA//iraD//cheZ//gcvA//rutR//kdpA//ysgA//ttdR//yafO//pheT//ybhS//cyaA//bluF//mukB//yaeQ//mngB//wzxE//yncE//allB//mipA//omrB//talA//ygeH//comR//kdpC//cpxP//tcyP//hofP//aaeA//dnaG//yebE//
CdaR	dkgB//dicB//folE//fruA//polB//
CecR	pepD//phnO//bioF//accA//ynbA//
CpxR	serT//rstA//dtpA//rffG//ymiA//ruvB//yfdE//hcaB//ysgA//amiA//ychO//pgm//ymgA//rcnR//fnrS//paaX//metU//pitB//leuC//bioF//yhbE//ycjX//osmB//ttdA//decR//glxR//potG//cpxP//ydfX//uvrC//fabI//paaX//
Cra	fadR//hcaD//uvrD//yhbT//rpoD//alkA//yjhC//yoaC//lon//glyT//hslJ//serT//aroH//ilvN//rplU//
CreB	phnM//
CsgD	ybhG//ampE//phoA//cbpA//tdh//cheZ//rpmA//phnG//rdoA//
CueR	purE//yidL//
CynR	fabD//potG//lysT//yaeQ//
CysB	talA//mhpR//yeiW//rpsR//livM//trpL//yiiS//preT//ybaS//dinD//
Dan	amn//exbB//glnV//purL//
DhaR	aaeR//hcaE//alsA//pgpC//
DicA	yfdE//yibQ//oxc//fhuB//torR//lexA//ihfB//ribA//
DnaA	glyT//alsB//
EvgA	artQ//seqA//fadR//ompX//phr//yfdE//flgK//
FNR	dhaR//wecE//phr//insD//alsE//znuC//fruK//tyrU//yfiR//fliO//valY//hisR//rpmI//tsgA//ampE//serT//pepA//mhpR//recC//tar//alsC//thrW//recC//argH//mepH//rffH//rof//
FadR	borD//zraP//dhaL//cpxA//mqsA//artQ//wzzE//tpiA//
FeaR	bioA//
Fis	ybjG//yfdE//psiF//yhfA//cynX//cpxR//yhdY//ydbK//zntA//nadA//phnG//flgF//kbaY//tap//mltF//wzxE//topA//flgE//infC//potI//cheY//ycgZ//tynA//treR//trpD//potF//rsmA//agaR//dhaL//livF//gpmA//flgK//argW//yciX//rstA//oxyS//ydbK//tonB//ddpD//purL//rnlB//ecnB//tyrU//phnC//aspV//grxD//ydeA//yegH//fliD//phoP//yeiB//gfcA//arsC//agaB//thiP//znuB//
FlhDC	ydcT//cysD//yfiR//glnU//lrhA//polB//yfbR//valY//rpsP//wecE//ddpA//manA//fepC//ycjX//oxyS//leuT//yccA//ydfX//uvrY//zntA//fliQ//slt//agaC//yegR//hcaR//dinQ//ydbK//trmA//rutR//hemF//tpiA//ribA//gudP//gpmM//phnO//ycgR//lysR//ynbD//
FliZ	ydiV//
Fur	valT//osmB//yeiB//phoE//sroA//cysN//flgG//pepA//gspB//fliR//flgK//glxR//hofC//glgX//mgtA//artQ//glyT//ychH//wzxE//thiP//infC//fliR//ybaS//rplU//
GadX	ychO//yneM//creC//cpxA//ybhF//purK//ruvB//
GcvA	bioA//yhhY//
H-NS	aaeB//allD//mgtL//asnA//fliP//livK//dinF//purF//glk//hcaR//ynbD//cpxR//motB//aroF//
HU	ygaC//apaG//
HcaR	lysR//insK//lysV//cpdB//rutR//wecB//
IHF	metC//phoH//agaD//sdaA//serX//rplI//yqjA//
IlvY	yhdZ//phnP//
IscR	argI//gltX//gspA//mcaS//phnP//ubiG//rnlB//argI//
KdpE	rstB//ykgR//preA//rpsU//
LeuO	artI//borD//lysT//recN//phoP//leuP//
LexA	mlrA//asnA//alaA//exbD//amn//ychF//rclC//alsE//phoP//rclB//fepG//zntA//potH//agaC//ydcS//lysR//proL//flgC//pheU//mgrB//flgG//cheR//arfB//ygdB//psiF//ycjX//fliL//ycgR//yhbT//flgK//valX//ompA//ydeA//cvpA//purB//fhuE//borD//
LrhA	fadR//
