#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	allA//
Ada	ampE//htrE//tsr//
AgaR	flgG//tsgA//gltJ//yafN//wzc//erpA//phr//
AlaS	argF//
AllR	mukF//comR//dinG//gpmM//yeiP//lysO//cpxP//gfcA//trpA//
AllS	phnF//rstB//yccA//
AlsR	kdpA//rybA//agaB//murR//tynA//gspB//
ArcA	ydeA//arfB//
ArgP	fabH//pheT//trpR//
ArgR	fliM//allA//garD//uraA//trpC//yneM//hofP//pepT//phnC//lysT//ftsK//efeU_1//yafO//bioF//
ArsR	yhbT//cheA//fruK//
AscG	adiY//
AsnC	glnV//
BasR	fadR//
BirA	ppdA//purB//cstA//recA//bioB//
BluR	yhdW//bcsZ//thiQ//ycjF//
BolA	ychF//yojI//
CRP	rffG//valU//oxyS//flgK//flgE//metA//wzyE//ppiD//rmf//allB//ecpR//rybB//murR//glnV//yqjA//ryhB//pagP//phnG//fadM//rnlB//spf//rcnR//ymiA//fliT//agp//pykF//csrB//thiQ//yqhD//recA//rmf//cheW//argI//narQ//insK//dsbC//tktB//tcyP//yqjA//flgJ//glgS//speC//sroC//dapD//flgL//intQ//phnP//ompX//flgF//phnE_1//phnC//fhuD//yhdY//cheB//hcaR//talA//dgcC//argA//yegR//gudP//fliD//ilvN//insD//uspB//uspD//wzxE//osmB//motA//
CdaR	flgB//pitA//ddpA//serT//dgkA//
CecR	hdfR//alsB//hfq//uspB//gltX//
CpxR	allA//tpr//yadV//asnB//rpmI//hcaF//emrB//glpE//ivbL//efeU_2//cpxA//mscM//ompN//efeU_1//gcl//nadC//allS//ybhS//tbpA//glnV//dapD//dgcN//fepC//ymiA//htpG//glyU//exbB//cdaR//uraA//argH//speA//entS//
Cra	rplU//fldB//ybfE//folE//talA//cecR//purB//mngB//argT//ampC//yafP//agaR//yafO//wzc//hflK//
CreB	symE//
CsgD	yhdY//yfdX//prs//recN//gcvB//livH//cysN//cdaR//mukE//
CueR	ydjM//phnF//
CynR	iscU//fruK//yebG//tyrA//
CysB	agaI//ygaC//ompX//purL//leuV//artI//kbaY//gcl//rclA//tbpA//
Dan	purE//alsB//flgC//flgD//
DhaR	allS//ddpX//entS//flxA//
DicA	ybhL//leuD//tyrV//mhpT//apaH//yojI//dapB//psiF//
DnaA	thiQ//iscS//
EvgA	mhpR//alsC//trxA//grpE//phnG//fadR//trpB//
FNR	rffM//leuE//yeiW//hdfR//dinQ//argX//yojI//rybA//mqsR//agaR//rpsF//cysE//creC//dhaK//yagK//ribA//azuC//xapA//queA//nlpE//potF//tpiA//hcaB//ydiU//purK//bioA//iscA//
FadR	ynbD//dinG//rpsP//rnlA//yhjC//proL//gspB//fabI//
FeaR	yafN//
Fis	ybhG//pspF//gfcA//agaS//arsC//torR//ttdB//emrA//rffG//bcsB//mgrB//arcA//arcZ//ynbD//ycjG//flgG//lrhA//hofO//cueO//ybjG//leuE//xseA//rpmI//rpsU//cynR//phnF//rpiR//ydcU//nlpE//alsA//tehA//phnD//flhA//fliT//mngA//mltF//ydcS//dacC//rpsP//leuA//ampD//yafN//cyaA//fliL//paaY//tufB//trpR//hchA//phoE//ppdD//gpsA//mukF//hslJ//ompN//creC//rffH//
FlhDC	ibaG//xdhC//rffH//arfB//fliD//ydfH//hflD//ihfB//cysD//cysK//yecT//yjeV//gudD//kdpB//yqhD//ppdB//ynbB//phr//agp//pepD//rimM//artP//fruA//leuT//yaeQ//purB//uvrC//tadA//yaeQ//valT//livK//gpsA//glnU//yhdZ//motB//ybaT//allA//argE//
FliZ	dgcC//
Fur	ariR//adiY//yqhD//hcaD//alaX//leuQ//flgJ//mcbA//trpE//ydfN//rffG//paaY//cbpM//ivbL//pheU//rcnR//pheV//phnL//ihfB//livM//sbmA//valT//flu//glxR//
GadX	yeiB//lon//ruvB//sdaA//sbmA//ftsK//ribA//
GcvA	tehA//dicC//
H-NS	flhB//sbcD//zntA//nlpE//thiP//phnN//gspA//livK//oxc//pepT//argF//rffT//yjhC//hflK//
HU	ppdD//rplI//
HcaR	tyrB//torR//amiA//agaB//yebE//ykiA//
IHF	uspD//ykgR//zraP//agaS//bioD//uidR//dsbA//
IlvY	phnL//artJ//
IscR	sxy//ptrA//flhE//sxy//argF//cysE//allA//dicB//
KdpE	arcZ//queA//potI//hcaE//
LeuO	aspV//ydfH//rsmA//dgcN//ydfH//yqjA//
LexA	yciW//oxyS//patD//xapB//wzzE//mzrA//arsR//uvrD//trpB//gcvB//ydfE//gltI//fadM//mpaA//ysgA//argT//ydiV//fliM//yeiP//yidL//ydeI//rffT//hdfR//yqaE//mprA//pgpC//hemF//copA//ppsA//yeaE//argX//trpB//ydeI//tpr//ybaT//rfe//aroH//
LrhA	fnrS//
Lrp	crl//tpr//agp//hcaD//cysC//grxA//cynR//dsbC//flhA//purC//slyB//cynT//yebE//treR//
LysR	ilvC//
MalT	bdm//
MarA	glmS//flgE//
MatA	ampE//pdxA//
McbR	pgm//
MetJ	hyi//sroC//leuL//rimM//fhuD//
MlrA	trpD//pspF//luxS//accA//fhuC//
MngR	ynbC//ttdA//ddpF//
MntR	fhuB//yhfA//
MprA	luxS//fecI//ycgZ//
MqsA	lysT//pheU//
MurR	pheS//
Nac	ubiG//phnD//mcaS//phnN//wzzE//
NadR	argR//livK//bcsZ//
NagC	preA//thrW//yojI//fepG//btuB//
NanR	bioC//phoE//
NimR	ariR//serT//
NsrR	xseA//asnA//allA//flhB//mprA//phnJ//ygbK//lysR//xdhC//chiA//cvpA//yhdX//yqjA//pfkA//xapA//gltK//patZ//fhuE//lacI//mngR//htrE//livJ//yciX//fadM//argX//asnB//ygdB//umuC//trpA//preT//
NtrC	uvrB//metA//yecT//rpiR//pdxA//yibQ//hflX//argA//yfiR//yneM//yhbT//argF//gspB//ppsA//yegH//dinF//ycjF//
OmpR	phoA//emrA//apaH//gpsA//
OxyR	dinF//valX//pdxA//ycjF//fhuC//bluF//leuC//xdhA//artM//
PaaX	apaH//motA//
PepA	yfiR//
PgrR	treR//ribA//gpsA//kbp//dapB//yhbE//recA//
PhoB	glgS//pfkA//dicB//nadA//rpiB//tdh//argI//insD//sfsA//bdcA//yqaE//rpiB//yqhG//mngR//recC//rpiR//intQ//ariR//fliM//rybB//yhbE//gcvB//pepD//cynT//artM//metA//cysD//flhE//priB//pheS//agaR//
PhoP	trxA//emrA//rybB//lrhA//talA//borD//dnaG//yegH//fadM//valU//yecT//trmA//ynbD//yecT//yhfA//cbpM//
PspF	rpiR//
PurR	trpA//ygdB//allD//ttdT//tisB//yeaD//ubiX//ybbY//yagK//tyrT//glmU//arsR//flgH//
RbsR	fadM//
RcdA	sfsA//flgK//yhdY//
RclR	sfsA//aroF//yhdY//
RcnR	ampE//
RcsAB	rclB//mcbA//tufB//yciW//tyrV//
RcsB	dhaM//omrA//fliT//ydeJ//
RcsB-BglJ	bdm//thrS//argC//envC//ymgA//cueO//yqhG//dnaG//tehB//hemF//flgK//
Rob	phnD//
RutR	ddpA//
SdiA	mukB//
SgrR	sfsA//yfdX//fruK//valY//flgB//glnX//
SoxS	ybhF//flgC//yeiW//ttdB//ymgC//polB//
SutR	tap//uvrC//
TorR	azuC//
TrpR	yfbR//ymgC//crl//fliL//recB//ilvY//dgcN//leuT//
TyrR	tyrA//glnW//asnB//
UidR	rpmA//
UvrY	msrA//ybaT//
XapR	ttdR//yfdE//
YdeO	yqhG//alsC//
YjjQ	yccA//trmA//emrB//mcbA//ymiA//flgL//preT//
YpdB	chiA//
YqhC	gltI//cynS//
ZntR	spf//
ZraR	lysR//
Zur	entS//yaeQ//mpaA//flgA//htrE//
