#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	iscU//
Ada	ompX//purB//yeaE//
AgaR	yfiB//valY//ddpB//dsbA//arsC//valU//argC//
AlaS	bcsB//
AllR	fliD//spf//rffT//sfsA//lacI//yhjC//queA//gltK//creA//
AllS	omrB//phnN//slyB//
AlsR	mepH//dsbC//cpxR//hflX//narQ//dhaM//
ArcA	ygbK//ybjG//
ArgP	spf//ppdC//ampD//
ArgR	mpaA//recN//arcZ//yidL//glgB//mukF//rsmA//uvrY//yccJ//phnM//leuD//tyrA//hcaD//hcaC//
ArsR	allD//wecB//rdoA//
AscG	cynT//
AsnC	rcsD//
BasR	ibaG//
BirA	kbl//phoA//argR//cysK//phnI//
BluR	yciX//arfB//rcnR//fldB//
BolA	malZ//pgpC//
CRP	cysD//fhuE//dtpA//wzzE//ppc//phnN//pepA//ddpA//polA//htrE//yeaH//wzxE//emrB//ydcS//hchA//kdpB//paaY//lysU//gltI//ydfX//gfcA//comR//cysD//ftnB//metA//wecB//ycgR//ubiX//pgpC//ygeH//cueO//gcl//yhbT//pgm//fliN//gudD//emrA//dhaM//rclB//ychF//phnC//ibpB//mgrR//alaW//secB//potG//dhaK//arfB//ymjC//gpmM//purB//dapB//yjhB//arfB//bdcA//ydeJ//yccA//gudX//symE//dsbC//glxR//avtA//thrT//yadV//hofO//lysT//hcaR//mlrA//
CdaR	dgcC//flgA//hemF//artM//frc//
CecR	bluF//lacI//cysK//mngB//phnF//
CpxR	pgm//yhjC//oxyS//phnK//accA//ymiA//dicC//recA//yncE//ftnB//flhB//yegR//yeaH//fnrS//yncE//glnV//secB//hofC//hflX//cysN//mcaS//valY//cheA//flgF//hflD//mngR//ydiV//yccT//fhuC//yccT//trpA//patZ//
Cra	agaR//motB//rffH//dinF//dhaR//lolA//ilvC//oxc//allE//purC//torR//ygaC//alsE//dnaG//trpD//
CreB	mukE//
CsgD	mipA//phoA//htrE//trpD//aaeB//mukB//ybfE//ruvB//glxR//
CueR	yegR//argI//
CynR	flgF//cheZ//trpR//tyrB//
CysB	topA//ilvC//xapA//ydfN//ydiU//argE//pagP//yhbE//symE//tynA//
Dan	phnJ//ynjI//rplU//hflC//
DhaR	paaX//ydfW//livG//pitB//
DicA	fabI//arsR//murR//ppsA//cynX//valT//yhdW//sgrR//
DnaA	phnE_1//chiA//
EvgA	mhpT//ryhB//emrB//ydbD//potG//ydfE//fepG//
FNR	dkgA//artI//flu//dkgB//arsC//yjjZ//rcnR//acrR//pheV//ribA//gpmM//trpE//mukF//ydeJ//gltJ//mgrB//rplI//ygaC//phnO//frc//argC//pepA//fruB//chiA//artM//phnO//ttdB//
FadR	paaX//mepH//thrT//proM//cysK//tktB//sbcD//gudP//
FeaR	ydfW//
Fis	ttdA//patD//znuC//rffC//dhaM//trpC//tyrU//gpmM//arsB//isrC//ddpX//motB//wcaB//gpmM//hemH//cheA//hemF//phoA//phr//kbp//ppc//phoR//cpxP//leuB//exbD//ampE//yfbR//uvrY//uidR//dkgA//ybbY//obgE//mngA//yfiR//ryhB//alkA//glpG//ampC//rpsP//lysU//glxR//obgE//glmS//csrB//phnK//trmA//glk//yqjA//recB//alaS//bdcA//emrA//ycjF//fhuD//wzc//rffG//
FlhDC	ppdC//lacI//agaB//mngB//fabG//cynT//ecpR//ilvB//metJ//dgcC//mltF//accD//yegH//tsr//fhuB//lolA//fhuE//mscM//hslJ//dinG//trpR//motA//murI//creA//rffM//ycjG//xapA//lysU//phnL//crl//motA//cynR//ydjM//yadV//purL//fruK//fecI//ubiG//
FliZ	gpmA//
Fur	frc//yhbT//sroA//hisR//sxy//talA//rnlA//sgrR//mukB//fadM//wecC//ampE//trpA//ddpX//iscS//ynbC//patZ//iscS//nohA//htrE//hflC//fliS//dksA//tadA//
GadX	hcaC//yqhG//cpxQ//purE//accD//phnC//fabD//
GcvA	fliP//leuV//
H-NS	yegZ//metJ//yecT//pgpC//acrR//dinD//eno//thrT//hchA//ydfD//wzc//purB//phnP//gltK//
HU	narQ//yhjC//
HcaR	dinD//intQ//lysU//ybhL//ldtC//ptrA//
IHF	mepH//gcvB//bcsZ//rcsB//fepC//allA//gcvB//
IlvY	nohA//motA//
IscR	bacA//aroF//ldtC//yhbS//agp//xapA//purE//hofM//
KdpE	gor//yebG//yccT//hcaE//
LeuO	polB//spf//creB//trxC//dksA//ydbK//
LexA	rffT//azuC//valY//zntA//sfsA//gor//argW//kdpB//cra//recD//leuQ//kbp//pgm//gfcA//ybfE//rnlB//wzc//rfe//bioC//tcyP//yqjA//iraP//yafP//ptrA//hyi//mgrB//yqhG//bioD//ydcS//nlpA//potG//malZ//sdaA//ygbK//livK//rcnR//rpmI//
LrhA	speA//
Lrp	flgJ//seqA//tyrT//ampC//bcsB//tfaQ//phnI//argX//ynbA//purL//garD//iraD//rpsP//phnE_2//
LysR	insK//
MalT	ppiD//
MarA	flgK//yeiW//
MatA	livF//yhfA//
McbR	grxD//
MetJ	xseA//flgH//leuL//tpiA//apaH//
MlrA	mukB//omrA//rpsR//uraA//mntS//
MngR	ppsA//torR//infC//
MntR	yjeV//pepA//
MprA	argW//pgpC//kbp//
MqsA	rpsP//leuV//
MurR	gpsA//
Nac	phnF//argT//xseA//ttdA//livF//
NadR	flgH//ydeJ//argE//
NagC	yhbS//ydeA//wrbA//hchA//oxc//
NanR	uspD//recN//
NimR	ttdT//potG//
NsrR	phnG//alaW//nimR//pepT//phr//proL//wza//yjhB//yjhC//luxS//rsmA//ubiX//ilvY//ydfE//ppdC//hchA//cpxP//ompX//gudP//allS//flgI//wzc//dinG//pdxA//fhuE//argI//mzrA//fhuE//glyT//yegZ//
NtrC	accD//cheW//ybhR//zntA//yccA//tyrT//narQ//tfaQ//flgH//agaB//recD//leuL//fliS//fliP//kdpC//dinG//ivbL//
OmpR	rpoD//ppsA//trpL//hofP//
OxyR	recN//gltL//mpaA//ppdB//wecC//decR//lrhA//wzb//nlpE//
PaaX	yadV//zntA//
PepA	dhaM//
PgrR	argH//glyT//argB//yfdV//pykF//yhjC//hflX//
