#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	flgD//
Ada	dsbC//ygbK//iscS//
AgaR	uvrB//uidR//mpaA//hisR//btuB//cyaA//insD//
AlaS	sfsB//
AllR	pepA//bdcA//uidR//valY//bdcA//wzyE//arfB//ykgO//purF//
AllS	proL//cysN//allS//
AlsR	flgL//ygbK//trxA//psiF//alaC//rcsD//
ArcA	cynR//dsbG//
ArgP	phnL//dhaM//thiQ//
ArgR	kbl//metF//artM//insD//fldB//fnrS//gcvB//secB//pfkA//lysT//pgpC//yeiW//tsr//wecE//
ArsR	gor//creC//proK//
AscG	hslJ//
AsnC	dhaL//
BasR	rffG//
BirA	patD//flu//pdxA//glnU//pepA//
BluR	intQ//fabI//glpR//hcaB//
BolA	psiF//glnU//
CRP	yciW//bioB//pnuC//yhjX//sroC//pepD//trmA//fliQ//potI//ompX//pitB//wcaA//ybhR//mhpR//yegH//ycjF//sxy//rsmA//ygeH//creC//chiA//proK//dinB//argE//flgC//agaR//symE//gltL//fabD//nlpA//ydcS//arsR//ydbD//alsA//yidL//lacI//rpsU//ruvB//glk//ycgZ//fhuE//dhaM//pitB//metT//glmS//ycgR//fliL//purB//hcaE//motA//yjjP//adeD//yfdX//talA//agaR//ppdB//insK//cynS//lysV//alaW//flgF//flgK//ibpB//rstB//uvrD//rcsD//fadR//ppdA//
CdaR	valT//fliS//cysN//rpiB//argE//
CecR	wzyE//mepH//dhaK//aroF//cpxQ//
CpxR	cynT//ycjF//leuT//argC//nadB//yafO//ftsK//psd//osmB//ppiD//sroC//yoaC//fabD//dsrA//mqsR//gyrB//cpxP//ilvC//glgB//grxD//phnE_2//purB//ybhL//phnE_1//fhuC//decR//thrW//artI//cyaA//rffC//paaY//pepT//
Cra	wza//rfe//fldA//garD//cbpM//rstA//potH//rplU//tyrU//cpxP//yhdZ//yagK//ybaS//znuB//glnB//
CreB	bdcA//
CsgD	gudP//argB//emrA//nlpE//yiiS//hokE//leuB//hdfR//sbcD//
CueR	thrU//flgL//
CynR	ybhL//phr//yafP//obgE//
CysB	torR//hslJ//rutR//fadR//seqA//rplI//fabG//tsgA//livH//pnuC//
Dan	yciW//ilvC//sroC//livJ//
DhaR	fliO//umuC//adeD//phnL//
DicA	nimT//alaX//rpiB//ydfD//rclA//yqaE//luxS//rybA//
DnaA	glnX//argU//
EvgA	lexA//flxA//wrbA//glnW//ecpR//wzzE//lysV//
FNR	avtA//ompN//bcsZ//ttdT//tyrV//hcaC//tynA//acrR//tehB//uvrB//hisR//cyaA//tfaQ//dhaR//fepD//trpR//agaR//proM//trpL//yqhG//kbl//obgE//uspD//ryhB//yciX//ydiU//rplI//
FadR	znuA//valX//yagK//trpC//spf//dsbG//argI//aspV//
FeaR	ddpF//
Fis	mhpR//tonB//hflC//fepG//cvpA//argE//patZ//valY//yebE//phnC//ycjF//serT//iscU//fliR//fliO//ibaG//dsbA//sgrR//ecpR//pdeH//tsr//purE//pitB//rpiR//emrB//fabI//trpB//ydfN//nohA//ompT//hofC//potH//ttdR//cecR//mlrA//metJ//fabI//glpR//ycgR//ydfW//ydfD//sfsA//dsrA//kdpB//pheT//allD//ompT//kbaY//hcaC//ibaG//cynR//iscU//recD//ydcV//adiY//hcaB//
FlhDC	kdpF//bioC//csrB//ampC//btuB//proL//slyB//ydeI//ykgR//ykgO//glgB//creA//dinQ//apaH//flgI//rpsP//dicB//livF//pgm//uvrC//ychH//pdxA//agaB//ycjX//flgB//yjhB//trpA//mntS//pdeH//pheT//ynbA//metF//argX//agaS//gspB//dicB//yccT//accA//
FliZ	alaW//
Fur	fepD//dhaR//rpiB//ppdC//yebE//yeaG//wcaB//ldtD//ilvC//metU//alsA//symE//yhdY//cho//phnI//pheV//bioB//mgrR//ygbK//hflX//iscU//tehA//cpxQ//ynbD//
GadX	phnN//nimT//lysW//hcaC//metU//fhuD//eno//
GcvA	ruvA//gor//
H-NS	ddpF//ydfH//asnA//artP//ygiZ//rcsB//cecR//tehB//ybhG//rybA//yafO//potF//allC//dapB//
HU	recD//yiiS//
HcaR	ychO//dinF//sfsA//alsE//phnF//rarA//
IHF	ycgR//mukF//ykgM//yeaH//cyaA//phnM//dinG//
IlvY	cvpA//ppdB//
IscR	fldB//gltL//phoP//valY//cbpM//aaeA//wzb//aaeA//
KdpE	yiiS//cynR//rnlA//dicB//
LeuO	ddpD//yeiP//ampD//fabH//speB//hisR//
LexA	yeaG//ygaC//ybfE//phoH//hcaR//aaeB//phnG//valT//ykiA//fadR//recX//uvrY//tar//metF//rplI//ydeA//yagK//iscS//yjjP//arsC//gltX//potF//ppiD//aaeX//bioF//valX//pagP//ybhG//mqsR//hemF//kdpA//phr//ydfW//rybB//cbpM//purE//tap//
LrhA	creB//
Lrp	creC//rnlA//argU//leuB//mltF//metU//yeaE//valU//ynbA//fliT//metJ//speC//rclC//phr//
LysR	pepA//
MalT	phnG//
MarA	agaC//gpmM//
MatA	dkgA//agaC//
McbR	rsmA//
MetJ	cueO//hdfR//lolA//arcA//fabI//
MlrA	ycjY//arfB//polB//ydcV//fepD//
MngR	alkA//tehA//glgB//
MntR	upp//mepH//
MprA	mntS//trmD//grxA//
MqsA	ybhF//mcaS//
MurR	borD//
Nac	ydcS//ydjM//topA//apaG//yncE//
NadR	phnK//cysC//rpmI//
NagC	fecI//ybhR//ydcT//livM//creB//
NanR	argA//exbD//
NimR	pagP//dsbA//
NsrR	leuP//trpC//pepD//yebE//artJ//ycjF//glgS//bioF//tonB//leuL//sfsA//pfkA//lysO//valT//ilvC//yqaE//ydbD//slyB//cysC//dapB//yhdX//purF//yegH//amiA//iraD//alaA//xseA//cysD//lysC//proK//
NtrC	mpaA//frc//rcsB//fruK//leuD//agaD//entS//intQ//gudX//argE//yjjZ//hcaE//mcbA//yjjZ//ddpF//ynbD//sfsA//
OmpR	ompT//ydcS//xseA//bdm//
OxyR	xdhB//apaG//speC//ydcT//frc//xdhC//wcaA//cysN//pheU//
PaaX	dhaM//ecnB//
PepA	gcvB//
PgrR	argI//uraA//mhpR//pagP//hflC//yfiR//yhbT//
PhoB	borD//crl//envC//yhbT//murI//yebG//pepD//xapA//amn//ybbY//potI//ydcV//dksA//ung//kdpB//mcaS//gcvA//ddpF//tbpA//ddpF//fbaB//iscS//aaeX//uraA//tisB//insD//yaiW//cheB//flgG//phoH//potF//
PhoP	serX//hemF//pepA//ybbY//fhuC//yafN//patD//yqaE//gfcA//luxS//adeD//wcaA//slt//adeD//fliS//ymgA//
PspF	hokE//
PurR	dgcC//fruK//insK//ttdR//ynbB//grxD//arsR//fliN//wecB//phnO//argE//flgF//ymgC//
RbsR	fabD//
RcdA	metU//gcvA//proM//
RclR	apaH//agaB//yafN//
RcnR	insD//
RcsAB	hofB//thrS//recA//fabI//erpA//
RcsB	trpD//proK//rpsP//fecI//
RcsB-BglJ	wecB//insK//hflK//mukB//cra//preT//flgE//bcsZ//comR//patZ//yebE//
Rob	rpoD//
RutR	bioF//
SdiA	mipA//
SgrR	fecI//ychO//ompN//nimR//leuV//uspE//
SoxS	speC//glmU//rpsU//pgpC//tktB//livF//
SutR	yhdZ//phnJ//
TorR	trmA//
TrpR	ydeA//psd//thrU//leuD//phoE//ydfN//mngR//leuV//
TyrR	fliL//ampD//gltK//
UidR	dapD//
UvrY	torR//rarA//
XapR	yidQ//alaC//
YdeO	cheA//gcvA//
YjjQ	bioD//secB//rstB//fecR//cpxQ//efeU_1//hokE//
YpdB	leuT//
YqhC	fruK//ibpB//
ZntR	phoA//
ZraR	aaeX//
Zur	rffM//rnlA//dhaM//treR//ampC//
