#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	flgK//
Ada	kbp//slt//uvrB//
AgaR	rpmA//alsB//glnU//cbpM//yhbE//purF//sgrR//
AlaS	tyrA//
AllR	yebG//fecI//yhjC//frc//tpr//rpmA//pepT//fliT//ybbY//
AllS	dapD//yjeV//ddpA//
AlsR	fliM//wrbA//valX//raiA//ilvN//leuL//
ArcA	gcvB//fliR//
ArgP	ruvA//uspB//gltI//
ArgR	rsmA//ddpD//mqsA//ybhG//fruA//copA//yaeP//tktB//pdeF//cpxQ//ychH//thiP//yeiW//flgC//
ArsR	argT//patZ//fhuE//
AscG	frc//
AsnC	upp//
BasR	gfcA//
BirA	ycjG//hdfR//isrC//obgE//cheW//
BluR	recN//yhfA//wrbA//allD//
BolA	rybB//lrhA//
CRP	ydiU//murI//flxA//rffM//kdpB//ynbC//pfkA//purC//ecnB//cdaR//gspA//hdfR//mqsA//tyrB//nohA//ompX//pnuC//rffT//artQ//livM//pdeH//luxS//cecR//ppiD//fabI//hyi//fliR//ariR//queA//speB//sbmA//psiF//yhjC//yhhY//mngA//spf//flgB//ilvN//arcA//dacC//tyrT//argT//xdhC//hokE//alkB//dicB//yhbE//aroH//phnC//gpmM//ppdD//azuC//rnlB//adeD//recX//cheB//ppdA//omrA//tyrU//aaeR//talA//wza//phnM//glpG//metU//artM//dksA//trpD//
CdaR	pgi//torR//fruK//cheZ//xapB//
CecR	ung//mukB//priB//ybaS//hofB//
CpxR	fepG//glk//agaB//ydiV//glxK//phoP//sfsA//xapB//ihfB//rimM//ycjX//hofO//trpD//trpD//omrA//cbpA//ppsA//wza//glxK//tcyP//yccA//recB//mprA//ribA//manA//creA//ilvY//alkB//yqhG//proK//ydfD//livF//
Cra	asnA//rpsU//glpG//hisR//phnK//metJ//trpL//flhA//nimR//uvrB//wzzE//purK//ecnB//htpG//xdhA//
CreB	lysT//
CsgD	ydiV//cysC//ybhF//fabI//rplI//glnU//ybfE//folE//ynjI//
CueR	aaeB//glgS//
CynR	glnX//yncE//ivbL//ppdD//
CysB	cueO//thiQ//ada//adeD//rpsU//ibpB//proM//apaH//dinQ//tynA//
Dan	pepA//purE//polA//flhE//
DhaR	phoB//mukF//entS//phnJ//
DicA	rffC//cdaR//rstA//yccT//rcsB//cheW//ruvB//gltX//
DnaA	cysK//ycjY//
EvgA	mhpT//ybbY//phnF//gspA//lysV//yjjP//phnN//
FNR	rnlA//glyT//leuT//lysV//mhpT//glxK//umuC//yidL//rpmI//aroF//ribA//recA//mukF//uraA//proL//dhaL//rfe//cstA//ydeI//fruB//fruK//rnlB//recD//upp//luxS//ygeH//dsbA//
FadR	valU//adiY//agaB//exbB//ydfE//hokE//motB//agaI//
FeaR	argR//
Fis	lon//argC//tadA//ilvB//allS//leuE//aaeA//rffG//fldA//yfdE//wecB//upp//ygiZ//bdm//argU//hemF//ilvY//ygiZ//ydcV//ymjC//fnrS//ddpB//kdpF//yidQ//ampE//fliS//osmB//ymjD//recN//creB//oxc//rpsR//ryhB//xapA//bioA//recC//hofB//argR//rpsR//fhuE//fepG//rffG//bioD//artP//flgB//dgcN//dhaK//sxy//trpL//thrU//fliS//arsC//yhdW//speB//iraD//creA//
FlhDC	bacA//fliL//rclB//murR//avtA//pnuC//cra//thrW//mngR//ybaS//phnE_1//kbp//add//ddpD//cstA//yneM//hflK//rof//allC//gltL//ydfN//purK//exbD//wrbA//dinF//arcZ//tynA//priB//ykgM//ybhG//kdpB//ydfD//mprA//pheT//tadA//upp//dkgA//mngR//
FliZ	tisB//
Fur	yeiB//yccT//serT//slyB//fliD//hdfR//ybfE//recC//fliT//trpD//hemH//pfkA//preA//kdpF//nimR//lon//ttdR//hisR//hslJ//entS//polB//cpxR//speC//mqsA//
GadX	kdpA//ttdA//sroC//ybfE//cynT//rpmI//rdoA//
GcvA	phoB//mukB//
H-NS	gudP//hyi//garD//fruA//yciW//ldtC//cpxP//lysU//yccJ//polB//upp//kdpC//iscR//ynbD//
HU	artI//gpmA//
HcaR	kbaY//purC//pepA//hflD//dicC//cynT//
IHF	livF//hflK//hcaR//psd//alsA//dhaL//yccA//
IlvY	lysV//recB//
IscR	rfe//rpiB//phnC//cstA//yjjZ//yccA//arcA//tcyP//
KdpE	fadR//agaB//decR//pnuC//
LeuO	dsbC//fhuE//znuC//mlrA//ryhB//fhuD//
LexA	phnO//alkA//pheT//phr//glnV//tyrV//rarA//speC//hcaC//yqhD//phnJ//aroH//recX//alkB//dsrA//hflK//mgrR//bluF//murI//yfdX//tonB//gudP//slt//ynbC//ddpC//pheT//manA//glxR//lrhA//leuX//cynS//yhdW//bioC//sdaA//ribA//trmA//hchA//
LrhA	hcaD//
Lrp	uidR//flgI//iscR//kdpF//rybA//sbmA//ybhR//patZ//yncE//argX//topA//cheR//glgX//ybhF//
LysR	uvrY//
MalT	agaS//
MarA	fldB//spf//
MatA	dsbG//leuV//
McbR	ybjG//
MetJ	phnE_2//dsbC//nadC//flxA//yeiP//
MlrA	cheY//arcZ//aroH//serX//sroA//
MngR	ydfW//ivbL//ddpB//
MntR	glpE//polA//
MprA	ynbC//rpsP//htpG//
MqsA	dicB//ldtC//
MurR	chiA//
Nac	sxy//garD//exbD//rstA//ftsK//
NadR	argB//fadM//ppsA//
NagC	flgD//slyB//eno//flgB//gltI//
NanR	ydcS//bacA//
NimR	ydcU//adeD//
NsrR	rcsB//wzzE//prs//tufB//argC//cueO//creA//iraD//bcsZ//leuL//hofN//yaeP//yhdX//ydcU//gltK//ivbL//gcl//cpxR//nadB//xapA//leuP//rplI//lysR//uspE//mukE//fliL//purB//topA//valX//alaA//
