#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	lysR//
Ada	tfaQ//argU//trxA//
AgaR	ymjC//rcnR//rutR//umuD//thrS//rpsU//ydeA//
AlaS	wzc//
AllR	lacI//lysO//potF//omrA//grpE//aroF//cpxP//allD//gltJ//
AllS	phoR//ilvC//dicC//
AlsR	fliD//glgX//metA//cheB//rplU//cynX//
ArcA	ycjF//dapB//
ArgP	yeaG//rclC//wzxE//
ArgR	cvpA//nadA//bioB//yebE//glk//yccT//nohA//speC//yeiB//spf//yeiW//yhfA//wcaB//mukF//
ArsR	ribA//ygeH//omrB//
AscG	phnE_2//
AsnC	bioF//
BasR	arcZ//
BirA	yaeP//yfiR//ydfH//lysC//phoE//
BluR	alsE//rplS//lysT//ftsK//
BolA	murI//argB//
CRP	ruvB//rarA//ybjG//leuC//ymjD//topA//allA//tcyP//leuV//serT//apaH//ybhS//amiA//accD//psd//hflC//yidQ//phnF//yccA//thiQ//rsmA//hofM//rnlB//recD//folE//fabG//htpG//rffT//ychO//ydfE//agaS//yegZ//metC//acrR//phnG//yibQ//cpdB//flgH//uraA//kdpA//leuA//fecI//potG//rsmA//livJ//flu//glxR//ynbA//argA//leuB//rffC//gpmA//ecpR//argT//rfe//exbB//mgtA//ydfW//trxA//ruvA//yhhY//yhjC//rcnR//phnO//purL//chiA//ygbK//kdpA//
CdaR	recB//csrB//rarA//cpdB//mukB//
CecR	potI//mcaS//valX//fldA//manA//
CpxR	ldtC//uvrB//ecpA//cheA//artP//polA//valT//yjjP//mngR//phnC//borD//arsR//ydiU//dnaG//rpiB//motB//trmD//argX//yjhB//fepC//yegZ//metC//cbpM//yaeQ//proK//potF//phnE_1//pheT//leuV//phoA//xapA//uspE//
Cra	murR//fabH//ycjG//exbB//fhuD//kdpF//yhdX//phnG//dinB//fhuE//psd//glgX//gudD//mgtA//ttdT//
CreB	hofP//
CsgD	lacI//dhaL//gor//trxA//argH//apaG//ymjC//yagK//wcaA//
CueR	rffG//yjeV//
CynR	ompX//yccJ//fruB//dkgA//
CysB	dnaG//ibaG//yeiP//mgtA//gcl//fbaB//insD//ddpF//glpR//trmD//
Dan	ydeI//wzzE//glyU//phnC//
DhaR	ftnB//flhE//rffH//cpxQ//
DicA	cheZ//ppiD//pagP//pepA//fecI//fnrS//ddpB//leuA//
DnaA	ompX//uvrY//
EvgA	lysT//hyi//yqhG//gor//wrbA//polA//recA//
FNR	ymgC//gor//adiY//cysC//alsC//arsR//yaiW//flgD//cvpA//omrB//raiA//dacC//cpdB//cheY//dhaK//cheB//livM//tfaQ//aroH//potG//cheB//rpsU//tar//leuC//ompN//livG//kbp//
FadR	grxA//yfdE//flgA//znuA//alaA//ybbY//glnV//phnE_2//
FeaR	htrE//
Fis	ddpC//yafN//pepT//flgH//mhpR//fruB//hchA//ykgM//cynS//accD//agaR//ydbD//envC//avtA//mgrB//yqjA//mprA//ydiV//dgkA//ilvC//rffC//pdeH//fliP//metA//cysE//dhaL//kbl//aaeB//ybfE//ybhG//fhuC//glnW//mgtL//osmB//ydcV//tdh//mngR//rpmI//yqjA//infC//gltK//uspB//glmU//dgcC//exbD//symE//ldtD//lacI//metU//oxc//gyrB//potG//rplI//mqsR//yfdV//topA//
FlhDC	hflX//alaS//cysC//ydcU//flxA//hofN//yjjZ//amn//fhuB//tktB//ychF//rybB//rplU//aaeA//hcaR//fliS//gltJ//grpE//kdpA//rfe//aroH//thrS//yeiW//dgcC//allC//cdaR//arcA//fhuD//proK//tyrU//yebG//proL//phnG//ybhS//proK//argW//rffM//alaX//
FliZ	dicC//
Fur	tdh//glyU//ybhL//phoP//yeiP//dkgA//argX//raiA//ydfE//ychF//phoP//folE//bdm//rybA//yccT//ldtD//gudX//artJ//borD//arsR//prs//flgI//amn//tdh//
GadX	tehB//tyrV//metU//dhaL//hofP//hflC//mukB//
GcvA	bluF//argH//
H-NS	emrB//ttdR//ybbW//yjhB//fliS//tonB//xdhA//ydfN//ykgM//ybhR//phnH//pheT//asnB//rnlA//
HU	tyrU//allB//
HcaR	yecT//ykgR//trpD//valT//preT//cpxQ//
IHF	ybbW//phoP//cho//sbcC//htrE//gltX//dsrA//
IlvY	phnF//iraD//
IscR	tehA//manA//yadV//rstB//ynbC//rplI//cpxR//ubiG//
KdpE	oxyS//xapB//aspV//cecR//
LeuO	isrC//gpsA//purF//cheZ//ybjG//rpmA//
LexA	ykgR//trpA//yhbT//phnD//tyrB//bdm//leuX//pheT//yfdV//ttdR//pgi//flgG//xapA//flxA//phnF//kdpC//ydcU//mqsA//phoP//trpC//btuB//bdcA//lon//ampD//flgL//infC//ppc//ydfH//yfiR//dtpA//allA//flu//yqaE//ynbB//alsB//ybaT//ecpR//
LrhA	cynR//
Lrp	kdpA//fabD//trxA//phnJ//yaeP//dhaR//hisR//dkgA//cvpA//ynbA//pgi//rnlA//ynbD//entS//
LysR	artI//
MalT	hflK//
MarA	chiA//add//
MatA	yneM//ybhF//
McbR	proM//
MetJ	glpR//ybhG//mqsA//sfsA//cheZ//
MlrA	gyrB//flhA//ppiD//hflC//yhdZ//
MngR	mgrR//ydcS//yaeQ//
MntR	dacC//fepC//
MprA	phnK//gspB//preA//
MqsA	aaeA//infC//
MurR	pykF//
Nac	bioB//trpR//lysU//purE//alsC//
NadR	gpmM//iscR//iraP//
NagC	tpiA//pgpC//mlrA//tyrT//lysT//
NanR	ruvA//leuT//
NimR	ydcS//trpL//
NsrR	ihfB//phoH//ryhB//glnU//dhaM//grxA//kdpB//gpmA//serT//insD//ppdB//yccJ//leuB//wecE//yncE//ychF//ddpX//infC//gpmA//gpsA//flgE//ygiZ//ybhF//sfsB//lysO//yoaC//arfB//seqA//ada//fabD//
NtrC	mngB//rclA//gudD//fliM//nadC//mprA//mscM//torR//ychO//agaC//hofM//aroH//recX//flgB//preT//recN//mntS//
OmpR	ynbC//lysR//tar//yncE//
OxyR	mgrR//hchA//wcaB//yjjP//borD//fabI//purL//speB//speB//
PaaX	ydfW//topA//
PepA	yfdE//
PgrR	rdoA//asnB//alkA//phnG//livM//tyrT//umuC//
PhoB	artI//fliP//fepD//rcnR//azuC//cvpA//purB//xapA//efeU_2//gpmM//ttdA//yebG//crl//valY//glgS//spf//ivbL//pgm//potG//ompN//gfcA//yafO//artM//yhdZ//exbD//hslJ//iscS//ybhR//rplU//proM//rclC//
PhoP	proM//ycjG//wecE//glgX//allB//ppdD//dinG//ecpR//recN//gltL//bdm//chiA//cra//trpD//potI//add//
PspF	ykiA//
PurR	alsC//xdhA//tisB//recD//gltK//ampC//thiQ//aroH//fliR//tyrT//rpoD//hofM//cheB//
RbsR	flgF//
RcdA	yhbS//yaiW//spf//
RclR	sroC//ygiZ//mukE//
RcnR	leuA//
RcsAB	argA//spf//asnB//cysC//alsC//
RcsB	mzrA//patD//phnG//yhdY//
RcsB-BglJ	recX//pgpC//mngB//ihfB//priB//pheU//glmU//ppdA//thiP//yafO//zraP//
Rob	dsbA//
RutR	flgI//
SdiA	glnV//
SgrR	pgpC//mgrR//kdpF//phnM//livF//gyrB//
SoxS	argI//glpR//ubiX//hcaB//ruvB//ydjM//
SutR	wzyE//aaeR//
TorR	dinD//
TrpR	purL//tktB//fecI//tfaQ//yafO//yneM//yeiP//exbB//
TyrR	fliL//phnF//ubiX//
UidR	yegZ//
UvrY	cynS//patD//
XapR	rimM//artP//
YdeO	garD//potH//
YjjQ	gltK//kdpF//htpG//flgF//chiA//gltJ//arsB//
YpdB	dkgB//
YqhC	ychH//ada//
ZntR	mqsA//
ZraR	rcsD//
Zur	pdxA//ompA//ydcS//glyT//phnN//
