#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	leuP//
Ada	gltJ//speB//rclA//
AgaR	grpE//yafO//mukE//yegH//leuW//rcsD//ribA//
AlaS	mqsA//
AllR	tfaQ//wzzE//leuA//ddpC//trpD//cpdB//mlrA//motB//patD//
AllS	gcvB//lolA//fhuE//
AlsR	msrA//yhbS//ddpX//uvrB//iscS//trpB//
ArcA	comR//pgi//
ArgP	gyrB//alaS//dicC//
ArgR	umuD//bioF//alsE//cecR//livG//yagK//sbcC//ruvB//tpr//iraP//pitB//fliP//cysC//cynX//
ArsR	yjjZ//uvrB//yaeP//
AscG	yjjP//
AsnC	adiY//
BasR	yebG//
BirA	fabG//rpoD//kbaY//yjhB//creA//
BluR	fbaB//flgE//metC//gspA//
BolA	hofO//metU//
CRP	cheZ//comR//iscA//thrS//copA//secB//omrB//allA//dinB//creB//allE//rpmA//yhfA//hfq//fecR//intQ//leuA//serT//tonB//gltL//hchA//fecR//fliT//bdm//ykgR//apaH//copA//dnaG//dinD//glnB//narQ//prs//mpaA//fhuC//rffM//ddpC//alkA//rstA//alaW//phnH//ppsA//rstA//sbmA//rimM//fbaB//uspE//kdpF//ydbD//envC//bioB//iscR//leuP//kdpC//phnN//ykgM//rof//glnB//leuQ//yeaD//glgS//patD//fruA//cheZ//wzxE//hcaR//secB//gudP//uspD//
CdaR	aspV//ddpA//glgX//rpsR//yhdZ//
CecR	dhaM//wrbA//intQ//ycjY//copA//
CpxR	yccA//ychH//nadB//yhfA//ubiX//pheU//fhuA//iscU//glmS//bioB//ampC//ompN//aaeR//yojI//rpsR//gpmA//amiA//yqhD//phnE_2//dsrA//thrW//mltF//rpoD//grxA//dgkA//yhbE//trmA//leuA//recD//purK//kbl//allB//
Cra	grpE//ydiV//kbl//wecB//lrhA//yciW//sroC//ymgC//leuC//argE//accA//pgi//ppdB//phnM//htpG//
CreB	purK//
CsgD	ykgM//allS//leuC//potF//glgS//leuB//yagK//lacI//cysE//
CueR	ubiG//rpmA//
CynR	yeiP//erpA//xdhA//ycjX//
CysB	ihfB//cbpM//symE//rmf//potG//yqhG//wcaB//yfbR//entS//ddpF//
Dan	rffG//entS//phoR//purC//
DhaR	lysO//pitA//tdh//trxA//
DicA	metA//yafO//dgkA//fliD//pdxA//rybB//prs//fliL//
DnaA	rfe//omrA//
EvgA	polA//lysC//cheB//ycjY//dinG//creB//ampE//
FNR	rfe//glpE//ynbC//flhA//ychF//ydfH//aaeR//agaB//glgB//uspD//arsC//btuB//znuC//aaeA//ybaS//yaeP//fliS//nohA//yhhY//purK//sfsA//wzb//hofC//yfiR//yeaG//ada//osmB//
FadR	zntA//phnE_1//bioC//flgA//hflX//dinQ//xapB//rpoD//
FeaR	cpxP//
