#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	fldB//
Ada	mgrB//yhbS//glmS//
AgaR	psiF//bioA//leuB//rfe//rplU//tsgA//yegH//
AlaS	yhdX//
AllR	pdxA//phnO//yhjC//ybjG//glgB//yciX//artP//yebE//glpR//
AllS	yccT//cysD//ychF//
AlsR	trpD//ycgR//ybhL//ftsK//iscA//ttdB//
ArcA	intQ//ribA//
ArgP	mukB//trxA//yhjX//
ArgR	ycgR//iscA//mngB//priB//hchA//mprA//yncE//umuC//wza//mukF//mqsA//glmS//nadC//yagK//
ArsR	dhaK//phoE//wzc//
AscG	bioA//
AsnC	dinG//
BasR	ibaG//
BirA	leuE//pgi//wza//efeU_1//comR//
BluR	fadR//cbpM//yhdW//gor//
BolA	glmS//nimT//
CRP	comR//tap//ydfH//wzxE//cbpA//wzc//rmf//flgE//oxyS//zraP//thrS//lysO//dgcC//xapA//yncE//ivbL//ruvA//slt//ydcV//serX//rplI//argW//znuC//yibQ//artQ//dkgA//ompX//rybB//artJ//dacC//fliT//rstA//ydcU//dapB//cynT//pepA//thrW//priB//intQ//ycjF//glpE//yhhY//tsr//ilvB//ppdB//aaeX//yegZ//envC//allC//flgE//nohA//phr//pgm//dapD//bcsZ//efeU_1//pgi//gudP//cpxA//speC//thrW//ppdB//pgm//alaA//yqjA//bdm//dkgB//htrE//
CdaR	ybhR//aaeR//ribA//dhaM//phnF//
CecR	cbpM//mzrA//bioC//agaI//rffM//
CpxR	ycgZ//fabI//ydfD//ydcS//livH//msrA//alsC//allS//phoA//cheR//ftnB//phoE//dsbC//flgA//pitB//fhuB//ppdD//gor//intQ//yqjA//ppdD//dhaM//livM//rffT//aaeB//uidR//ycjG//zraP//ybbY//ybhF//lysV//cheR//
Cra	hcaC//trpD//accA//creA//flgI//yegZ//ydeA//ddpC//flgI//ydbK//speC//lon//flgE//trpD//dksA//
CreB	ppc//
CsgD	iscA//yagK//hfq//rarA//preT//artP//yaeQ//rpiB//fbaB//
CueR	wecC//grpE//
CynR	apaH//glmU//decR//ybbW//
CysB	gcvB//bcsB//arcZ//rffC//wzyE//rplS//tpiA//rffG//queA//bioC//
Dan	pnuC//hfq//cdaR//ddpB//
DhaR	yegH//ycgZ//kbaY//pdeF//
DicA	asnA//iraD//dhaK//ecpR//ariR//yegR//phnE_2//yaeP//
DnaA	ttdR//ycgZ//
EvgA	mepH//uspB//mscM//agaB//psd//dhaL//argT//
FNR	gltK//yecT//omrB//rpmA//mgrB//sxy//hcaR//dapB//alsE//ecpR//thrW//yeaG//fliR//metU//livF//recB//wzzE//dnaG//trpC//ampD//wzb//trmD//ibpB//gyrB//hofB//allA//rpsP//
FadR	ppdD//glxR//znuB//flhB//iraP//yqhD//adeD//glnU//
FeaR	phnO//
Fis	ydfW//mqsR//sbmA//ddpA//xdhC//cpxA//leuB//yhdZ//sbcC//tsr//sbcD//tbpA//motA//phnI//lysR//mgtA//talA//murR//exbD//dtpA//patD//ykiA//argB//wcaA//btuB//amiA//phnK//phnE_1//flhA//folE//hflK//ldtC//ampD//lolA//ihfB//alsA//trpC//spf//ydfX//secB//gor//tynA//trmD//ygaC//ybhF//uraA//ydiU//yhfA//yjeV//yccT//lysV//treR//hemF//artJ//allE//gltJ//
FlhDC	wzb//adeD//nlpE//cheR//rsmA//dksA//artJ//phoR//decR//cho//mgtL//hofB//agaR//yagK//bioF//paaY//ddpD//rcsB//ydfX//rplS//fecI//uraA//gfcA//dicB//hflX//lysC//lysO//hflK//cysC//valY//rpmI//tadA//tar//ycgR//znuA//rclB//ymgC//ompT//
FliZ	ubiG//
Fur	livG//flgA//potF//iraP//hofB//argB//gudP//ecpA//arcA//recC//hyi//rsmA//iscR//rpmI//glpG//ldtD//osmB//wzb//seqA//arcA//serT//speB//accD//yfiB//
GadX	tap//fabI//ppsA//fepD//ycjG//tsr//yegR//
GcvA	phoA//wcaA//
H-NS	glxK//wzxE//yccA//ada//ynjI//dinD//wrbA//patD//fruK//yqaE//sbcD//nadA//ydiU//ydiV//
HU	pitA//thrT//
HcaR	talA//btuB//xapA//rcnR//xapA//ilvB//
IHF	fadR//ldtC//yfdE//fliR//yeiP//entS//exbB//
IlvY	dtpA//allC//
IscR	rplI//alkB//mltF//yqaE//cueO//fruA//gspB//rpsR//
KdpE	iscU//pheT//glk//copA//
LeuO	fliQ//yhbS//ampD//phnI//mzrA//yccA//
LexA	ydbK//paaY//phoP//ribA//ribA//gyrB//gudX//dhaK//dinD//glpG//phnD//rffT//fruK//phnE_2//cheR//tktB//hokE//rpsP//aspV//ydfE//fruA//entS//emrA//yecT//ybhG//azuC//ddpB//wzyE//glyU//flgA//dgkA//alsB//hemH//rsmA//argR//aroH//ybaS//
LrhA	rplI//
Lrp	metF//cysN//prs//sdaA//pepD//alaX//dhaM//tbpA//uspB//argW//iraP//folE//rpiR//ddpA//
LysR	rpsU//
MalT	fliR//
MarA	ydfW//pheU//
MatA	phoR//mzrA//
McbR	rplI//
MetJ	cpdB//phoH//ldtD//yebG//ygeH//
MlrA	ymjD//tap//ppdC//dinD//azuC//
MngR	ydeJ//ybaT//hflC//
MntR	sroA//tpr//
MprA	wrbA//mpaA//znuC//
MqsA	agaI//cpdB//
MurR	agaC//
Nac	mgrR//ykgM//yadV//sbmA//gltK//
NadR	wzc//ymjD//leuQ//
NagC	iraP//rclA//ydcU//flgA//yjeV//
NanR	argC//phnN//
NimR	agp//ygeH//
