#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ydfX//
Ada	ibpB//fliT//gspA//
AgaR	amn//uvrC//argA//flgL//metC//ydeJ//fhuD//
AlaS	potH//
AllR	decR//creA//fabH//kdpA//lysO//leuQ//uspD//kbaY//cecR//
AllS	alkA//pfkA//motB//
AlsR	mgrR//ydfN//ruvA//alaS//mscM//ybhG//
ArcA	dgcC//ydiV//
ArgP	allB//cysC//ttdT//
ArgR	infC//cheY//ybhG//ydiU//iscR//gfcA//yeiP//valY//ydfX//dsbA//lrhA//emrB//ppc//ldtC//
ArsR	hchA//agp//cmoM//
AscG	glk//
AsnC	argU//
BasR	fabH//
BirA	gspA//rffG//acrR//msrA//uspD//
BluR	dinD//valX//dgkA//purK//
BolA	potG//ydcS//
CRP	yneM//tar//phoP//purC//cheB//ydeJ//serT//glk//ibpB//emrA//leuW//flu//purK//rstB//flhB//phoE//fruB//ydfH//ynbC//csrB//dsbA//gltK//sdaA//grxA//mngB//grxA//leuL//ydcV//tyrU//alkB//psiF//sbcC//avtA//murR//fliN//talA//ybhL//purC//queA//ychF//lysT//hcaD//pdxA//preA//patZ//motB//upp//rof//hcaF//ddpC//symE//ycgR//mlrA//iscR//bdcA//nlpE//fabG//flgE//gltK//hofC//paaX//dkgA//asnA//phnC//dsrA//phoR//argI//recB//
CdaR	cvpA//osmB//azuC//dhaK//gspA//
CecR	ribA//nohA//ynbC//potG//cra//
CpxR	ycjY//tyrV//argT//metT//dkgB//thiQ//yeiB//yafO//cynR//tsr//emrB//yjhC//tcyP//ruvA//thiP//bioD//phoP//glxR//rpsF//sdaA//xapA//phnD//alkA//mscM//arsR//sxy//phnJ//asnB//fliT//fecR//glgB//ddpD//
Cra	kbaY//dkgA//rffH//ydeI//iscS//mepH//cueO//glnB//livG//valT//borD//yibQ//exbB//ecpA//htrE//
CreB	thrS//
CsgD	recN//hofP//argI//ppc//argF//uvrC//trpB//adiY//agaI//
CueR	aaeX//dksA//
CynR	phnG//livG//wzzE//hflX//
CysB	secB//polB//ygdB//ygaC//yhdX//glgX//livF//tufB//gcl//emrB//
Dan	leuB//bioA//livK//adeD//
DhaR	cyaA//ykiA//yjjP//valY//
DicA	tbpA//ppdC//ydjM//gpmA//narQ//eno//ilvC//mipA//
DnaA	glxK//artJ//
EvgA	mngA//rffC//rsmA//ybaS//tsr//bluF//yhbS//
FNR	accA//ybaS//arsB//flgL//sgrR//ydiU//creB//livJ//garD//xseA//livF//hcaR//phnH//phnG//ihfB//yeaD//ynbD//fepC//yhhY//yhdX//yojI//omrB//rfe//cheA//paaX//ddpC//lysW//
FadR	tadA//bioC//sbmA//yafP//dnaG//alsC//hofB//bluF//
FeaR	ttdA//
Fis	leuL//seqA//ribA//arcA//bioF//intQ//sroA//ymgC//dksA//alaX//yfbR//lacI//rpsU//fhuC//insK//uvrD//ppc//ampE//rpsR//ydcU//hofM//mukE//ribA//wrbA//hyi//rffG//yeiB//dinB//ydfW//hokE//phnF//tcyP//omrB//adeD//leuX//speA//bioA//dhaR//ariR//hflK//trpE//dhaR//cheW//slt//luxS//aroH//motB//hokE//mcaS//rarA//allD//fabH//fliN//purB//phoB//flu//
FlhDC	iscU//cheR//rdoA//yhdW//sbcD//avtA//xapA//cstA//mgtL//bioA//asnB//ydiV//pepA//dgkA//ilvY//ttdR//glk//thiQ//dinG//phnE_2//rffC//lolA//uvrY//flgG//kbp//leuE//ruvB//lacI//trxA//uspD//wzyE//tar//glxK//hemH//artM//iscU//agaS//rpmI//
FliZ	ykgO//
Fur	msrA//tar//dhaR//ycjX//hofN//pheS//rutR//tsgA//talA//yeaD//fliN//ydjM//infC//frc//alsE//proK//rffC//bacA//yfiR//pykF//livJ//aroH//nimT//pepT//
GadX	psd//znuB//ymgC//gcl//tyrV//ycjY//yaiW//
GcvA	omrB//arcZ//
H-NS	aspV//fliQ//hyi//cpxA//nlpA//ihfB//phnF//ycgZ//lrhA//argF//lysT//wecB//azuC//potG//
HU	uvrB//ampE//
HcaR	sgrR//fliP//ynjI//nohA//cysN//ddpX//
IHF	pitA//rcsD//hofB//gudP//thrS//wecE//tyrV//
IlvY	priB//lysT//
IscR	rarA//fldA//ykgR//grxA//argT//aspV//rybB//proL//
KdpE	narQ//bcsB//ihfB//mukE//
