"Names"	"RegulonSize"	"SpearmanCorrelationMean"	"SpearmanCorrelationMedian"
"aaeR"	1	1	1
"aaeXAB"	3	0.325468371738082	0.327311560085937
"aas-lplT"	2	0.251020812278078	0.251020812278078
"aat"	1	1	1
"abgABT-ogt"	4	0.225254836791468	0.259538891767433
"abgR"	1	1	1
"abpAB"	2	0.424888468072256	0.424888468072256
"abrB"	1	1	1
"accA"	1	1	1
"accBC"	2	0.677240613422836	0.677240613422836
"accD"	1	1	1
"aceBAK"	3	0.595781316767096	0.573056198692415
"aceEF"	2	0.772135731342068	0.772135731342068
"aceK"	1	1	1
"ackA"	1	1	1
"ackA-pta"	2	0.494616137475767	0.494616137475767
"acnA"	1	1	1
"acnB"	1	1	1
"acpH"	1	1	1
"acpP"	1	1	1
"acpP-fabF"	2	0.208231597646423	0.208231597646423
"acpT"	1	1	1
"acrAB"	2	0.374756834312524	0.374756834312524
"acrB"	1	1	1
"acrD"	1	1	1
"acrEF"	2	0.273968072295208	0.273968072295208
"acrR"	1	1	1
"acrZ"	1	1	1
"acs-yjcH-actP"	3	0.608960074508939	0.631125959785401
"actP"	1	1	1
"ada-alkB"	2	0.340613804535941	0.340613804535941
"add"	1	1	1
"adeD"	1	1	1
"adeP"	1	1	1
"adeQ"	1	1	1
"adhE"	1	1	1
"adhP"	1	1	1
"adiA"	1	1	1
"adiC"	1	1	1
"adiY"	1	1	1
"adk"	1	1	1
"aegA"	1	1	1
"aer"	1	1	1
"aes"	1	1	1
"agaR"	1	1	1
"agaS-kbaY-agaBCDI"	6	0.274125229688746	0.283580438016841
"agp"	1	1	1
"ahpCF"	2	0.328841652124479	0.328841652124479
"ahpF"	1	1	1
"ahr"	1	1	1
"aidB"	1	1	1
"ais"	1	1	1
"alaA"	1	1	1
"alaA-yfbR"	2	0.305338351797877	0.305338351797877
"alaC"	1	1	1
"alaE"	1	1	1
"alaS"	1	1	1
"aldA"	1	1	1
"aldB"	1	1	1
"alkA"	1	1	1
"alkB"	1	1	1
"allA"	1	1	1
"allDCE"	3	0.257597564043294	0.298816636782892
"allR"	1	1	1
"allS"	1	1	1
"alpA"	1	1	1
"alr"	1	1	1
"alsBACE"	4	0.362443530994065	0.35763056738161
"alsK"	1	1	1
"alx"	1	1	1
"amiA-hemF"	2	0.263937274771651	0.263937274771651
"amiC"	1	1	1
"amn"	1	1	1
"ampC"	1	1	1
"ampDE"	2	0.403991106322712	0.403991106322712
"ampG"	1	1	1
"ampH"	1	1	1
"amyA"	1	1	1
"anmK"	1	1	1
"ansA-pncA"	2	0.520812788833803	0.520812788833803
"ansB"	1	1	1
"ansP"	1	1	1
"apaGH"	2	0.364272339433138	0.364272339433138
"aphA"	1	1	1
"appA"	1	1	1
"appCBXA"	4	0.709177729216193	0.700438452477838
"appY"	1	1	1
"apt"	1	1	1
"aqpZ"	1	1	1
"araBAD"	3	0.430205801866611	0.417741705984946
"araC"	1	1	1
"araE"	1	1	1
"araE-ygeA"	2	0.198697127227239	0.198697127227239
"araFGH"	3	0.481349734671141	0.484049717222746
"araJ"	1	1	1
"arcA"	1	1	1
"arcB"	1	1	1
"arfA"	1	1	1
"argA"	1	1	1
"argCBH"	3	0.583363637322196	0.621598265272546
"argD"	1	1	1
"argE"	1	1	1
"argF"	1	1	1
"argG"	1	1	1
"argI"	1	1	1
"argO"	1	1	1
"argP"	1	1	1
"argR"	1	1	1
"argS"	1	1	1
"argT-hisJQMP"	5	0.435649229646772	0.428733256487554
"ariR"	1	1	1
"arnBCADTEF"	7	0.36653237239225	0.384988774377548
"aroF-tyrA"	2	0.609909835068158	0.609909835068158
"aroG"	1	1	1
"aroH"	1	1	1
"aroKB-damX-dam-rpe-gph-trpS"	7	0.284724120207093	0.259897120604286
"aroL-yaiA-aroM"	3	0.267274282113525	0.236747801413402
"aroP"	1	1	1
"arpA"	1	1	1
"arsRBC"	3	0.225303563794983	0.176339198047336
"artJ"	1	1	1
"artPIQM"	4	0.459090593060583	0.483823535594801
"ascB"	1	1	1
"ascFB"	2	0.132784507942385	0.132784507942385
"ascG"	1	1	1
"asd"	1	1	1
"aslA"	1	1	1
"aslB"	1	1	1
"asmA"	1	1	1
"asnA"	1	1	1
"asnB"	1	1	1
"asnC"	1	1	1
"asnC-mioC"	2	0.182583301356157	0.182583301356157
"asnC-mioC-mnmG"	3	0.259487400361659	0.185140778415706
"asnS"	1	1	1
"aspA"	1	1	1
"aspA-dcuA"	2	0.335230313516407	0.335230313516407
"aspC"	1	1	1
"aspS"	1	1	1
"asr"	1	1	1
"astCADBE"	5	0.559055113260551	0.540098820094315
"atl"	1	1	1
"atoDAEB"	4	0.268424497807519	0.27023262248327
"atoSC"	2	0.411723348647589	0.411723348647589
"atpBEFHAGDC"	8	0.568385533277233	0.576148153855246
"atpIBEFHAGDC"	9	0.513950769448894	0.541792411668301
"avtA"	1	1	1
"azoR"	1	1	1
"azuC"	1	1	1
"bacA"	1	1	1
