# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yeiR//
aas_lplT	pck//
abgABT_ogt	mtlD//astC//nudI//
abpAB	
accBC	nadR//prs//
aceBAK	gudD//fucA//puuC//
aceEF	bcsA//gltB//ilvB//
ackA_pta	selB//nrdD//
acpP_fabF	aspA//
acrAB	aslA//glmM//
acrEF	glpA//
acs_yjcH_actP	fadH//ldtE//
ada_alkB	hisB//dld//
agaS_kbaY_agaBCDI	pdxH//
ahpCF	pgpC//
alaA_yfbR	zwf//pgk//
alaWX	
allDCE	opgB//yjiA//sucA//
alsBACE	pdeF//carB//
amiA_hemF	umpG//yfiH//
ampDE	fabH//
ansA_pncA	ltaE//ydfG//dut//
apaGH	mcrA//
appCBXA	pyrI//guaC//
araBAD	pdeL//glmS//aldA//
araE_ygeA	tam//
araFGH	garK//
argCBH	udk//csdA//mrcB//
argT_hisJQMP	waaO//gutQ//
argX_hisR_leuT_proM	
arnBCADTEF	cdh//mcrA//yjjG//ispG//ubiC//
aroF_tyrA	ghrA//gltB//
aroKB_damX_dam_rpe_gph_trpS	hcaC//purE//ftnA//eptC//mobA//leuB//
aroL_yaiA_aroM	eptB//
arpB_1B_2	
arsRBC	ubiH//pdxB//
artPIQM	recF//
ascFB	glpX//trmI//
asnC_mioC	
asnC_mioC_mnmG	wzc//
aspA_dcuA	fes//rsgA//
astCADBE	agp//moeB//speB//purF//glpE//
atoDAEB	ilvB//yigB//phoA//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	insI-3//purN//phnN//rsmH//rluB//pgpB//
bamB_der	tmcA//
basRS	
bcsABZC	alaS//selB//
bcsBZ	argG//fucK//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	avtA//yggF//
bfd_bfr	putA//
bglGFB	coaE//ispE//
bglH_yieLK	
bioBFCD	waaY//ulaF//ackA//ispH//
brnQ_proY	dmlA//rihA//
btuB_murI	cobU//purE//
btuCED	phnL//surA//
cadBA	idi//nudF//
caiCDE	glyA//caiA//
caiTABCDE	ispU//galU//nanM//yihS//cyaA//
carAB	nanE//
casABCDE12	narY//
casDE12	emtA//
cbpAM	
cbrBC	
ccmABCDEFGH	ydiB//
cecR_ybhGFSR	
chaBC	
chbBCARFG	gpp//mraY//mnmC//
chiP_ybfN	entH//
chpSB	yciV//
citCDEFXG	wecB//purC//glgP//
clpPX	glpA//tcdA//argA//yjhG//
clpX_lon	dcyD//ribC//poxB//
clsA_yciU	ymdB//
cmk_rpsA	pfkB//
cmoM_mukFEB	
cmtBA_yggPFDC	trmA//ubiH//
coaE_zapD_yacG	ddlA//
cobUST	arnT//pyrH//folB//
codBA	def//nrfB//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	mtgA//
csgBAC	
csgDEFG	ilvI//
csiD_lhgO_gabDTP	fes//ulaG//ampC//queD//
cusCFBA	icd//
cusRS	
cvpA_purF_ubiX	hchA//asd//
cydAB	codA//
cydDC	csdA//
cydX_ybgE	nagB//
cynTS	leuA//argD//
cynTSX	accB//lpxP//folM//
cyoABCDE	murC//rpe//
cysDNC	hypB//suhB//
cysJIH	deoB//wbbI//yciA//
cysPUWAM	tyrA//trxB//mrcA//
dadAX	dmlA//fumC//
damX_dam_rpe_gph_trpS	bcsA//hcaD//paaC//pyrG//
dam_rpe_gph_trpS	frmA//ispG//fucU//selB//
dapA_bamC	tynA//
dapE_ypfN	treC//
dcm_vsr	argC//
dcuB_fumB	leuD//malS//
dcuSR	
dcyD_tcyLN	rluF//nadC//
ddpXABCDF	manA//
def_fmt	ada//ubiD//
degQS	ruvA//insI-3//
deoABD	umpH//hycB//folB//
deoBD	uxuA//birA//
deoCABD	yfcG//yneH//thiG//tdcE//
dgoRKADT	uvrB//glmM//glk//galK//
dhaKLM	glpX//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	gabT//folK//
dinJ_yafQ	dapE//
dksA_gluQ	waaY//
dmsABC	dnaE//
dnaAN_recF	citD//
dnaK_tpke11_dnaJ	cheR//
dnaN_recF	bacA//
dnaTC	
dnaTC_yjjA	
dosCP	fadE//argE//
dpiBA	
dppABCDF	wecB//
dsbC_recJ_prfB	aceA//abgA//
dsbD_yjdC	
dsdXA	yeiR//mhpA//
dusB_fis	tsaE//
dut_slmA	tmk//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	frlB//metG//
efeOB	pncA//
efeU_1U_2	
elbB_mtgA	idi//
elfDCG_ycbUVF	
emrKY	mtlD//
entCEBAH	fsaA//def//argF//slyD//yniC//murA//
envY_ompT	malS//
epd_pgk	fadE//allB//
epd_pgk_fbaA	malP//ogt//glxK//
essD_rrrD_rzpD	pagP//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	astB//
eutHA	
eutNEJG	
eutSPQTDM	cysJ//
evgAS	
exbBD	
fabDG_acpP	mpl//waaB//
fabG_acpP	ubiD//
fabHDG	purK//mltA//dhaK//
fabR_yijD	
fadBA	hyaA//aspS//
fadD_sroD	pheS//
fadIJ	fdhF//ushA//
fdnGHI	
fdoGHI_fdhE	speF//
fdrA_ylbEF_ybcF	atoA//
fecABCDE	thiE//bcsB//
fecIR	
feoABC	rsmI//
fepA_entD	ppx//polB//ppiA//
fepDGC	iscS//
fes_ybdZ_entF_fepE	azoR//acs//nudL//
fetAB	
fhuACDB	pyrE//pgaB//
ficA_fic_pabA	arsC//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	etp//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	mak//nudB//
folC_dedD	pspE//
folD_ybcJ	yihX//
folE_yeiB	yfdE//
folP_glmM	can//ymdB//
folX_yfcH	mocA//
frdABCD	mltC//
frlABCDR	treC//coaD//fkpB//epd//
frmRAB	coaE//talB//
fruBKA	lpxD//cysN//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	uvrC//paoA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rihB//fabI//ribE//ppk//glpA//pgaD//garR//nadE//lpxC//eno//
ftsQAZ	
ftsYEX	
fucAO	alsK//sdaB//
fucPIKUR	melA//proC//menH//slt//
fumAC	cysM//kdgK//
fusA_tufA	
gabDTP	gph//mutL//folE//
gadAX	fabI//
gadBC	dmsC//uxaB//
gadEF	
gadEF_mdtEF	rutB//
gadXW	
galET	thiG//anmK//
galETK	ulaE//murG//gloA//
galETKM	yahK//hisF//garD//ldtE//
gapA_yeaD	nudI//
gapC_1C_2	
garPLRK_rnpB	sbcB//aroH//nudI//hemE//mtn//recO//
gatYZABCD	ppsA//sucA//cysQ//
gatZABCD	ahpC//rluC//cysI//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	fsaB//miaB//ubiF//maeB//uvrA//
