# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rbsD//
aas_lplT	murC//
abgABT_ogt	astA//rnpA//hisD//
abpAB	
accBC	nudF//argE//
aceBAK	mnmE//mhpD//mug//
aceEF	frdD//aroG//araB//
ackA_pta	accC//queD//
acpP_fabF	mog//
acrAB	ftnA//waaZ//
acrEF	ackA//
acs_yjcH_actP	ahpF//dusA//
ada_alkB	dapF//tam//
agaS_kbaY_agaBCDI	nfi//
ahpCF	sdhA//
alaA_yfbR	pcm//nrdA//
alaWX	
allDCE	fadA//yjhG//cdsA//
alsBACE	hyaC//surA//
amiA_hemF	lpxC//malZ//
ampDE	narZ//
ansA_pncA	rfaD//mog//cpdB//
apaGH	glyA//
appCBXA	hcaC//sdhC//
araBAD	fadK//hflX//recR//
araE_ygeA	ppiC//
araFGH	phnL//
argCBH	purK//coaA//cof//
argT_hisJQMP	yhdJ//mak//
argX_hisR_leuT_proM	
arnBCADTEF	phnJ//putA//ada//nudL//rlmB//
aroF_tyrA	ppk//hemE//
aroKB_damX_dam_rpe_gph_trpS	ybiV//lpxL//guaC//lpd//kdsB//valS//
aroL_yaiA_aroM	ampC//
arpB_1B_2	
arsRBC	bcsZ//asnS//
artPIQM	fruK//
ascFB	gloB//fadB//
asnC_mioC	
asnC_mioC_mnmG	moeB//
aspA_dcuA	adeD//insI-1//
astCADBE	cysD//yfcG//dut//mmuM//kdsB//
atoDAEB	yggF//csdA//hisH//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	pabA//dsdA//mltF//trpB//lsrG//aroC//
bamB_der	napA//
basRS	
bcsABZC	moaD//abgA//
bcsBZ	glyA//hemE//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	asnA//purC//
bfd_bfr	yigL//
bglGFB	pgi//ribC//
bglH_yieLK	
bioBFCD	btuR//glgX//malS//thiE//
brnQ_proY	ndk//maeA//
btuB_murI	asnA//mgsA//
btuCED	astA//purL//
cadBA	prs//yjhG//
caiCDE	mug//ybjG//
caiTABCDE	dacC//argF//dosC//ubiF//pdxH//
carAB	azoR//
casABCDE12	garK//
casDE12	gss//
cbpAM	
cbrBC	
ccmABCDEFGH	lhgO//
cecR_ybhGFSR	
chaBC	
chbBCARFG	glpC//ruvB//ycjU//
chiP_ybfN	dsdA//
chpSB	yceF//
citCDEFXG	nemA//ubiG//mrcA//
clpPX	dadX//thiM//nanE//atoA//
clpX_lon	tsaD//hemA//pncB//
clsA_yciU	yihV//
cmk_rpsA	malQ//
cmoM_mukFEB	
cmtBA_yggPFDC	lpxM//ssuE//
coaE_zapD_yacG	dcyD//
cobUST	rlmG//frlB//adhP//
codBA	glpA//pdxK//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	fabA//
csgBAC	
csgDEFG	speB//
csiD_lhgO_gabDTP	yfeW//nrfB//ldtE//aslA//
cusCFBA	hisB//
cusRS	
cvpA_purF_ubiX	purE//aroD//
cydAB	glgP//
cydDC	suhB//
cydX_ybgE	puuC//
cynTS	kdsD//fabD//
cynTSX	bglA//ynjE//nrdD//
cyoABCDE	rsmE//ldcC//
cysDNC	aroA//gloB//
