# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	cpsG//
aas_lplT	yfeW//
abgABT_ogt	glxK//rrrD//cadA//
abpAB	
accBC	pphB//pdxY//
aceBAK	glyS//glpD//insI-3//
aceEF	nagZ//ynjE//deoB//
ackA_pta	ybdL//fucU//
acpP_fabF	mutH//
acrAB	deoA//yeaE//
acrEF	ydbC//
acs_yjcH_actP	thrB//pphB//
ada_alkB	rluB//mhpB//
agaS_kbaY_agaBCDI	recG//
ahpCF	rsmE//
alaA_yfbR	gabT//thiC//
alaWX	
allDCE	coaE//cysC//yieH//
alsBACE	araB//truC//
amiA_hemF	hcaF//hycF//
ampDE	mutM//
ansA_pncA	nfi//hypF//ispA//
apaGH	glcF//
appCBXA	wecC//yliI//
araBAD	paoB//aroB//yqhD//
araE_ygeA	rlmC//
araFGH	rhaB//
argCBH	dhaM//phoA//wecC//
argT_hisJQMP	dgoA//cysC//
argX_hisR_leuT_proM	
arnBCADTEF	icd//iaaA//aldA//pncB//purN//
aroF_tyrA	yjhG//deoD//
aroKB_damX_dam_rpe_gph_trpS	pyrC//yjjX//umuC//aslA//fadH//paaF//
aroL_yaiA_aroM	glgA//
arpB_1B_2	
arsRBC	idnO//mutT//
artPIQM	fadD//
ascFB	rsmJ//aceE//
asnC_mioC	
asnC_mioC_mnmG	lacZ//
aspA_dcuA	mutY//nfsB//
astCADBE	xthA//add//nrfA//fabA//ulaG//
atoDAEB	rhaA//csdA//paaE//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	ampC//abgB//hcaB//yghU//dcyD//pdxJ//
bamB_der	phnL//
basRS	
bcsABZC	metL//allC//
bcsBZ	panE//ygjK//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	frc//glcD//
bfd_bfr	pgsA//
bglGFB	yahK//queG//
bglH_yieLK	
bioBFCD	aslA//sdaB//menB//rbsK//
brnQ_proY	mutS//kdsA//
btuB_murI	fabG//thrA//
btuCED	yfdE//arsC//
cadBA	cadA//lacA//
caiCDE	nemA//valS//
caiTABCDE	relA//ygaP//tsaC//ynjE//chbG//
carAB	tatD//
casABCDE12	hypB//
casDE12	frlC//
cbpAM	
cbrBC	
ccmABCDEFGH	wecC//
cecR_ybhGFSR	
chaBC	
chbBCARFG	opgB//hemH//pheT//
chiP_ybfN	rne//
chpSB	serS//
citCDEFXG	etp//ulaG//thrB//
clpPX	phnG//entF//umuD//treC//
clpX_lon	rlmF//kdsD//lpxB//
clsA_yciU	mutY//
cmk_rpsA	cynS//
cmoM_mukFEB	
cmtBA_yggPFDC	nadD//guaC//
coaE_zapD_yacG	dapD//
cobUST	tehB//mltF//bglB//
codBA	speE//glxR//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	birA//
csgBAC	
csgDEFG	gltX//
csiD_lhgO_gabDTP	metL//rfaE//thiG//argA//
cusCFBA	scpC//
cusRS	
cvpA_purF_ubiX	lpd//etp//
cydAB	mobA//
cydDC	waaF//
cydX_ybgE	rbsD//
cynTS	emtA//cheR//
cynTSX	sodC//yggF//ilvD//
cyoABCDE	queG//yajO//
cysDNC	araB//dld//
cysJIH	napB//deoB//arnC//
cysPUWAM	cysC//phr//yeiG//
dadAX	gcvH//ahpF//
damX_dam_rpe_gph_trpS	rsmE//garK//tatD//prmB//
dam_rpe_gph_trpS	aspS//cobS//dcyD//rnd//
dapA_bamC	deoB//
dapE_ypfN	tig//
dcm_vsr	sdaB//
dcuB_fumB	mcrA//gluQ//
dcuSR	
dcyD_tcyLN	gapA//yihU//
ddpXABCDF	tmcA//
def_fmt	cysN//ppsA//
degQS	gstB//appA//
deoABD	yagF//rlmG//nadK//
deoBD	ynfE//pnp//
deoCABD	purN//ilvA//rluE//cysE//
dgoRKADT	aceF//napB//serA//alkB//
dhaKLM	deoD//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	purE//glpQ//
dinJ_yafQ	hyuA//
dksA_gluQ	lipA//
dmsABC	aspC//
dnaAN_recF	nrfD//
dnaK_tpke11_dnaJ	epd//
dnaN_recF	argD//
dnaTC	
dnaTC_yjjA	
dosCP	hisI//aroF//
dpiBA	
dppABCDF	ybiV//
dsbC_recJ_prfB	mnmE//cobB//
dsbD_yjdC	
dsdXA	dacD//entB//
dusB_fis	gabD//
dut_slmA	glpA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	pgl//orn//
efeOB	pheS//
efeU_1U_2	
elbB_mtgA	dgoA//
elfDCG_ycbUVF	
emrKY	yihX//
entCEBAH	gabD//ada//gdhA//alr//purC//cysI//
