# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rsmI//
aas_lplT	astD//
abgABT_ogt	fabB//rsmG//nrdF//
abpAB	
accBC	purC//glcD//
aceBAK	lpd//yfbT//ynfF//
aceEF	accA//ndh//torY//
ackA_pta	ubiG//hycC//
acpP_fabF	argG//
acrAB	waaF//hisI//
acrEF	otsB//
acs_yjcH_actP	nirB//mazG//
ada_alkB	dut//fumC//
agaS_kbaY_agaBCDI	thiF//
ahpCF	mhpC//
alaA_yfbR	aceE//cobU//
alaWX	
allDCE	ispD//ychF//polA//
alsBACE	tdk//fadB//
amiA_hemF	tdcD//patA//
ampDE	yfiC//
ansA_pncA	rihC//gph//mnmA//
apaGH	waaU//
appCBXA	cynS//dcd//
araBAD	prpE//dcd//napC//
araE_ygeA	torA//
araFGH	uxaB//
argCBH	tilS//allD//cmoA//
argT_hisJQMP	lpxL//aes//
argX_hisR_leuT_proM	
arnBCADTEF	gcvH//codA//fbp//yfeX//pta//
aroF_tyrA	waaL//tsaE//
aroKB_damX_dam_rpe_gph_trpS	nfsB//narZ//yfeW//uvrC//hyi//phnH//
aroL_yaiA_aroM	slt//
arpB_1B_2	
arsRBC	moeB//malP//
artPIQM	trpB//
ascFB	srlD//hemB//
asnC_mioC	
asnC_mioC_mnmG	ynjE//
aspA_dcuA	sdhD//bioH//
astCADBE	etk//fucO//folK//hypF//nhoA//
atoDAEB	srlD//cfa//hycG//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	tyrA//trmI//yfbR//aroH//lpxB//mqo//
bamB_der	preT//
basRS	
bcsABZC	fcl//caiA//
bcsBZ	rluD//folB//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	sdhD//hyaB//
bfd_bfr	ilvB//
bglGFB	idnO//citE//
bglH_yieLK	
bioBFCD	purB//gmm//dmsC//lysU//
brnQ_proY	ispB//pdeL//
btuB_murI	dgcP//nadB//
btuCED	phnM//eutC//
