#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b1326//
C0299	b2027//
C0362	b3018//
C0465	b3410//
C0614	b3784//
C0664	b1146//
C0719	b0885//
IS128	b3881//
aaeR	b3470//
aaeXAB	b4539//b0224//b3730//
aas-lplT	b1287//b3311//
aat	b0978//
abgABT-ogt	b1213//b1302//b1155//b0318//
abgR	b2754//
abpAB	b1141//b2330//
abrB	b1141//
accA	b1128//
accBC	b4373//b2768//
accD	b0162//
aceBAK	b4033//b2899//b0679//
aceEF	b2355//b3204//
aceK	b2375//
ackA	insB-7_1//
ackA-pta	b0174//gpr//
acnA	b1637//
acnB	b3738//
acpH	b3008//
acpP	b3854//
acpP-fabF	b1617//b3578//
acpT	b3638//
acrAB	b3342//b4382//
acrB	b4413//
acrD	b1382//
acrEF	b0863//b0179//
acrR	b2359//
acrZ	b0069//
acs-yjcH-actP	b3262//b1104//b4052//
actP	b2586//
ada-alkB	b2196//b1895//
add	b1775//
adeD	b2140//
adeP	b0239//
adeQ	b3905//
adhE	b0405//
adhP	b2604//
adiA	b1332//
adiC	b0858//
adiY	b3084//
adk	b0640//
aegA	b1000//
aer	b0243//
aes	b4219//
agaR	b1983//
agaS-kbaY-agaBCDI	b2982//b3909//b2792//b0174//b1219//b1160//
agp	b3772//
agrA	b0484//
agrB	b4075//
ahpCF	b0499//b0155//
ahpF	b0035//
ahr	b3877//
aidB	b1819//
ais	b2618//
alaA	b1156//
alaA-yfbR	b2722//b2870//
alaC	b1347//
alaE	b2839//
alaS	b0431//
alaWX	b0574//b3116//
aldA	b2948//
aldB	b3703//
alkA	b2179//
alkB	b1373//
allA	b0326//
allDCE	b2455//b4514//b4167//
allR	b2765//
allS	b4287//
alpA	b3869//
alr	b0048//
alsBACE	b0184//b3865//b2193//b1774//
alsK	b2639//
alx	b2875//
amiA-hemF	b1527//b0453//
amiC	b4390//
amn	b3806//
ampC	b0716//
ampDE	b3860//b1675//
ampG	b3716//
ampH	b1831//
amyA	b3727//
anmK	b1730//
ansA-pncA	b0147//b3131//
ansB	b4339//
ansP	b2563//
apaGH	b2410//b1990//
aphA	b2891//
appA	b3698//
appCBXA	b4360//b3511//ykfJ//b1636//
appY	b1197//
apt	b3683//
aqpZ	b4189//
araBAD	b4221//b0441//b2074//
araC	b3196//
araE	b4073//
araE-ygeA	b3198//b1795//
araFGH	b4442//b3739//b3693//
araJ	b4387//
arcA	b1348//
arcB	b1092//
arcZ	qorB//
arfA	b0421//
argA	b4670//
argCBH	b0193//b0575//b2217//
argD	b0504//
argE	b4475//
argF	b4187//
argG	b1244//
argI	b1529//
argO	b0893//
argP	b3752//
argQ	b4354//
argR	b1455//
argS	b3416//
argT-hisJQMP	b3236//b3369//b3821//b3728//b2073//
argU	b2241//
argW	b0368//
argX-hisR-leuT-proM	b2357//b4450//b4195//b2742//
ariR	b3845//
arnBCADTEF	b1356//b0163//b3172//b3194//b3267//b3187//b4106//
aroF-tyrA	b3779//b2470//
aroG	b0697//
aroH	b1809//
aroKB-damX-dam-rpe-gph-trpS	b1222//b0556//b0647//b2694//b2802//b3655//b1479//
aroL-yaiA-aroM	b2716//b3453//b4173//
aroP	b1987//
arpA	b4662//
arpB_1B_2	yghX_2//b0219//
arrS	b0288//
arsRBC	b3554//b1628//b0901//
artJ	b0521//
artPIQM	b3678//b3304//b1011//b1657//
ascB	b0087//
ascFB	b1834//b3327//
ascG	b4080//
asd	b1125//
aslA	b1952//
aslB	b2245//
asmA	b2544//
asnA	b0234//
asnB	b0843//
asnC	b0735//
asnC-mioC	b3138//b0177//
asnC-mioC-mnmG	b3860//b2541//b0889//
asnS	b0416//
asnT	b1686//
asnU	b2211//
asnV	b2333//
asnW	b3589//
aspA	b2706//
aspA-dcuA	b2920//b0061//
aspC	b1507//
aspS	b2250//
aspT	b4372//
aspU	b4324//
aspV	b2243//
asr	b4128//
astCADBE	b3437//b1859//b1548//b2607//b4138//
atl	b2732//
atoDAEB	b4331//b2503//insX//b3115//
atoSC	b4315//b1045//
atpBEFHAGDC	b2680//b2310//b4053//b0019//b2138//b4073//b2436//b3581//
atpIBEFHAGDC	b3049//b2713//b2739//insAB-6//b1679//b3832//b4373//b0089//b2545//
avtA	b3005//
azoR	b2721//
azuC	b4504//
bacA	b2634//
baeSR	insAB-4//b1008//
bamA	b0437//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b3342//b1944//b3734//b4504//b0824//b0902//wbbL_2//b3351//
bamB-der	b1892//b3481//
bamC	b4232//
bamD	b4349//
bamE	b0535//
barA	b4055//
basRS	b4408//b4269//
bax	b1434//
