# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pabC//
aas_lplT	gntK//
abgABT_ogt	hisH//menC//glxK//
abpAB	
accBC	ligA//yfiC//
aceBAK	pyrE//ppiA//hemN//
aceEF	phnP//gstB//pgaB//
ackA_pta	proC//tsaD//
acpP_fabF	rnpB//
acrAB	dgoA//recO//
acrEF	ubiE//
acs_yjcH_actP	pabA//cobT//
ada_alkB	ackA//narI//
agaS_kbaY_agaBCDI	panE//
ahpCF	ppiB//
alaA_yfbR	opgB//apaH//
alaWX	
allDCE	mhpA//bfr//ansB//
alsBACE	bglX//ppiA//
amiA_hemF	thiD//ilvN//
ampDE	frlB//
ansA_pncA	uxuB//trpE//thrS//
apaGH	glf//
appCBXA	uxaB//hemL//
araBAD	moaA//menI//sodB//
araE_ygeA	treF//
araFGH	glnE//
argCBH	menB//amyA//dadA//
argT_hisJQMP	glgX//efeB//
argX_hisR_leuT_proM	
arnBCADTEF	pgsA//paoB//ilvD//nrfD//pyrC//
aroF_tyrA	waaO//otsA//
aroKB_damX_dam_rpe_gph_trpS	pagP//panD//narI//etk//dinB//gloC//
aroL_yaiA_aroM	entE//
arpB_1B_2	
arsRBC	citX//rbsK//
artPIQM	yigL//
ascFB	rsmB//nudI//
asnC_mioC	
asnC_mioC_mnmG	glk//
aspA_dcuA	rhaD//pncA//
astCADBE	yggF//hpt//mltF//aphA//ldhA//
atoDAEB	mpl//emtA//aldB//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	yliI//pphA//moeA//hyaA//purB//fucK//
bamB_der	gstB//
basRS	
bcsABZC	amiD//paaZ//
bcsBZ	gcvP//xthA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	pncA//metA//
bfd_bfr	pyrG//
bglGFB	coaD//menA//
bglH_yieLK	
bioBFCD	aroF//purC//argB//tktA//
brnQ_proY	pcm//gltD//
btuB_murI	garR//sdhA//
btuCED	rsmB//atoD//
cadBA	hycB//puuA//
caiCDE	glyQ//bioB//
caiTABCDE	malP//nth//citD//allA//eutB//
carAB	pgsA//
casABCDE12	purK//
casDE12	metH//
cbpAM	
cbrBC	
ccmABCDEFGH	murF//
cecR_ybhGFSR	
chaBC	
chbBCARFG	talA//manA//pgpA//
chiP_ybfN	leuC//
chpSB	ftsI//
citCDEFXG	alsK//lpxL//xylB//
clpPX	scpC//maeA//mrcB//trxB//
clpX_lon	lpxL//trpC//moaE//
clsA_yciU	pykA//
cmk_rpsA	leuD//
cmoM_mukFEB	
cmtBA_yggPFDC	otsB//waaY//
coaE_zapD_yacG	idnO//
cobUST	hemB//idnO//rnpA//
codBA	yegS//hycE//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	murF//
csgBAC	
csgDEFG	paaG//
csiD_lhgO_gabDTP	dcyD//leuD//dacA//ada//
cusCFBA	dcm//
cusRS	
cvpA_purF_ubiX	rnb//astA//
cydAB	prpB//
cydDC	acnB//
cydX_ybgE	mutY//
cynTS	rutE//lpxM//
cynTSX	thiL//udk//ydbC//
cyoABCDE	rfbD//lplA//
cysDNC	trpA//arnA//
cysJIH	pyrH//gadA//citC//
cysPUWAM	menF//ubiI//speF//
dadAX	acs//kdsC//
damX_dam_rpe_gph_trpS	glcE//ldtA//pgpA//yeaG//
dam_rpe_gph_trpS	gadB//rfaD//dgcP//nagZ//
dapA_bamC	purD//
dapE_ypfN	ilvG_2//
dcm_vsr	glcF//
dcuB_fumB	def//rsmG//
dcuSR	
dcyD_tcyLN	coaD//ubiA//
ddpXABCDF	glmM//
def_fmt	mpaA//nrdD//
degQS	murC//ppsA//
deoABD	pabB//ddlA//phnL//
deoBD	ubiG//torY//
deoCABD	torC//pphB//lpxB//scpC//
dgoRKADT	malS//yfaU//cyaA//treA//
dhaKLM	narZ//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	folC//alaA//
dinJ_yafQ	thiD//
dksA_gluQ	phnH//
dmsABC	opgE//
dnaAN_recF	lpxL//
dnaK_tpke11_dnaJ	mtlD//
dnaN_recF	trpC//
dnaTC	
dnaTC_yjjA	
dosCP	rffC//dosC//
dpiBA	
dppABCDF	gadA//
dsbC_recJ_prfB	chbG//sdhB//
dsbD_yjdC	
dsdXA	purT//insI-3//
dusB_fis	hemE//
dut_slmA	entE//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	avtA//ligA//
efeOB	waaZ//
efeU_1U_2	
elbB_mtgA	nadK//
elfDCG_ycbUVF	
emrKY	cobU//
entCEBAH	fabF//wrbA//anmK//lplA//sseA//speD//
