# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	bcsZ//
aas_lplT	ppiB//
abgABT_ogt	clsB//ascB//argC//
abpAB	
accBC	tnaA//nudG//
aceBAK	sdhD//lldD//tcdA//
aceEF	emtA//phoA//umuC//
ackA_pta	glmM//wrbA//
acpP_fabF	gmd//
acrAB	pabA//cynS//
acrEF	tam//
acs_yjcH_actP	kdsB//prs//
ada_alkB	lplA//proC//
agaS_kbaY_agaBCDI	rlmC//
ahpCF	yigL//
alaA_yfbR	pyrD//astE//
alaWX	
allDCE	yeaE//pyrD//nfsA//
alsBACE	recG//fbaA//
amiA_hemF	gcvP//murG//
ampDE	phnG//
ansA_pncA	ycjG//tehB//fucK//
apaGH	asnS//
appCBXA	hmp//talA//
araBAD	rsmD//caiD//fre//
araE_ygeA	paaZ//
araFGH	kbaY//
argCBH	aphA//arnB//mog//
argT_hisJQMP	lpxC//clsB//
argX_hisR_leuT_proM	
arnBCADTEF	hycC//cheB//metE//kdsD//nanK//
aroF_tyrA	ilvI//pyrF//
aroKB_damX_dam_rpe_gph_trpS	ruvA//ansB//fadD//pgm//metB//glnS//
aroL_yaiA_aroM	selD//
arpB_1B_2	
arsRBC	uidA//etk//
artPIQM	yggF//
ascFB	rutA//mobA//
asnC_mioC	
asnC_mioC_mnmG	paaC//
aspA_dcuA	upp//pgpA//
astCADBE	moaE//waaA//ynjE//folX//cysJ//
atoDAEB	nadR//ybbO//dnaE//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	pyrE//fabH//waaF//tcdA//atoB//ynfG//
bamB_der	tyrA//
basRS	
bcsABZC	aroF//galT//
bcsBZ	pflB//pgm//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	lpd//torZ//
bfd_bfr	waaO//
bglGFB	puuB//glmU//
bglH_yieLK	
bioBFCD	ispG//rhaB//waaP//yidA//
brnQ_proY	rlmC//trmD//
btuB_murI	selB//nudE//
btuCED	rsuA//glpA//
cadBA	kbaZ//opgB//
caiCDE	arnT//dapE//
caiTABCDE	ldhA//recR//tcdA//fabZ//yciV//
carAB	yhhW//
casABCDE12	treC//
casDE12	rluE//
cbpAM	
cbrBC	
ccmABCDEFGH	yfdE//
cecR_ybhGFSR	
chaBC	
chbBCARFG	sgbE//mug//sdhD//
chiP_ybfN	fcl//
chpSB	prpC//
citCDEFXG	cobT//pgm//sdhB//
