# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yqjG//
aas_lplT	ilvI//
abgABT_ogt	ldtA//ribA//phnN//
abpAB	
accBC	fabD//mcrB//
aceBAK	ascB//tyrA//ppk//
aceEF	hemA//mak//paaZ//
ackA_pta	yfbR//paaY//
acpP_fabF	deoA//
acrAB	glnS//slt//
acrEF	pheS//
acs_yjcH_actP	yliI//can//
ada_alkB	phnN//rne//
agaS_kbaY_agaBCDI	dacD//
ahpCF	pyrG//
alaA_yfbR	ftsI//thiE//
alaWX	
allDCE	malZ//mrcB//ldtA//
alsBACE	menB//citG//
amiA_hemF	yigL//nemA//
ampDE	fumC//
ansA_pncA	trpE//glgC//ldtC//
apaGH	ldtC//
appCBXA	dfp//ulaF//
araBAD	proS//dxr//rlmB//
araE_ygeA	aceF//
araFGH	adhP//
argCBH	glgX//hisF//rsmA//
argT_hisJQMP	paaE//fbaB//
argX_hisR_leuT_proM	
arnBCADTEF	lpxA//mnmC//gatY//rpe//rhaM//
aroF_tyrA	gshA//yccX//
aroKB_damX_dam_rpe_gph_trpS	udk//tdcG//dusC//ilvG_2//paaB//ydiO//
aroL_yaiA_aroM	aroH//
arpB_1B_2	
arsRBC	ulaG//gltA//
artPIQM	ybhA//
ascFB	tcdA//sdhC//
asnC_mioC	
asnC_mioC_mnmG	cdh//
aspA_dcuA	mltF//fbp//
astCADBE	mutL//hycD//rluC//sucC//metL//
atoDAEB	pdxJ//tdcB//clsC//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	mhpF//rfe//trmO//gpmM//lysS//argI//
bamB_der	frdC//
basRS	
bcsABZC	purD//thiH//
bcsBZ	sgbH//fadM//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	ldtC//chbG//
bfd_bfr	tmcA//
bglGFB	nhoA//lyxK//
bglH_yieLK	
bioBFCD	treF//rbsD//suhB//dcm//
brnQ_proY	hemA//aroL//
btuB_murI	ulaE//cysK//
btuCED	adiA//fadH//
cadBA	prpD//speB//
caiCDE	citX//argS//
caiTABCDE	acpS//rlmC//dusC//paaI//wrbA//
carAB	puuE//
casABCDE12	ilvN//
casDE12	bglA//
cbpAM	
cbrBC	
ccmABCDEFGH	preA//
cecR_ybhGFSR	
chaBC	
chbBCARFG	aceF//opgB//ldtD//
chiP_ybfN	ghrB//
chpSB	miaA//
citCDEFXG	nagK//cobU//hcaC//
clpPX	ynfG//glcB//torC//panC//
clpX_lon	cysJ//ampD//udk//
clsA_yciU	tdcG//
cmk_rpsA	mnmG//
cmoM_mukFEB	
cmtBA_yggPFDC	fumC//mutT//
coaE_zapD_yacG	mhpC//
cobUST	alaS//metF//bglX//
codBA	yciA//hisC//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	entC//
csgBAC	
csgDEFG	phnL//
csiD_lhgO_gabDTP	tgt//yccX//ahr//wcaJ//
cusCFBA	dgcT//
cusRS	
cvpA_purF_ubiX	gmm//acnB//
cydAB	frdA//
cydDC	caiB//
cydX_ybgE	astD//
cynTS	gph//kbaZ//
cynTSX	fklB//glpQ//caiC//
cyoABCDE	mocA//kbaZ//
cysDNC	ahpC//dkgA//
cysJIH	bioA//guaD//dhaM//
cysPUWAM	glmU//speA//pck//
dadAX	thrC//rph//
damX_dam_rpe_gph_trpS	metC//glgA//menF//ribF//
dam_rpe_gph_trpS	srlD//glpB//thrA//trmA//
dapA_bamC	frlB//
dapE_ypfN	atoA//
dcm_vsr	ascB//
dcuB_fumB	dgcT//zwf//
dcuSR	
dcyD_tcyLN	nudJ//treC//
ddpXABCDF	rpe//
def_fmt	speE//ghrB//
degQS	dnaQ//fbaB//
deoABD	sdaA//leuB//trmO//
deoBD	nrdB//speC//
deoCABD	dgcM//tehB//fabH//glpA//
dgoRKADT	dapB//tam//cheR//hcaB//
dhaKLM	nadR//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	rihB//menD//
dinJ_yafQ	nadA//
dksA_gluQ	cpdA//
dmsABC	astB//
dnaAN_recF	paoC//
dnaK_tpke11_dnaJ	waaC//
dnaN_recF	tdcE//
dnaTC	
dnaTC_yjjA	
dosCP	yciA//paaZ//
dpiBA	
dppABCDF	dusB//
dsbC_recJ_prfB	wzb//uvrA//
dsbD_yjdC	
dsdXA	etk//xylA//
dusB_fis	kduD//
dut_slmA	glmS//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	betA//mdh//
efeOB	purA//
efeU_1U_2	
elbB_mtgA	cfa//
elfDCG_ycbUVF	
emrKY	hcaE//
entCEBAH	rsmE//wbbI//maeB//hemA//rnt//rsmC//
envY_ompT	psuK//
epd_pgk	yfeX//menE//
epd_pgk_fbaA	dacD//purL//ribB//
essD_rrrD_rzpD	xylA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	hemA//
eutHA	
eutNEJG	
eutSPQTDM	patD//
evgAS	
exbBD	
fabDG_acpP	nrdA//ispA//
fabG_acpP	narY//
fabHDG	abgA//phnO//rsmI//
fabR_yijD	
fadBA	nadD//fsaB//
fadD_sroD	asnB//
fadIJ	tag//rfbA//
fdnGHI	
fdoGHI_fdhE	thiD//
fdrA_ylbEF_ybcF	metK//
fecABCDE	hcaB//ilvG_2//
fecIR	
feoABC	rlmC//
fepA_entD	thiI//yeiG//rffM//
fepDGC	accA//
fes_ybdZ_entF_fepE	lpxH//hycC//yfiH//
fetAB	
fhuACDB	lpxL//maeA//
ficA_fic_pabA	hisF//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	nrdA//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	proB//mmuM//
folC_dedD	waaP//
folD_ybcJ	gsk//
folE_yeiB	ilvB//
folP_glmM	trpC//recJ//
folX_yfcH	tag//
frdABCD	paaK//
frlABCDR	rdgB//citD//gor//pncA//
frmRAB	thiG//hycC//
fruBKA	cysG//codA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	bioF//xdhA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ubiG//pdxK//arnT//yfdE//gloB//rpiA//ndh//ynjE//rpiB//mcrA//
ftsQAZ	
ftsYEX	
fucAO	mutM//cpdA//
fucPIKUR	clsB//acpH//gph//frdD//
fumAC	acpT//nadE//
fusA_tufA	
gabDTP	purB//cobC//accB//
gadAX	lpxK//
gadBC	alkB//rdoA//
gadEF	
gadEF_mdtEF	rffM//
gadXW	
galET	folA//asnB//
galETK	nagA//gntK//xylB//
galETKM	chbG//alaS//wecC//mutH//
gapA_yeaD	gatY//
gapC_1C_2	
garPLRK_rnpB	mltF//talB//ydiB//tyrS//malQ//rnb//
gatYZABCD	acpS//mutS//rpe//
gatZABCD	ubiG//pheA//moeA//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	rhaM//nfsB//napB//acs//aroA//
gcvTHP	etp//rluD//ilvM//
gfcBCD	
gfcE_etp_etk	trpE//fes//
ghoST	kdsC//
glcBA	galT//aroB//
glcDEFGBA	dinB//dxr//yciV//
glf_wbbH	glgC//
glgAP	yihT//yiaY//
