# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rhaA//
aas_lplT	queA//
abgABT_ogt	pyrE//fucO//ppc//
abpAB	
accBC	anmK//ilvI//
aceBAK	gabD//speC//lpxT//
aceEF	tgt//ispH//rhaM//
ackA_pta	leuS//rsmI//
acpP_fabF	rihB//
acrAB	ruvB//trmO//
acrEF	waaA//
acs_yjcH_actP	pdxA//lpcA//
ada_alkB	nadK//rffT//
agaS_kbaY_agaBCDI	pgaC//
ahpCF	ybdL//
alaA_yfbR	bglA//puuA//
alaWX	
allDCE	trmJ//murB//bioA//
alsBACE	glpQ//patZ//
amiA_hemF	malZ//waaC//
ampDE	dhaK//
ansA_pncA	nadK//mraY//purF//
apaGH	metE//
appCBXA	napA//paoC//
araBAD	gadB//yjhG//cyoE//
araE_ygeA	ubiE//
araFGH	proS//
argCBH	trmA//trmO//rnb//
argT_hisJQMP	tnaA//pgl//
argX_hisR_leuT_proM	
arnBCADTEF	truB//pgm//rdoA//katE//yneH//
aroF_tyrA	spoT//rhaA//
aroKB_damX_dam_rpe_gph_trpS	thiH//lpxD//nrfC//torA//uvrA//mqo//
aroL_yaiA_aroM	rluE//
arpB_1B_2	
arsRBC	rnt//murG//
artPIQM	yfeW//
ascFB	astC//paoC//
asnC_mioC	
asnC_mioC_mnmG	mltC//
aspA_dcuA	aceB//acs//
astCADBE	yggF//pyrB//ampH//frdC//rluF//
atoDAEB	gntK//gmm//mak//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	aroF//ssuE//murF//cobT//mraY//sodC//
bamB_der	gsk//
basRS	
bcsABZC	bioB//yqhD//
bcsBZ	ubiI//yegS//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	epmB//nrdA//
bfd_bfr	thiM//
bglGFB	dgcT//serS//
bglH_yieLK	
bioBFCD	recG//napB//pspE//rsgA//
brnQ_proY	ppa//mrdA//
btuB_murI	truD//rne//
btuCED	mnmC//cysG//
cadBA	lhgO//moeB//
caiCDE	gloA//alsE//
caiTABCDE	codA//apt//uvrC//hemC//btuR//
carAB	cpdB//
casABCDE12	cpsG//
casDE12	sdhC//
cbpAM	
cbrBC	
ccmABCDEFGH	qor//
cecR_ybhGFSR	
chaBC	
chbBCARFG	nadB//mcrC//dadX//
chiP_ybfN	tmk//
chpSB	slyD//
citCDEFXG	ispB//paoA//murI//
clpPX	rlmB//nirD//coaD//gcvH//
clpX_lon	hisC//cmoB//kdgK//
clsA_yciU	narG//
cmk_rpsA	hyaB//
cmoM_mukFEB	
cmtBA_yggPFDC	ugd//paaE//
coaE_zapD_yacG	rnt//
cobUST	hinT//patA//yibQ//
codBA	rlmL//caiD//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	ychF//
csgBAC	
csgDEFG	trmD//
csiD_lhgO_gabDTP	yjhG//nrfB//rsmC//arnC//
cusCFBA	mpl//
cusRS	
cvpA_purF_ubiX	eutD//ydiF//
cydAB	tilS//
cydDC	entH//
cydX_ybgE	tpiA//
cynTS	paaI//spoT//
cynTSX	sgbE//clsC//aroD//
cyoABCDE	recO//xdhA//
cysDNC	yqhD//deoA//
cysJIH	rsmD//leuB//asnB//
cysPUWAM	purN//thiE//paaF//
dadAX	folA//suhB//
damX_dam_rpe_gph_trpS	yciA//ulaF//ydiB//glpK//
dam_rpe_gph_trpS	udk//cysN//malZ//gadB//
dapA_bamC	glk//
dapE_ypfN	mltA//
dcm_vsr	nrdE//
dcuB_fumB	rluB//argC//
dcuSR	
dcyD_tcyLN	ynfE//aroG//
ddpXABCDF	rlmH//
def_fmt	gadA//ybjG//
degQS	entE//cpdA//
deoABD	wrbA//gpsA//nanA//
deoBD	hemH//yfeX//
deoCABD	slyD//dsdA//waaQ//rlmL//
dgoRKADT	tktA//cfa//ddlB//folC//
dhaKLM	tmcA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	aspA//gmd//
dinJ_yafQ	betA//
dksA_gluQ	prpB//
dmsABC	opgB//
dnaAN_recF	paoA//
dnaK_tpke11_dnaJ	bioH//
dnaN_recF	dfp//
dnaTC	
dnaTC_yjjA	
dosCP	psuK//hmp//
dpiBA	
dppABCDF	hdhA//
dsbC_recJ_prfB	dxr//hcaC//
dsbD_yjdC	
dsdXA	kdsC//arsC//
dusB_fis	ynfF//
dut_slmA	nagB//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	murC//mcrB//
efeOB	ilvB//
efeU_1U_2	
elbB_mtgA	avtA//
elfDCG_ycbUVF	
emrKY	murC//
entCEBAH	argH//ruvA//selB//menF//frc//atoB//
envY_ompT	rutA//
epd_pgk	galE//dld//
epd_pgk_fbaA	aroD//acpS//bioD//
essD_rrrD_rzpD	prpD//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	paaY//
eutHA	
eutNEJG	
eutSPQTDM	cheR//
evgAS	
exbBD	
fabDG_acpP	yhdJ//cysS//
fabG_acpP	metA//
fabHDG	pyrC//manA//menC//
fabR_yijD	
fadBA	waaG//treF//
fadD_sroD	nudK//
fadIJ	ppiA//bcsB//
fdnGHI	
fdoGHI_fdhE	proS//
fdrA_ylbEF_ybcF	hisH//
fecABCDE	ssuE//lipB//
fecIR	
feoABC	treA//
fepA_entD	pdeF//mocA//yciV//
fepDGC	ileS//
fes_ybdZ_entF_fepE	rph//rfe//yceF//
fetAB	
fhuACDB	ldhA//acpH//
ficA_fic_pabA	ppa//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	rffH//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	chbG//yihX//
folC_dedD	phoA//
folD_ybcJ	opgB//
folE_yeiB	pgsA//
folP_glmM	tdk//nadR//
folX_yfcH	fklB//
frdABCD	fucK//
frlABCDR	btuR//iaaA//tyrS//miaB//
frmRAB	udk//metH//
fruBKA	citG//purL//
frvABXR	
frwCB	
