# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pdeF//
aas_lplT	trpA//
abgABT_ogt	folE//phoA//trpD//
abpAB	
accBC	phnI//nrfA//
aceBAK	rhaB//pyrD//dacA//
aceEF	lpxP//ycaO//tyrS//
ackA_pta	cdd//ispA//
acpP_fabF	etk//
acrAB	apaH//feaB//
acrEF	hemE//
acs_yjcH_actP	cysE//sgbE//
ada_alkB	yihV//paaY//
agaS_kbaY_agaBCDI	tdcD//
ahpCF	ilvD//
alaA_yfbR	astA//purK//
alaWX	
allDCE	mtn//ydbC//patA//
alsBACE	ilvA//arsC//
amiA_hemF	hisI//waaP//
ampDE	lipA//
ansA_pncA	argS//upp//katE//
apaGH	cysD//
appCBXA	ppx//citF//
araBAD	glpK//hycE//folB//
araE_ygeA	aldA//
araFGH	citX//
argCBH	lysC//udp//fumA//
argT_hisJQMP	kdsC//fabI//
argX_hisR_leuT_proM	
arnBCADTEF	ilvG_2//pyrI//yihS//kbaY//moeB//
aroF_tyrA	alkB//lsrK//
aroKB_damX_dam_rpe_gph_trpS	ghrA//cobU//yciA//opgB//scpC//menF//
aroL_yaiA_aroM	eptB//
arpB_1B_2	
arsRBC	pgpA//folX//
artPIQM	metK//
ascFB	caiC//sdhB//
asnC_mioC	
asnC_mioC_mnmG	tdcE//
aspA_dcuA	yidA//aroK//
astCADBE	fabD//nanM//paoA//mdh//hemH//
atoDAEB	pabC//ribA//dcd//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	aroC//tadA//napG//opgE//xdhB//ppk//
bamB_der	cpsG//
basRS	
bcsABZC	rsgA//thyA//
bcsBZ	dut//ltaE//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	tesA//mmuM//
bfd_bfr	menA//
bglGFB	mqo//guaC//
bglH_yieLK	
bioBFCD	atoA//hypF//hemC//lsrF//
brnQ_proY	dgoA//alaA//
btuB_murI	oxc//rhaD//
btuCED	epmB//zwf//
cadBA	mngB//narI//
caiCDE	thiG//pheT//
caiTABCDE	panC//mdh//acpH//prpB//ung//
carAB	rnt//
casABCDE12	waaO//
casDE12	cobT//
cbpAM	
cbrBC	
ccmABCDEFGH	ilvE//
cecR_ybhGFSR	
chaBC	
chbBCARFG	ribC//opgE//atoB//
chiP_ybfN	hcaD//
chpSB	menC//
citCDEFXG	purF//poxB//nudG//
clpPX	fbp//yhhW//panD//caiB//
clpX_lon	pldA//maeA//mltA//
clsA_yciU	hemL//
cmk_rpsA	aceE//
cmoM_mukFEB	
cmtBA_yggPFDC	plsC//serS//
coaE_zapD_yacG	gabT//
cobUST	ribA//fadB//scpA//
codBA	nagK//trmJ//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	yfcF//
csgBAC	
csgDEFG	sseA//
csiD_lhgO_gabDTP	nirD//gpmM//hemG//pnp//
cusCFBA	melA//
cusRS	
cvpA_purF_ubiX	def//bcsZ//
cydAB	fucU//
cydDC	deoD//
cydX_ybgE	ybjG//
cynTS	qor//ahr//
cynTSX	selA//metE//narV//
cyoABCDE	hmp//metH//
cysDNC	pfkA//cysG//
cysJIH	pldA//trpS//narG//
cysPUWAM	nadR//speF//pdxH//
