# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	melA//
aas_lplT	bcsZ//
abgABT_ogt	yfbR//mepS//rsmF//
abpAB	
accBC	ribC//hpt//
aceBAK	aroG//yfcF//ilvH//
aceEF	mcrC//tsaB//malY//
ackA_pta	hycD//adk//
acpP_fabF	birA//
acrAB	plsC//miaB//
acrEF	fbp//
acs_yjcH_actP	astC//ftsI//
ada_alkB	kduI//yegS//
agaS_kbaY_agaBCDI	paaB//
ahpCF	folD//
alaA_yfbR	gph//dapF//
alaWX	
allDCE	fadD//ruvC//acnB//
alsBACE	dkgB//fcl//
amiA_hemF	ppiB//pdxA//
ampDE	rutE//
ansA_pncA	thiL//glxK//mutH//
apaGH	pyrB//
appCBXA	bioB//yqjG//
araBAD	cadA//patA//argF//
araE_ygeA	eda//
araFGH	ydiO//
argCBH	lpxA//lplA//rsgA//
argT_hisJQMP	umuD//pyrC//
argX_hisR_leuT_proM	
arnBCADTEF	ttdA//sodA//ttdB//accD//tmk//
aroF_tyrA	mutT//nrdF//
aroKB_damX_dam_rpe_gph_trpS	waaO//metE//gcd//rlmG//lpxP//folB//
aroL_yaiA_aroM	hisG//
arpB_1B_2	
arsRBC	rihB//ybbO//
artPIQM	ravA//
ascFB	birA//citE//
asnC_mioC	
asnC_mioC_mnmG	astD//
aspA_dcuA	phnO//prpD//
astCADBE	gltD//ycjU//rfbB//ribD//abgB//
atoDAEB	apt//sthA//dnaE//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	purF//galK//argI//murG//hycF//nirD//
bamB_der	cysG//
basRS	
bcsABZC	ahpF//rlmJ//
bcsBZ	upp//narZ//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	rfbD//glpK//
bfd_bfr	metC//
bglGFB	ldtA//narH//
bglH_yieLK	
bioBFCD	fumA//sdaB//asnS//dinB//
