# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	tesA//
aas_lplT	aroF//
abgABT_ogt	queF//trmA//kdsD//
abpAB	
accBC	glk//plsB//
aceBAK	pgpB//iscS//proB//
aceEF	gsk//wcaJ//ybhA//
ackA_pta	panB//bcsB//
acpP_fabF	truB//
acrAB	murE//murD//
acrEF	frmA//
acs_yjcH_actP	waaA//emtA//
ada_alkB	ppiA//truA//
agaS_kbaY_agaBCDI	bioD//
ahpCF	ubiG//
alaA_yfbR	wcaJ//yjjX//
alaWX	
allDCE	rnpB//nfsA//nagA//
alsBACE	uvrC//gabT//
amiA_hemF	trpS//dkgB//
ampDE	yjhH//
ansA_pncA	cysE//tadA//metB//
apaGH	treF//
appCBXA	ddlA//arnT//
araBAD	ybaS//yagF//upp//
araE_ygeA	nrdA//
araFGH	nudB//
argCBH	guaA//sdhB//deoA//
argT_hisJQMP	sucB//adk//
argX_hisR_leuT_proM	
arnBCADTEF	yfcF//gmm//lldD//ribF//hemD//
aroF_tyrA	xdhA//citC//
aroKB_damX_dam_rpe_gph_trpS	appA//rutB//cdsA//frlC//uidA//frdC//
aroL_yaiA_aroM	acnB//
arpB_1B_2	
arsRBC	rfe//lipB//
artPIQM	rihA//
ascFB	udp//lpxB//
asnC_mioC	
asnC_mioC_mnmG	torZ//
aspA_dcuA	garL//mngB//
astCADBE	metF//alkA//emtA//aceF//nudG//
atoDAEB	nrfA//kbaY//alr//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	umuC//yahK//ybdL//waaH//astB//paaY//
bamB_der	ymdB//
basRS	
bcsABZC	tmk//aroK//
bcsBZ	glgC//yjhG//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	nadC//xdhA//
bfd_bfr	cobU//
bglGFB	cdh//prpB//
bglH_yieLK	
bioBFCD	citG//dcd//hyaB//hemN//
brnQ_proY	ahpF//astB//
btuB_murI	hemN//leuB//
btuCED	ubiH//araD//
cadBA	citF//ssuE//
caiCDE	caiC//rbsD//
caiTABCDE	waaU//gcd//acpT//rihB//yfeX//
carAB	mog//
casABCDE12	trpD//
casDE12	rsgA//
cbpAM	
cbrBC	
ccmABCDEFGH	lacZ//
cecR_ybhGFSR	
chaBC	
chbBCARFG	uvrB//astA//tdcB//
chiP_ybfN	yfeX//
chpSB	metE//
citCDEFXG	sgbH//nrdE//ilvC//
clpPX	mpaA//rffG//hemF//pdxY//
clpX_lon	ygeX//mnmA//maeB//
clsA_yciU	pepD//
cmk_rpsA	glgP//
cmoM_mukFEB	
cmtBA_yggPFDC	fbaB//amiD//
coaE_zapD_yacG	prmC//
cobUST	rutC//garL//citF//
codBA	proS//garD//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	rlmM//
csgBAC	
csgDEFG	phnO//
csiD_lhgO_gabDTP	cobS//gstA//coaD//folB//
cusCFBA	prmB//
cusRS	
cvpA_purF_ubiX	gnd//otsA//
cydAB	gatD//
cydDC	glk//
cydX_ybgE	ubiA//
cynTS	yegS//adiA//
cynTSX	hcaD//insI-1//polA//
cyoABCDE	ybiV//xylA//
cysDNC	paaC//speA//
cysJIH	nrdB//yidA//pta//
cysPUWAM	trpB//lipB//hcaC//
dadAX	frdC//plsC//
damX_dam_rpe_gph_trpS	hypF//ydiB//prs//ilvA//
dam_rpe_gph_trpS	thiE//ppsA//ilvD//atoD//
dapA_bamC	sgbH//
dapE_ypfN	murD//
dcm_vsr	arsC//
dcuB_fumB	tilS//tag//
dcuSR	
dcyD_tcyLN	rffC//ynfH//
ddpXABCDF	rlmG//
def_fmt	dxs//gudD//
degQS	pncA//bioA//
deoABD	truA//mnmA//leuA//
deoBD	dgoK//dusC//
deoCABD	tmk//trmJ//epd//waaH//
dgoRKADT	fadI//entC//lpoA//metC//
dhaKLM	gloA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	hemD//prpB//
dinJ_yafQ	accD//
dksA_gluQ	amn//
dmsABC	paaC//
dnaAN_recF	phnO//
dnaK_tpke11_dnaJ	araD//
dnaN_recF	ygjK//
dnaTC	
dnaTC_yjjA	
dosCP	mnmA//tilS//
dpiBA	
dppABCDF	napC//
dsbC_recJ_prfB	mrcB//abgA//
dsbD_yjdC	
dsdXA	tdk//waaQ//
dusB_fis	tsaD//
dut_slmA	ligA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	menH//paaE//
efeOB	thrA//
efeU_1U_2	
elbB_mtgA	ligA//
elfDCG_ycbUVF	
emrKY	yieF//
entCEBAH	metG//yjhH//metL//yrfG//sdhA//nagZ//
envY_ompT	waaG//
epd_pgk	mqo//pldB//
epd_pgk_fbaA	ispH//aroH//xylB//
essD_rrrD_rzpD	hdhA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	pncB//
eutHA	
eutNEJG	
eutSPQTDM	menD//
evgAS	
exbBD	
fabDG_acpP	accA//mnmG//
fabG_acpP	ascB//
fabHDG	alr//preA//gltX//
fabR_yijD	
fadBA	solA//glmS//
fadD_sroD	cmoB//
fadIJ	hypB//uxuA//
fdnGHI	
fdoGHI_fdhE	mhpF//
fdrA_ylbEF_ybcF	mhpC//
fecABCDE	gdhA//pdeF//
fecIR	
feoABC	recJ//
fepA_entD	murB//ygaP//solA//
fepDGC	trmL//
fes_ybdZ_entF_fepE	ilvC//dkgA//yjhG//
fetAB	
fhuACDB	citE//hcaB//
ficA_fic_pabA	astD//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	nfsB//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	waaC//narZ//
folC_dedD	yeiG//
folD_ybcJ	nrdD//
folE_yeiB	mug//
folP_glmM	murD//pyrG//
folX_yfcH	lgoD//
frdABCD	aspA//
frlABCDR	ynjE//bioD//gntK//caiC//
frmRAB	argD//xylA//
fruBKA	recR//preT//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	purN//umuD//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rfbA//pfkB//talB//ilvD//bglB//murE//fklB//plsC//acnA//bglX//
ftsQAZ	
ftsYEX	
fucAO	phnM//nagA//
fucPIKUR	curA//prpC//glcB//gcvP//
fumAC	moaD//hycG//
fusA_tufA	
gabDTP	deoA//insI-3//prpC//
gadAX	dapB//
gadBC	betA//lpxT//
gadEF	
gadEF_mdtEF	narY//
gadXW	
galET	otsA//folE//
galETK	mnaT//mltA//pflB//
galETKM	torY//glpC//ycjU//phnM//
gapA_yeaD	nadB//
gapC_1C_2	
garPLRK_rnpB	lldD//cheB//arnA//waaC//aceE//fcl//
gatYZABCD	rffT//ybdL//dgcP//
gatZABCD	mhpB//moeB//pgaD//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	ttdB//truC//eutC//rffH//purF//
gcvTHP	yrfG//rnt//ribA//
gfcBCD	
gfcE_etp_etk	paaH//ulaE//
ghoST	hisC//
glcBA	cpdA//garD//
glcDEFGBA	glcE//epmB//mltC//
glf_wbbH	nfsA//
glgAP	hycG//ydiO//
glgBXCAP	serB//lpxM//fkpA//paaG//yicI//
glgCAP	araB//gpt//napA//
glmUS	rsmC//frlB//
glnALG	dcyD//
glnHPQ	lyxK//
glnK_amtB	alkB//
glnLG	
glnW_metU_glnVX	
glpABC	glmU//
glpEGR	nrdD//rfe//
glpFKX	hemC//glpK//lysS//
glpGR	yfbT//
glpTQ	serC//treF//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	cysK//
glvCBG_ysdC	
glyQS	rph//
glyVXY	
glyW_cysT_leuZ	
gntKU	allE//nth//
gntRKU	speE//rrrD//
gntX_nfuA	
gpmM_envC_yibQ	hycD//thiC//
groSL	
gspAB	
gspCDEFGHIJKLMO	gnd//
guaBA	ycjU//thiE//
gudPXD	trmJ//adiA//
hcaEFCBD	ppx//nudF//
hcp_hcr	ybjG//napC//
hdeAB_yhiD	
hemA_prfA_prmC	fbp//ubiA//
hemCDXY	tdcE//gcd//
hflD_purB	ldtD//
hfq_hflXKC	selD//
hicAB	
higBA	astE//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	mrdA//napC//pgsA//aroL//
hipBA	cpdB//
hisBHAFI	yhhW//feaB//rlmL//ruvA//
hisJQMP	rlmF//phnJ//
hisLGDCBHAFI	sgbE//efeB//gpsA//mrdA//puuD//ribE//proS//
hofMNOP	
holC_valS	ybcF//
holD_rimI_yjjG	btuE//curA//
hscBA_fdx_iscX	wecC//
hsdMS	nirD//
hsdRMS	gadB//
hslRO	
hslVU	glcE//
hyaABCDEF	
hybOABCDEFG	ynjE//
hycABCDEFGHI	dapB//gmk//
hydN_hypF	napH//
hyfABCDEFGHIJR_focB	pfkB//
hypABCDE	proB//
hypABCDE_fhlA	lysA//
hypBCDE	umuC//
hypBCDE_fhlA	nanM//
iaaA_gsiABCD	thrS//murF//
ibaG_murA	frc//
ibpAB	
idnDOTR	dusC//dgoD//rutD//
ileS_lspA_fkpB_ispH	sucA//alr//add//yniC//
ilvEDA	ybaS//anmK//yfbT//ygjK//
ilvIH	paaZ//
ilvLXG_1G_2MEDA	melA//relA//relA//yigL//adhP//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	kbaZ//
insN_1I_1O_1	pdxH//
insO_2_yjhWV	
iscRSUA	ahr//ycaO//
ispDF	idnK//kbaY//
ispG_sroE	ybhA//
isrC_flu	
ivbL_ilvBN	gmk//
ivbL_ilvBN_uhpABC	metK//
kbaZ_agaVWA	rlmC//
kbl_tdh	pyrD//rluA//
kdpDE	
kdpFABC	trpA//
kdsC_lptCAB	pabA//nirB//
kefFC	bcsA//ubiX//
kefGB_yheV	metF//
kilR_ydaE	
lacYA	cueO//pdxH//
lacZYA	dosC//mdh//accD//
lapAB	
lapAB_pyrF_yciH	aes//
lepAB	rnb//
leuLABCD	def//tdcB//mltC//
leuQPV	
leuS_lptE_holA_nadD_cobC	ubiA//nadB//glmS//
lexA_dinF	
lgt_thyA	ybiV//prpC//
ligA_ypeB	ynjE//
livKHMGF	abgB//yicI//
lldPRD	etp//argB//
lolA_rarA	
lolB_ispE_prs	ynfH//leuB//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	scpA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	recO//yqjG//
lptFG	
lspA_fkpB_ispH	idnK//argF//slt//
