#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b0383//
C0299	b3174//
C0362	b1995//
C0465	b2739//
C0614	b3175//
C0664	b3301//
C0719	b4254//
IS128	b3350//
aaeR	b1004//
aaeXAB	b0676//b2917//b3272//
aas-lplT	b2941//b1820//
aat	b0134//
abgABT-ogt	b2859//b4431//b1989//b4391//
abgR	b1574//
abpAB	b3009//b2194//
abrB	b2765//
accA	b4535//
accBC	b3820//b3414//
accD	b1689//
aceBAK	b3198//b2667//b0311//
aceEF	b0480//b1449//
aceK	b1120//
ackA	b3722//
ackA-pta	b2864//b3606//
acnA	b1774//
acnB	b1988//
acpH	b4353//
acpP	b0984//
acpP-fabF	b4434//b2097//
acpT	b2070//
acrAB	b2276//b3842//
acrB	b4403//
acrD	b0023//
acrEF	b0381//b1525//
acrR	b2462//
acrZ	b1756//
acs-yjcH-actP	b0986//b4333//b3406//
actP	b1293//
ada-alkB	b0522//b3403//
add	b1083//
adeD	b0880//
adeP	b0385//
adeQ	b1180//
adhE	b0272//
adhP	b1262//
adiA	b0962//
adiC	b0379//
adiY	b0536//
adk	b1962//
aegA	b2197//
aer	b4072//
aes	b4317//
agaR	b3021//
agaS-kbaY-agaBCDI	b0773//b0644//b1290//b3451//b2473//b1500//
agp	b0438//
agrA	b3094//
agrB	b1186//
ahpCF	b3944//b4433//
ahpF	b2774//
ahr	b3092//
aidB	b0005//
ais	b1686//
alaA	b3801//
alaA-yfbR	b0253//b0850//
alaC	b4312//
alaE	b0889//
alaS	b3055//
alaWX	b1278//b1380//
aldA	b3219//
aldB	b0948//
alkA	b1234//
alkB	b2520//
allA	b0619//
allDCE	b2689//b3920//b4269//
allR	b1264//
allS	b4034//
alpA	b1821//
alr	b4117//
alsBACE	b0006//b1715//b2947//b0081//
alsK	b4204//
alx	b2961//
amiA-hemF	b1265//b1070//
amiC	b1123//
amn	b1353//
ampC	b3005//
ampDE	b1857//ybfO//
ampG	b1372//
ampH	b2080//
amyA	b4536//
anmK	b1435//
ansA-pncA	b1141//b3678//
ansB	b4345//
ansP	b0243//
apaGH	b4100//b0260//
aphA	b0487//
appA	b2450//
appCBXA	b2221//b1715//b0130//b4611//
appY	b3954//
apt	b4044//
aqpZ	b1261//
araBAD	b2634//b3700//b1291//
araC	b3542//
araE	b2993//
araE-ygeA	b2022//b1420//
araFGH	b2171//b3349//b3756//
araJ	b3711//
arcA	b2140//
arcB	b1332//
arcZ	b3941//
arfA	b2745//
argA	b0185//
argCBH	b3710//b1203//b2706//
argD	b2661//
argE	b0838//
argF	b1636//
argG	b1098//
