# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	epmB//
aas_lplT	sdhD//
abgABT_ogt	pyrG//ldtA//rhaM//
abpAB	
accBC	accA//hycC//
aceBAK	treA//hemE//agp//
aceEF	edd//umuD//mak//
ackA_pta	wcaJ//cobS//
acpP_fabF	paaI//
acrAB	ydiB//yliI//
acrEF	phr//
acs_yjcH_actP	dfp//gapA//
ada_alkB	gabT//hemL//
agaS_kbaY_agaBCDI	pagP//
ahpCF	gpsA//
alaA_yfbR	eutD//hemC//
alaWX	
allDCE	rluC//gltB//gadB//
alsBACE	nrdE//kbaY//
amiA_hemF	frmB//ubiD//
ampDE	dusC//
ansA_pncA	argK//truD//gntK//
apaGH	pdxA//
appCBXA	talA//ilvI//
araBAD	nudK//deoB//pyrD//
araE_ygeA	ulaD//
araFGH	pykF//
argCBH	spoT//ltaE//ltaE//
argT_hisJQMP	tdcB//hisA//
argX_hisR_leuT_proM	
arnBCADTEF	cyaA//thiL//cynS//cobC//sthA//
aroF_tyrA	ynfF//ygeX//
aroKB_damX_dam_rpe_gph_trpS	ynjE//ybdL//ydjG//talB//agp//apt//
aroL_yaiA_aroM	pdeL//
arpB_1B_2	
arsRBC	dacC//rluA//
artPIQM	mltA//
ascFB	hycF//ybbO//
asnC_mioC	
asnC_mioC_mnmG	truD//
aspA_dcuA	ogt//tdcE//
astCADBE	mnmG//tatD//hisI//rffH//yccX//
atoDAEB	pdxA//metF//hisD//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	atoD//selB//polA//cyoE//adiA//yfiH//
bamB_der	hpt//
basRS	
bcsABZC	yfaU//sdhA//
bcsBZ	gmm//aroC//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	rsmE//yihT//
bfd_bfr	guaA//
bglGFB	argB//atoA//
bglH_yieLK	
bioBFCD	rihB//serB//folM//sucB//
brnQ_proY	gshB//rihB//
btuB_murI	purE//dcm//
btuCED	hyaC//metL//
cadBA	yfdR//dapB//
caiCDE	waaC//eno//
caiTABCDE	talB//yjhG//caiD//napB//menF//
carAB	adiA//
casABCDE12	hyaB//
casDE12	pdeH//
cbpAM	
cbrBC	
ccmABCDEFGH	dxs//
cecR_ybhGFSR	
chaBC	
chbBCARFG	panE//patD//lpxH//
chiP_ybfN	deoD//
chpSB	rpe//
