#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	b1524//
C0299	b3796//
C0362	b4281//
C0465	b2448//
C0614	b3576//
C0664	b2500//
C0719	b2088//
IS128	b4698//
aaeR	b3644//
aaeXAB	b4458//b0726//b3735//
aas-lplT	b3936//b1694//
aat	b3213//
abgABT-ogt	b1482//b2706//b4039//b4400//
abgR	b3527//
abpAB	b0586//b4348//
abrB	insM//
accA	b1717//
accBC	b1793//b0527//
accD	b4014//
aceBAK	b2376//b1542//b2202//
aceEF	b4691//b4029//
aceK	b1718//
ackA	b1063//
ackA-pta	b1201//b1073//
acnA	b1463//
acnB	b0732//
acpH	b2902//
acpP	b3481//
acpP-fabF	b3242//b4113//
acpT	b1539//
acrAB	b4421//b4349//
acrB	b3401//
acrD	b2274//
acrEF	b3946//b4714//
acrR	b4449//
acrZ	b0345//
acs-yjcH-actP	b3398//b3451//b2952//
actP	b3901//
ada-alkB	b3498//b4329//
add	b0274//
adeD	b1185//
adeP	b0030//
adeQ	b1070//
adhE	b4391//
adhP	b3463//
adiA	b2222//
adiC	b2090//
adiY	b3553//
adk	b3085//
aegA	b1086//
aer	b1083//
aes	b1731//
agaR	b4673//
agaS-kbaY-agaBCDI	b1038//b4307//b1633//b1605//b1117//b1276//
agp	b3795//
agrA	b1237//
agrB	b3575//
ahpCF	b2220//b2202//
ahpF	b3588//
ahr	b3707//
aidB	b3230//
ais	b4124//
alaA	b2144//
alaA-yfbR	b1126//b1697//
alaC	b1429//
alaE	b4287//
alaS	b0685//
alaWX	b1527//b0870//
aldA	b3412//
aldB	b4164//
alkA	b3892//
alkB	b2678//
allA	b3038//
allDCE	b4175//b2365//b0316//
allR	b3070//
allS	b4662//
alpA	b1106//
alr	C0362//
alsBACE	b1247//b2300//b2703//b1179//
alsK	b2793//
alx	b1665//
amiA-hemF	b3476//b2946//
amiC	b0474//
amn	b2366//
ampC	b3387//
ampDE	b4388//b4395//
ampG	b3347//
ampH	b1580//
amyA	C0465//
anmK	b0096//
ansA-pncA	b3391//b1771//
ansB	b0917//
ansP	b3811//
apaGH	b0866//b3168//
aphA	b1572//
appA	b2395//
appCBXA	b4333//b1749//b4132//b2299//
appY	b4053//
apt	b2803//
aqpZ	b3332//
araBAD	b1428//b0195//b3083//
araC	b3670//
araE	b3005//
araE-ygeA	b1093//b4110//
araFGH	b2470//b0687//b1637//
araJ	b2802//
arcA	b2891//
arcB	b0447//
arcZ	b0202//
arfA	b3949//
argA	b3093//
argCBH	b4332//b1375//b1235//
argD	b4225//
argE	b0424//
argF	b4265//
argG	b4012//
argI	b1488//
argO	b2323//
argP	b3687//
argQ	b3555//
argR	b2408//
argS	b2336//
argT-hisJQMP	b0478//b2271//insX//b2432//b1205//
argU	b0263//
argW	b0256//
argX-hisR-leuT-proM	b1561//b0964//b2167//b2959//
ariR	b1941//
arnBCADTEF	b1810//b1688//b0868//b3736//b0347//b3256//b2664//
aroF-tyrA	b2002//insEF-2//
aroG	b1686//
aroH	b0200//
aroKB-damX-dam-rpe-gph-trpS	b0369//b0164//b1630//b3220//b1716//b0013//b1489//
aroL-yaiA-aroM	b2448//b2315//b4047//
aroP	b3120//
arpA	b1309//
arpB_1B_2	b4073//b4316//
arrS	b1355//
arsRBC	b2129//b2358//b2284//
artJ	b1831//
artPIQM	b0749//b1786//b2282//b2675//
ascB	ygeN//
ascFB	b3843//b4266//
ascG	b0261//
asd	b0431//
aslA	b0436//
aslB	insCD-1//
asmA	b3537//
asnA	b2729//
asnB	b0033//
asnC	b3887//
asnC-mioC	b0868//b4050//
asnC-mioC-mnmG	b1141//b4707//b3065//
asnS	b0088//
asnT	b2421//
asnU	b1654//
asnV	b0486//
asnW	b3377//
aspA	b1563//
aspA-dcuA	b0003//b1521//
aspC	b0999//
aspS	b1680//
aspT	b2561//
aspU	b4317//
aspV	b4144//
asr	b1242//
astCADBE	b2702//b4214//ykiB//b1552//b1077//
atl	b0432//
atoDAEB	b2272//b1422//b3578//b0334//
atoSC	b2442//b3073//
atpBEFHAGDC	b0075//b4687//b4049//b0897//b4314//b3956//b0148//b1086//
atpIBEFHAGDC	b2644//b1807//b0506//b4368//b3155//b1587//b2374//b0783//b3931//
avtA	b0842//
azoR	yedS_2//
azuC	b2792//
bacA	b1844//
baeSR	insCD-3//b4135//
bamA	b0497//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b0537//b0010//b0933//b0632//b2652//b4618//b2455//b0508//
bamB-der	b1801//b4090//
bamC	b4129//
bamD	b4425//
bamE	b4314//
barA	b1796//
basRS	b0999//b3549//
bax	b0522//
