# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	cobT//
aas_lplT	rluE//
abgABT_ogt	yniC//thiK//eda//
abpAB	
accBC	ppk//ileS//
aceBAK	ulaD//sdhC//kbaY//
aceEF	rffM//eptC//rihC//
ackA_pta	leuA//agp//
acpP_fabF	mog//
acrAB	dhaK//lipA//
acrEF	nanK//
acs_yjcH_actP	glnA//ruvC//
ada_alkB	paaF//yjeF//
agaS_kbaY_agaBCDI	pgaC//
ahpCF	tyrA//
alaA_yfbR	yggF//rhaM//
alaWX	
allDCE	rihB//entB//galM//
alsBACE	leuS//sdhC//
amiA_hemF	ampH//deoC//
ampDE	paoB//
ansA_pncA	mnmE//yggF//prpD//
apaGH	pgaD//
appCBXA	asnS//rsmI//
araBAD	glmM//glxK//folA//
araE_ygeA	nrdF//
araFGH	rnb//
argCBH	glpD//menH//waaQ//
argT_hisJQMP	proA//rlmD//
argX_hisR_leuT_proM	
arnBCADTEF	gpmA//rffC//caiA//ndk//pgk//
aroF_tyrA	spoT//ilvH//
aroKB_damX_dam_rpe_gph_trpS	glgB//cysM//dfp//pepD//aroB//metG//
aroL_yaiA_aroM	caiB//
arpB_1B_2	
arsRBC	proA//yfbR//
artPIQM	glgC//
ascFB	pcm//phnI//
asnC_mioC	
asnC_mioC_mnmG	ygiF//
aspA_dcuA	tesB//patA//
astCADBE	paaB//spoT//tsaC//mutM//nagB//
atoDAEB	asnB//pabA//metH//
atoSC	
atpBEFHAGDC	
atpIBEFHAGDC	
baeSR	
bamA_skp_lpxD_fabZ_lpxAB_rnhB_dnaE	aroE//dacA//rluE//kdsA//pdxK//rfe//
bamB_der	slyD//
basRS	
bcsABZC	tyrB//rhaA//
bcsBZ	nagB//epmB//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	manA//ghrB//
bfd_bfr	dusC//
bglGFB	polA//gcd//
bglH_yieLK	
bioBFCD	ampC//tmcA//mutM//yhhW//
brnQ_proY	dgoA//argK//
btuB_murI	epmC//nadE//
btuCED	waaS//pgi//
cadBA	coaD//adiA//
caiCDE	glnS//narG//
caiTABCDE	rsmG//pflB//fadB//narY//ybjI//
carAB	speG//
casABCDE12	selD//
casDE12	ldtE//
cbpAM	
cbrBC	
ccmABCDEFGH	cof//
cecR_ybhGFSR	
chaBC	
chbBCARFG	uvrB//yfiH//cmk//
chiP_ybfN	hypB//
chpSB	mnmG//
citCDEFXG	glpX//prmB//hisB//
clpPX	yieF//ynfH//lpxK//fucK//
